figure_file,case_id,figure_type,variable,source_file,caption
figures/cylinder_m010_laminar_re200_forces.png,cylinder_m010_laminar_re200,forces,"cd,cl",results/cylinder_m010_laminar_re200/forces.csv,"cd,cl for cylinder_m010_laminar_re200"
figures/cylinder_m010_laminar_re200_mach.png,cylinder_m010_laminar_re200,mach,Mach,results/cylinder_m010_laminar_re200/field_final.vtk,Mach for cylinder_m010_laminar_re200
figures/cylinder_m010_laminar_re200_mach_zoom.png,cylinder_m010_laminar_re200,mach_zoom,Mach,results/cylinder_m010_laminar_re200/field_final.vtk,Mach for cylinder_m010_laminar_re200 (near-body zoom)
figures/cylinder_m010_laminar_re200_pressure.png,cylinder_m010_laminar_re200,pressure,Pressure,results/cylinder_m010_laminar_re200/field_final.vtk,Pressure for cylinder_m010_laminar_re200
figures/cylinder_m010_laminar_re200_pressure_zoom.png,cylinder_m010_laminar_re200,pressure_zoom,Pressure,results/cylinder_m010_laminar_re200/field_final.vtk,Pressure for cylinder_m010_laminar_re200 (near-body zoom)
figures/cylinder_m010_laminar_re200_residual.png,cylinder_m010_laminar_re200,residual,residual_l2,results/cylinder_m010_laminar_re200/residuals.csv,residual_l2 for cylinder_m010_laminar_re200
figures/cylinder_m010_laminar_re200_velocityx_zoom.png,cylinder_m010_laminar_re200,velocityx_zoom,VelocityX,results/cylinder_m010_laminar_re200/field_final.vtk,VelocityX for cylinder_m010_laminar_re200 (near-body zoom)
figures/cylinder_m010_laminar_re20_cf.png,cylinder_m010_laminar_re20,cf,cf,results/cylinder_m010_laminar_re20/surface.csv,cf for cylinder_m010_laminar_re20
figures/cylinder_m010_laminar_re20_cp.png,cylinder_m010_laminar_re20,cp,cp,results/cylinder_m010_laminar_re20/surface.csv,cp for cylinder_m010_laminar_re20
figures/cylinder_m010_laminar_re20_forces.png,cylinder_m010_laminar_re20,forces,"cd,cl",results/cylinder_m010_laminar_re20/forces.csv,"cd,cl for cylinder_m010_laminar_re20"
