step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000421,0.16950087,-0.00000001,0.16656683,0.00293404,-0.00000304,-0.00000117
2,0.00000000,-0.00000897,0.34238816,-0.00000002,0.33624961,0.00613855,-0.00000648,-0.00000249
3,0.00000000,0.00001906,0.51932078,-0.00000010,0.50863956,0.01068122,-0.00000752,0.00002658
4,0.00000000,0.00005013,0.69980560,-0.00000020,0.68419903,0.01560657,-0.00000844,0.00005857
5,0.00000000,0.00004261,0.88320648,-0.00000021,0.86353281,0.01967367,-0.00001347,0.00005608
6,0.00000000,0.00004930,1.07056831,-0.00000022,1.04616521,0.02440310,-0.00001335,0.00006265
7,0.00000000,0.00004707,1.26148283,-0.00000024,1.23223091,0.02925191,-0.00001412,0.00006119
8,0.00000000,0.00005606,1.45634706,-0.00000025,1.42163857,0.03470849,-0.00001382,0.00006988
9,0.00000000,0.00004345,1.65461295,-0.00000028,1.61457107,0.04004189,-0.00002223,0.00006568
10,0.00000000,0.00010268,1.85773879,-0.00000046,1.81011270,0.04762609,-0.00002115,0.00012383
11,0.00000000,0.00016805,2.06486094,-0.00000066,2.00913928,0.05572166,-0.00001938,0.00018743
12,0.00000000,0.00024021,2.27604217,-0.00000088,2.21169323,0.06434894,-0.00001674,0.00025695
13,0.00000000,0.00031984,2.49134450,-0.00000113,2.41781582,0.07352868,-0.00001304,0.00033288
14,0.00000000,0.00040769,2.71082896,-0.00000139,2.62754708,0.08328187,-0.00000806,0.00041575
15,0.00000000,0.00050457,2.93455518,-0.00000169,2.84092549,0.09362969,-0.00000151,0.00050608
16,0.00000000,0.00061136,3.16258107,-0.00000202,3.05798777,0.10459330,0.00000692,0.00060444
17,0.00000000,0.00072899,3.39496225,-0.00000238,3.27876855,0.11619370,0.00001761,0.00071139
18,0.00000000,0.00061713,3.62912087,-0.00000249,3.50504257,0.12407830,-0.00013127,0.00074839
19,0.00000000,0.00050106,3.86793333,-0.00000263,3.73543185,0.13250148,-0.00029459,0.00079566
20,0.00000000,0.00038091,4.11150629,-0.00000280,3.97000978,0.14149651,-0.00047385,0.00085476
21,0.00000000,0.00025686,4.35995289,-0.00000299,4.20885239,0.15110050,-0.00067067,0.00092753
22,0.00000000,0.00012920,4.61339368,-0.00000322,4.45203867,0.16135501,-0.00088688,0.00101608
23,0.00000000,-0.00000166,4.87195763,-0.00000349,4.69965090,0.17230673,-0.00112449,0.00112283
24,0.00000000,-0.00013518,5.13578334,-0.00000381,4.95177513,0.18400821,-0.00138576,0.00125058
25,0.00000000,-0.00027062,5.40502040,-0.00000419,5.20850158,0.19651882,-0.00167319,0.00140258
26,0.00000000,-0.00040703,5.67983097,-0.00000462,5.46992527,0.20990570,-0.00198957,0.00158254
27,0.00000000,-0.00054325,5.96039157,-0.00000513,5.73614657,0.22424500,-0.00233801,0.00179477
28,0.00000000,-0.00067777,6.24689513,-0.00000573,6.00727197,0.23962315,-0.00272200,0.00204423
29,0.00000000,-0.00080877,6.53955339,-0.00000643,6.28341491,0.25613848,-0.00314542,0.00233665
30,0.00000000,-0.00093400,6.83859959,-0.00000724,6.56469670,0.27390289,-0.00361265,0.00267864
31,0.00000000,-0.00048400,7.13533791,-0.00000795,6.83938939,0.29594852,-0.00346168,0.00297768
32,0.00000000,-0.00007600,7.42827648,-0.00000867,7.11079126,0.31748522,-0.00332074,0.00324474
33,0.00000000,0.00029398,7.71749483,-0.00000941,7.37893381,0.33856102,-0.00318908,0.00348306
34,0.00000000,0.00062954,8.00306766,-0.00001016,7.64384873,0.35921893,-0.00306603,0.00369557
35,0.00000000,0.00093397,8.28506531,-0.00001092,7.90556790,0.37949741,-0.00295095,0.00388491
36,0.00000000,0.00094552,8.57422376,-0.00001206,8.17330248,0.40092128,-0.00335112,0.00429663
37,0.00000000,0.00097809,8.86002600,-0.00001319,8.43746700,0.42255900,-0.00373210,0.00471019
38,0.00000000,0.00102908,9.14248053,-0.00001431,8.69811402,0.44436651,-0.00409481,0.00512389
39,0.00000000,0.00109616,9.42159896,-0.00001541,8.95529529,0.46630367,-0.00444010,0.00553626
40,0.00000000,0.00117719,9.69739568,-0.00001650,9.20906174,0.48833394,-0.00476878,0.00594597
41,0.00000000,0.00127027,9.96988759,-0.00001758,9.45946348,0.51042411,-0.00508163,0.00635190
42,0.00000000,0.00137366,10.23909382,-0.00001865,9.70654980,0.53254402,-0.00537938,0.00675304
43,0.00000000,0.00148580,10.50503549,-0.00001970,9.95036924,0.55466626,-0.00566274,0.00714854
44,0.00000000,0.00160528,10.76773554,-0.00002074,10.19096953,0.57676602,-0.00593237,0.00753766
45,0.00000000,0.00173084,11.02721846,-0.00002177,10.42839765,0.59882082,-0.00618891,0.00791975
46,0.00000000,0.00186133,11.28351016,-0.00002278,10.66269982,0.62081034,-0.00643296,0.00829429
47,0.00000000,0.00199574,11.53663778,-0.00002378,10.89392153,0.64271625,-0.00666509,0.00866082
48,0.00000000,0.00213313,11.78662956,-0.00002476,11.12210751,0.66452205,-0.00688585,0.00901898
49,0.00000000,0.00227270,12.03351468,-0.00002573,11.34730181,0.68621287,-0.00709576,0.00936846
50,0.00000000,0.00241371,12.27732317,-0.00002668,11.56954774,0.70777543,-0.00729531,0.00970902
51,0.00000000,0.00255550,12.51808575,-0.00002762,11.78888793,0.72919782,-0.00748499,0.01004049
52,0.00000000,0.00269749,12.75583375,-0.00002854,12.00536432,0.75046943,-0.00766525,0.01036274
53,0.00000000,0.00283917,12.99059903,-0.00002944,12.21901818,0.77158085,-0.00783650,0.01067567
54,0.00000000,0.00298008,13.22241386,-0.00003032,12.42989011,0.79252375,-0.00799917,0.01097925
55,0.00000000,0.00311982,13.45131088,-0.00003118,12.63802008,0.81329079,-0.00815364,0.01127346
56,0.00000000,0.00325803,13.67732297,-0.00003203,12.84344740,0.83387556,-0.00830029,0.01155833
57,0.00000000,0.00339443,13.90048325,-0.00003286,13.04621076,0.85427248,-0.00843948,0.01183390
58,0.00000000,0.00352872,14.12082498,-0.00003366,13.24634823,0.87447674,-0.00857153,0.01210026
59,0.00000000,0.00366070,14.33838151,-0.00003445,13.44389728,0.89448423,-0.00869679,0.01235749
60,0.00000000,0.00379016,14.55318626,-0.00003522,13.63889478,0.91429149,-0.00881555,0.01260571
61,0.00000000,0.00391694,14.76527263,-0.00003597,13.83137700,0.93389563,-0.00892811,0.01284505
62,0.00000000,0.00404090,14.97467398,-0.00003670,14.02137966,0.95329432,-0.00903475,0.01307566
63,0.00000000,0.00416193,15.18142359,-0.00003741,14.20893790,0.97248570,-0.00913575,0.01329768
64,0.00000000,0.00427994,15.38555467,-0.00003809,14.39408630,0.99146837,-0.00923136,0.01351130
65,0.00000000,0.00439486,15.58710023,-0.00003876,14.57685890,1.01024133,-0.00932182,0.01371668
66,0.00000000,0.00450664,15.78609316,-0.00003941,14.75728921,1.02880395,-0.00940736,0.01391400
67,0.00000000,0.00461523,15.98256613,-0.00004004,14.93541020,1.04715593,-0.00948823,0.01410346
68,0.00000000,0.00472062,16.17655162,-0.00004065,15.11125433,1.06529730,-0.00956461,0.01428524
69,0.00000000,0.00482281,16.36808187,-0.00004124,15.28485355,1.08322832,-0.00963673,0.01445954
70,0.00000000,0.00492178,16.55718884,-0.00004181,15.45623930,1.10094954,-0.00970477,0.01462655
71,0.00000000,0.00501757,16.74390428,-0.00004237,15.62544256,1.11846172,-0.00976892,0.01478648
72,0.00000000,0.00511018,16.92825961,-0.00004290,15.79249379,1.13576582,-0.00982936,0.01493953
73,0.00000000,0.00519964,17.11028597,-0.00004342,15.95742299,1.15286298,-0.00988625,0.01508590
74,0.00000000,0.00528600,17.29001422,-0.00004391,16.12025971,1.16975451,-0.00993977,0.01522577
75,0.00000000,0.00536930,17.46747487,-0.00004439,16.28103301,1.18644186,-0.00999006,0.01535936
76,0.00000000,0.00544959,17.64269814,-0.00004486,16.43977153,1.20292661,-0.01003727,0.01548686
77,0.00000000,0.00552691,17.81571392,-0.00004530,16.59650346,1.21921046,-0.01008155,0.01560846
78,0.00000000,0.00560132,17.98655174,-0.00004573,16.75125655,1.23529520,-0.01012303,0.01572435
79,0.00000000,0.00567289,18.15524082,-0.00004614,16.90405811,1.25118271,-0.01016183,0.01583473
80,0.00000000,0.00574168,18.32181002,-0.00004653,17.05493507,1.26687495,-0.01019809,0.01593977
81,0.00000000,0.00580775,18.48628787,-0.00004691,17.20391390,1.28237396,-0.01023192,0.01603966
82,0.00000000,0.00587116,18.64870253,-0.00004728,17.35102071,1.29768182,-0.01026343,0.01613459
83,0.00000000,0.00593199,18.80908183,-0.00004763,17.49628118,1.31280064,-0.01029272,0.01622471
84,0.00000000,0.00599030,18.96745324,-0.00004796,17.63972062,1.32773262,-0.01031991,0.01631022
85,0.00000000,0.00604651,19.12403520,-0.00004828,17.78152833,1.34250687,-0.01034529,0.01639180
86,0.00000000,0.00610340,19.28037796,-0.00004861,17.92303765,1.35734031,-0.01037047,0.01647387
87,0.00000000,0.00616097,19.43647974,-0.00004894,18.06424758,1.37223216,-0.01039544,0.01655641
88,0.00000000,0.00621921,19.59233876,-0.00004928,18.20515713,1.38718163,-0.01042022,0.01663943
89,0.00000000,0.00627814,19.74795326,-0.00004962,18.34576531,1.40218795,-0.01044479,0.01672293
90,0.00000000,0.00633774,19.90332148,-0.00004997,18.48607114,1.41725034,-0.01046916,0.01680690
91,0.00000000,0.00639803,20.05844167,-0.00005032,18.62607361,1.43236806,-0.01049332,0.01689135
92,0.00000000,0.00645899,20.21331210,-0.00005068,18.76577176,1.44754034,-0.01051727,0.01697627
93,0.00000000,0.00652064,20.36793105,-0.00005104,18.90516459,1.46276646,-0.01054102,0.01706166
94,0.00000000,0.00658297,20.52229680,-0.00005140,19.04425113,1.47804567,-0.01056457,0.01714753
95,0.00000000,0.00664598,20.67640764,-0.00005177,19.18303040,1.49337724,-0.01058790,0.01723387
96,0.00000000,0.00670967,20.83026188,-0.00005215,19.32150142,1.50876046,-0.01061102,0.01732069
97,0.00000000,0.00677404,20.98385783,-0.00005253,19.45966322,1.52419461,-0.01063393,0.01740797
98,0.00000000,0.00683910,21.13719381,-0.00005291,19.59751482,1.53967899,-0.01065663,0.01749573
99,0.00000000,0.00690484,21.29026816,-0.00005330,19.73505526,1.55521291,-0.01067912,0.01758396
100,0.00000000,0.00697126,21.44307921,-0.00005369,19.87228355,1.57079566,-0.01070139,0.01767265
101,0.00000000,0.00703837,21.59562532,-0.00005409,20.00919874,1.58642657,-0.01072345,0.01776182
102,0.00000000,0.00710617,21.74790483,-0.00005450,20.14579986,1.60210496,-0.01074529,0.01785145
103,0.00000000,0.00717465,21.89991611,-0.00005490,20.28208594,1.61783017,-0.01076691,0.01794155
104,0.00000000,0.00724382,22.05165755,-0.00005532,20.41805602,1.63360152,-0.01078831,0.01803212
105,0.00000000,0.00731367,22.20312751,-0.00005573,20.55370914,1.64941837,-0.01080949,0.01812316
106,0.00000000,0.00738422,22.35432439,-0.00005615,20.68904433,1.66528006,-0.01083045,0.01821467
107,0.00000000,0.00745546,22.50524658,-0.00005658,20.82406064,1.68118594,-0.01085118,0.01830664
108,0.00000000,0.00752738,22.65589250,-0.00005701,20.95875711,1.69713539,-0.01087169,0.01839908
109,0.00000000,0.00760000,22.80626055,-0.00005745,21.09313277,1.71312777,-0.01089198,0.01849198
110,0.00000000,0.00767331,22.95634915,-0.00005789,21.22718669,1.72916246,-0.01091204,0.01858535
111,0.00000000,0.00774732,23.10615673,-0.00005833,21.36091789,1.74523884,-0.01093187,0.01867918
112,0.00000000,0.00782202,23.25568173,-0.00005878,21.49432544,1.76135629,-0.01095147,0.01877348
113,0.00000000,0.00789741,23.40492259,-0.00005923,21.62740838,1.77751421,-0.01097083,0.01886825
114,0.00000000,0.00797350,23.55387775,-0.00005969,21.76016575,1.79371200,-0.01098997,0.01896347
115,0.00000000,0.00805029,23.70254567,-0.00006015,21.89259661,1.80994906,-0.01100887,0.01905917
116,0.00000000,0.00812778,23.85092482,-0.00006062,22.02470001,1.82622481,-0.01102754,0.01915532
117,0.00000000,0.00820597,23.99901366,-0.00006109,22.15647501,1.84253865,-0.01104597,0.01925194
118,0.00000000,0.00828486,24.14681067,-0.00006157,22.28792065,1.85889002,-0.01106416,0.01934902
119,0.00000000,0.00836446,24.29431433,-0.00006205,22.41903600,1.87527833,-0.01108211,0.01944656
120,0.00000000,0.00844475,24.44152313,-0.00006253,22.54982011,1.89170303,-0.01109982,0.01954457
121,0.00000000,0.00852576,24.58843557,-0.00006302,22.68027203,1.90816354,-0.01111728,0.01964304
122,0.00000000,0.00860747,24.73505014,-0.00006351,22.81039083,1.92465931,-0.01113450,0.01974197
123,0.00000000,0.00868989,24.88136535,-0.00006401,22.94017556,1.94118979,-0.01115148,0.01984136
124,0.00000000,0.00877301,25.02737972,-0.00006451,23.06962528,1.95775443,-0.01116821,0.01994122
125,0.00000000,0.00885685,25.17309176,-0.00006502,23.19873906,1.97435269,-0.01118468,0.02004153
126,0.00000000,0.00894140,25.31849999,-0.00006553,23.32751596,1.99098403,-0.01120091,0.02014231
127,0.00000000,0.00902666,25.46360296,-0.00006604,23.45595504,2.00764792,-0.01121688,0.02024355
128,0.00000000,0.00910100,25.59278547,-0.00006706,23.57670049,2.01608498,-0.01117380,0.02027480
129,0.00000000,0.00917531,25.72168138,-0.00006808,23.69712190,2.02455948,-0.01112991,0.02030522
130,0.00000000,0.00924958,25.85028865,-0.00006910,23.81721844,2.03307021,-0.01108523,0.02033481
131,0.00000000,0.00932382,25.97860525,-0.00007012,23.93698930,2.04161595,-0.01103975,0.02036357
132,0.00000000,0.00939804,26.10662916,-0.00007114,24.05643365,2.05019551,-0.01099346,0.02039150
133,0.00000000,0.00947223,26.23435838,-0.00007216,24.17555070,2.05880769,-0.01094638,0.02041861
134,0.00000000,0.00954641,26.36179094,-0.00007318,24.29433962,2.06745132,-0.01089848,0.02044489
135,0.00000000,0.00962056,26.48892486,-0.00007420,24.41279962,2.07612523,-0.01084978,0.02047034
136,0.00000000,0.00969470,26.61575819,-0.00007522,24.53092989,2.08482829,-0.01080027,0.02049497
137,0.00000000,0.00976883,26.74228899,-0.00007624,24.64872964,2.09355935,-0.01074994,0.02051878
138,0.00000000,0.00984295,26.86851533,-0.00007726,24.76619806,2.10231728,-0.01069881,0.02054176
139,0.00000000,0.00991706,26.99443532,-0.00007829,24.88333435,2.11110097,-0.01064686,0.02056392
140,0.00000000,0.00999117,27.12004705,-0.00007931,25.00013773,2.11990932,-0.01059409,0.02058526
141,0.00000000,0.01006527,27.24534863,-0.00008033,25.11660740,2.12874123,-0.01054050,0.02060578
142,0.00000000,0.01013938,27.37033821,-0.00008135,25.23274259,2.13759562,-0.01048610,0.02062548
143,0.00000000,0.01021349,27.49501392,-0.00008238,25.34854249,2.14647143,-0.01043087,0.02064436
144,0.00000000,0.01028760,27.61937393,-0.00008340,25.46400633,2.15536760,-0.01037482,0.02066242
145,0.00000000,0.01036171,27.74341641,-0.00008442,25.57913334,2.16428308,-0.01031795,0.02067966
146,0.00000000,0.01043584,27.86713954,-0.00008544,25.69392272,2.17321682,-0.01026025,0.02069608
147,0.00000000,0.01050997,27.99054152,-0.00008647,25.80837371,2.18216781,-0.01020172,0.02071169
148,0.00000000,0.01058411,28.11362057,-0.00008749,25.92248554,2.19113503,-0.01014236,0.02072648
149,0.00000000,0.01065827,28.23637490,-0.00008851,26.03625743,2.20011747,-0.01008218,0.02074045
