step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,0.00000024,0.16962747,-0.00000000,0.16657979,0.00304767,-0.00000020,0.00000044
2,0.00000000,0.00000052,0.34265240,-0.00000000,0.33627314,0.00637926,-0.00000042,0.00000095
3,0.00000000,0.00000108,0.51564180,-0.00000001,0.50574313,0.00989867,-0.00000093,0.00000201
4,0.00000000,0.00000164,0.68861368,-0.00000001,0.67503039,0.01358329,-0.00000144,0.00000307
5,0.00000000,0.00000193,0.86158573,-0.00000002,0.84417515,0.01741057,-0.00000166,0.00000358
6,0.00000000,0.00000222,1.03453211,-0.00000002,1.01313381,0.02139830,-0.00000188,0.00000409
7,0.00000000,0.00000236,1.20745623,-0.00000002,1.18192163,0.02553460,-0.00000197,0.00000433
8,0.00000000,0.00000251,1.38034696,-0.00000002,1.35052013,0.02982683,-0.00000207,0.00000457
9,0.00000000,0.00000281,1.55319335,-0.00000002,1.51891101,0.03428235,-0.00000228,0.00000509
10,0.00000000,0.00000342,1.72597746,-0.00000003,1.68706822,0.03890924,-0.00000278,0.00000620
11,0.00000000,0.00000460,1.89865394,-0.00000004,1.85492875,0.04372519,-0.00000391,0.00000851
12,0.00000000,0.00000580,2.07128404,-0.00000005,2.02259464,0.04868941,-0.00000504,0.00001084
13,0.00000000,0.00000802,2.24367802,-0.00000007,2.18980465,0.05387337,-0.00000757,0.00001560
14,0.00000000,0.00001029,2.41602106,-0.00000009,2.35681821,0.05920285,-0.00001010,0.00002039
15,0.00000000,0.00001261,2.58830967,-0.00000010,2.52363384,0.06467584,-0.00001262,0.00002523
16,0.00000000,0.00001496,2.76054040,-0.00000012,2.69025005,0.07029035,-0.00001513,0.00003009
17,0.00000000,0.00001907,2.93217024,-0.00000016,2.85600322,0.07616701,-0.00002070,0.00003977
18,0.00000000,0.00002327,3.10374175,-0.00000020,3.02155707,0.08218468,-0.00002626,0.00004954
19,0.00000000,0.00002758,3.27525157,-0.00000024,3.18691016,0.08834141,-0.00003181,0.00005939
20,0.00000000,0.00003199,3.44669635,-0.00000028,3.35206106,0.09463528,-0.00003735,0.00006934
21,0.00000000,0.00003649,3.61807278,-0.00000032,3.51700835,0.10106443,-0.00004288,0.00007937
22,0.00000000,0.00004110,3.78937761,-0.00000036,3.68175062,0.10762699,-0.00004839,0.00008949
23,0.00000000,0.00004580,3.96060759,-0.00000040,3.84628647,0.11432113,-0.00005390,0.00009969
24,0.00000000,0.00005060,4.13175954,-0.00000044,4.01061451,0.12114503,-0.00005939,0.00010998
25,0.00000000,0.00005549,4.30283029,-0.00000048,4.17473336,0.12809693,-0.00006486,0.00012036
26,0.00000000,0.00006048,4.47381670,-0.00000052,4.33864165,0.13517505,-0.00007033,0.00013081
27,0.00000000,0.00006557,4.64471569,-0.00000057,4.50233802,0.14237767,-0.00007579,0.00014135
28,0.00000000,0.00007075,4.81552419,-0.00000061,4.66582112,0.14970307,-0.00008123,0.00015198
29,0.00000000,0.00007602,4.98623917,-0.00000066,4.82908959,0.15714958,-0.00008665,0.00016268
30,0.00000000,0.00008488,5.15532737,-0.00000074,4.99045199,0.16487538,-0.00009853,0.00018341
31,0.00000000,0.00009395,5.32433157,-0.00000082,5.15160442,0.17272715,-0.00011039,0.00020434
32,0.00000000,0.00010256,5.49005608,-0.00000090,5.30956613,0.18048996,-0.00012137,0.00022393
33,0.00000000,0.00011137,5.65569462,-0.00000098,5.46732366,0.18837095,-0.00013233,0.00024369
34,0.00000000,0.00012036,5.82124436,-0.00000107,5.62487579,0.19636857,-0.00014327,0.00026363
35,0.00000000,0.00012955,5.98670254,-0.00000115,5.78222130,0.20448124,-0.00015419,0.00028374
36,0.00000000,0.00013893,6.15206639,-0.00000123,5.93935897,0.21270742,-0.00016508,0.00030402
37,0.00000000,0.00014850,6.31733320,-0.00000132,6.09628760,0.22104560,-0.00017596,0.00032446
38,0.00000000,0.00015826,6.48250027,-0.00000141,6.25300599,0.22949428,-0.00018682,0.00034507
39,0.00000000,0.00016820,6.64756492,-0.00000149,6.40951295,0.23805197,-0.00019765,0.00036585
40,0.00000000,0.00017832,6.81252451,-0.00000158,6.56580729,0.24671722,-0.00020846,0.00038679
41,0.00000000,0.00018863,6.97737641,-0.00000167,6.72188784,0.25548857,-0.00021925,0.00040789
42,0.00000000,0.00019913,7.14211804,-0.00000177,6.87775344,0.26436461,-0.00023002,0.00042914
43,0.00000000,0.00020980,7.30674682,-0.00000186,7.03340291,0.27334392,-0.00024076,0.00045056
44,0.00000000,0.00022066,7.47126021,-0.00000195,7.18883509,0.28242512,-0.00025148,0.00047214
45,0.00000000,0.00023169,7.63565568,-0.00000205,7.34404885,0.29160683,-0.00026218,0.00049387
46,0.00000000,0.00024290,7.79993074,-0.00000215,7.49904303,0.30088771,-0.00027285,0.00051575
47,0.00000000,0.00025429,7.96408291,-0.00000224,7.65381650,0.31026641,-0.00028350,0.00053779
48,0.00000000,0.00026585,8.12810973,-0.00000234,7.80836813,0.31974160,-0.00029412,0.00055998
49,0.00000000,0.00027759,8.29200878,-0.00000244,7.96269679,0.32931200,-0.00030472,0.00058232
50,0.00000000,0.00028951,8.45577766,-0.00000254,8.11680136,0.33897630,-0.00031529,0.00060480
51,0.00000000,0.00030160,8.61941396,-0.00000265,8.27068073,0.34873323,-0.00032584,0.00062744
52,0.00000000,0.00031386,8.78291534,-0.00000275,8.42433380,0.35858153,-0.00033636,0.00065021
53,0.00000000,0.00032629,8.94627944,-0.00000286,8.57775946,0.36851997,-0.00034685,0.00067314
54,0.00000000,0.00033889,9.10950394,-0.00000296,8.73095662,0.37854732,-0.00035732,0.00069620
55,0.00000000,0.00035166,9.27258654,-0.00000307,8.88392418,0.38866236,-0.00036775,0.00071941
56,0.00000000,0.00036460,9.43552496,-0.00000318,9.03666107,0.39886390,-0.00037816,0.00074276
57,0.00000000,0.00037770,9.59831694,-0.00000329,9.18916620,0.40915074,-0.00038854,0.00076624
58,0.00000000,0.00039098,9.76096023,-0.00000340,9.34143850,0.41952173,-0.00039889,0.00078987
59,0.00000000,0.00040442,9.92345261,-0.00000352,9.49347690,0.42997571,-0.00040921,0.00081363
60,0.00000000,0.00041802,10.08579187,-0.00000363,9.64528033,0.44051154,-0.00041951,0.00083753
61,0.00000000,0.00043179,10.24797583,-0.00000374,9.79684775,0.45112808,-0.00042977,0.00086156
62,0.00000000,0.00044573,10.41000232,-0.00000386,9.94817809,0.46182422,-0.00044000,0.00088572
63,0.00000000,0.00045982,10.57186918,-0.00000398,10.09927031,0.47259887,-0.00045020,0.00091002
64,0.00000000,0.00047408,10.73357430,-0.00000410,10.25012337,0.48345093,-0.00046036,0.00093445
65,0.00000000,0.00048851,10.89511555,-0.00000422,10.40073622,0.49437933,-0.00047050,0.00095900
66,0.00000000,0.00050309,11.05649083,-0.00000434,10.55110783,0.50538300,-0.00048060,0.00098369
67,0.00000000,0.00051783,11.21769806,-0.00000446,10.70123717,0.51646089,-0.00049067,0.00100850
68,0.00000000,0.00053274,11.37873518,-0.00000459,10.85112321,0.52761197,-0.00050070,0.00103344
69,0.00000000,0.00054780,11.53960015,-0.00000471,11.00076495,0.53883520,-0.00051070,0.00105850
70,0.00000000,0.00056302,11.70029092,-0.00000484,11.15016135,0.55012957,-0.00052067,0.00108369
