step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,0.00001694,1.49252887,0.00000157,1.38634225,0.10618662,0.00012348,-0.00010655
2,0.00000000,504.88661787,208.69437001,214.48574946,142.12561833,66.56875168,42.77503450,462.11158337
3,0.00000000,678.46654454,336.08827738,207.72279385,134.17772350,201.91055388,-6.51898181,684.98552634
4,0.00000000,749.73362906,375.22378968,202.32946536,127.70162865,247.52216103,-19.12267313,768.85630219
5,0.00000000,807.79048545,405.07325857,195.98341726,121.35462204,283.71863653,-30.76181370,838.55229916
6,0.00000000,849.11215352,426.14811431,190.11287427,115.28896197,310.85915233,-41.75043228,890.86258580
7,0.00000000,880.71152155,441.45639862,184.84617012,109.51452450,331.94187412,-51.62450784,932.33602939
8,0.00000000,901.85899287,451.51656629,179.78268549,103.71932406,347.79724222,-61.54175307,963.40074594
9,0.00000000,914.85959879,457.52243653,174.86081322,97.89954042,359.62289611,-71.52557657,986.38517536
10,0.00000000,921.44537201,460.35490609,170.06159927,92.05335825,368.30154783,-81.59116360,1003.03653561
11,0.00000000,922.86843057,460.64992051,165.36486105,86.18006118,374.46985933,-91.74660103,1014.61503159
12,0.00000000,920.05395316,458.88040750,160.75426890,80.27837551,378.60203199,-101.99840638,1022.05235954
13,0.00000000,913.69814495,455.40654303,156.21489790,74.34740495,381.05913808,-112.35027185,1026.04841680
14,0.00000000,904.35467853,450.51312645,151.73407585,68.38497084,382.12815562,-122.80590405,1027.16058258
15,0.00000000,892.44906620,444.41737542,147.29394441,62.38588064,382.03149478,-133.36960259,1025.81866879
16,0.00000000,878.34695424,437.30601930,142.88909294,56.34830003,380.95771927,-144.04460258,1022.39155682
17,0.00000000,862.55888953,429.44152704,138.61428546,50.29398106,379.14754599,-154.83013329,1017.38902282
18,0.00000000,845.49819880,421.03784701,134.53990049,44.24280696,376.79504005,-165.72592495,1011.22412375
19,0.00000000,827.32562040,412.17642263,130.63815942,38.19092604,373.98549659,-176.73469085,1004.06031124
20,0.00000000,808.04219134,402.89606753,126.83938028,32.22543505,370.67063248,-187.78759794,995.82978928
21,0.00000000,787.87877840,393.28997580,123.15897042,26.29418860,366.99578720,-198.92438607,986.80316447
22,0.00000000,766.99395533,383.42391609,119.60024619,20.37020208,363.05371401,-210.16579544,977.15975076
23,0.00000000,745.49265657,373.34848237,116.15663106,14.45221177,358.89627060,-221.51346203,967.00611859
24,0.00000000,723.46969602,363.10725808,112.82438802,8.53449720,354.57276088,-232.97283009,956.44252612
25,0.00000000,701.00757441,352.73769067,109.59978384,2.61521941,350.12247126,-244.54550607,945.55308048
26,0.00000000,678.17497917,342.27196602,106.47893713,-3.30657225,345.57853827,-256.23328568,934.40826485
27,0.00000000,655.02979009,331.73744027,103.45776305,-9.23185703,340.96929730,-268.03836776,923.06815784
28,0.00000000,631.62130849,321.15714251,100.53253793,-15.16158165,336.31872416,-279.96283406,911.58414255
29,0.00000000,607.99182066,310.55049359,97.69975302,-21.09672496,331.64721855,-292.00870906,900.00052972
30,0.00000000,584.17990011,299.93473793,94.95618028,-27.03824494,326.97298287,-304.17784874,888.35774886
31,0.00000000,560.21980850,289.32434024,92.29877763,-32.98724871,322.31158895,-316.47147989,876.69128839
32,0.00000000,536.95682862,279.08617532,89.81342849,-38.70881557,317.79499089,-328.37683077,865.33365939
33,0.00000000,514.38480767,269.20971374,87.48375827,-44.21332956,313.42304330,-339.90696044,854.29176811
34,0.00000000,492.49410508,259.68377558,85.29527122,-49.51064029,309.19441586,-351.07432344,843.56842852
35,0.00000000,471.27367871,250.49730555,83.23550557,-54.60991062,305.10721618,-361.89084456,833.16452327
36,0.00000000,450.71121121,241.63925158,81.29361032,-59.51987371,301.15912529,-372.36797409,823.07918530
37,0.00000000,430.79311274,233.09854246,79.45996100,-64.24877217,297.34731463,-382.51669449,813.30980722
38,0.00000000,411.50581449,224.86451128,77.72632732,-68.80440591,293.66891719,-392.34731256,803.85312705
39,0.00000000,392.83501412,216.92669714,76.08530579,-73.19419555,290.12089269,-401.86992888,794.70494300
40,0.00000000,374.76535443,209.27464990,74.53012819,-77.42515076,286.69980066,-411.09439071,785.85974514
41,0.00000000,357.28105543,201.89813176,73.05462646,-81.50390817,283.40203993,-420.03020520,777.31126062
42,0.00000000,340.36619502,194.78718052,71.65326345,-85.43676197,280.22394249,-428.68655339,769.05274842
43,0.00000000,324.00473949,187.93210523,70.32103335,-89.22969032,277.16179555,-437.07231251,761.07705200
44,0.00000000,308.18073563,181.32348368,69.05332220,-92.88838069,274.21186437,-445.19606026,753.37679589
45,0.00000000,292.87850142,174.95226748,67.84590860,-96.41828346,271.37055094,-453.06606485,745.94456627
46,0.00000000,278.08224069,168.80960560,66.69504065,-99.82454464,268.63415024,-460.69035636,738.77259705
47,0.00000000,263.63856139,162.83045078,65.58728218,-103.14800969,265.97846047,-468.15902182,731.79758322
48,0.00000000,249.33201802,156.92531709,64.50574673,-106.44543927,263.37075636,-475.60011746,724.93213548
49,0.00000000,235.16208235,151.09341038,63.44976423,-109.71753067,260.81094105,-483.01419884,718.17628119
50,0.00000000,221.12807204,145.33381574,62.41871055,-112.96498918,258.29880492,-490.40179455,711.52986659
51,0.00000000,207.22885376,139.64541140,61.41198858,-116.18849335,255.83390476,-497.76339071,704.99224447
52,0.00000000,193.46333256,134.02717930,60.42899012,-119.38868859,253.41586789,-505.09949834,698.56283091
53,0.00000000,179.83030602,128.47806943,59.46913521,-122.56620504,251.04427447,-512.41061575,692.24092177
54,0.00000000,166.32847810,122.99710584,58.53185904,-125.72150465,248.71861049,-519.69717420,686.02565230
55,0.00000000,152.95646171,117.58317285,57.61663474,-128.85513855,246.43831140,-526.95955885,679.91602056
56,0.00000000,139.71273975,112.23509948,56.72293450,-131.96770108,244.20280056,-534.19823190,673.91097165
57,0.00000000,126.59569306,106.95167995,55.85024883,-135.05977557,242.01145552,-541.41365842,668.00935148
58,0.00000000,113.60366054,101.73171027,54.99809051,-138.13193236,239.86364264,-548.60629196,662.20995250
59,0.00000000,100.73495810,96.57397660,54.16599198,-141.18472897,237.75870557,-555.77657422,656.51153232
60,0.00000000,87.98774104,91.47723772,53.35348715,-144.21870517,235.69594289,-562.92493919,650.91268023
61,0.00000000,75.36013532,86.44025771,52.56013278,-147.23438649,233.67464419,-570.05180736,645.41194268
62,0.00000000,62.85032357,81.46182744,51.78542773,-150.23228983,231.69411727,-577.15759230,640.00791587
63,0.00000000,50.45635125,76.54067018,51.02893382,-153.21292315,229.75359333,-584.24269675,634.69904800
64,0.00000000,38.36545555,71.92546598,50.29823699,-155.93732833,227.86279431,-591.14478664,629.51024219
65,0.00000000,26.41608744,67.40561973,49.58575540,-158.60558302,226.01120276,-597.99992519,624.41601263
66,0.00000000,14.57525926,62.93884272,48.88980668,-161.25753859,224.19638131,-604.83526618,619.41052544
67,0.00000000,2.83977276,58.52223032,48.20995307,-163.89528893,222.41751925,-611.65229881,614.49207157
68,0.00000000,-8.79200834,54.15467318,47.54582374,-166.51920585,220.67387902,-618.45111431,609.65910597
69,0.00000000,-20.32218018,49.83470987,46.89704366,-169.13002460,218.96473447,-625.23225903,604.91007884
70,0.00000000,-31.75261458,45.56122069,46.26326329,-171.72813680,217.28935750,-631.99605733,600.24344275
71,0.00000000,-42.88130497,41.36585085,45.64388897,-174.28124625,215.64709710,-638.53651408,595.65520910
72,0.00000000,-53.88174930,37.25740814,45.01143139,-176.72141505,213.97882318,-644.94142334,591.05967403
73,0.00000000,-64.79356980,33.20542606,44.38438569,-179.11802021,212.32344627,-651.30775102,586.51418121
74,0.00000000,-75.61657079,29.20074083,43.76893868,-181.49337060,210.69411143,-657.65414965,582.03757886
75,0.00000000,-86.00644859,25.54005932,43.18196482,-183.59550048,209.13555980,-663.72347036,577.71702177
76,0.00000000,-96.28700161,21.93943338,42.60949699,-185.67018724,207.60962062,-669.76185639,573.47485478
77,0.00000000,-106.47464471,18.38502048,42.05062299,-187.72894336,206.11396384,-675.78083364,569.30618893
78,0.00000000,-116.57789855,14.86966465,41.50473516,-189.77752937,204.64719402,-681.78601017,565.20811161
79,0.00000000,-126.59827694,11.39241506,40.97151729,-191.81620579,203.20862085,-687.77749726,561.17922032
80,0.00000000,-136.53755876,7.95218381,40.45066648,-193.84534028,201.79752409,-693.75556220,557.21800344
81,0.00000000,-146.39747554,4.54792079,39.94187676,-195.86523455,200.41315534,-699.72041073,553.32293520
82,0.00000000,-156.17981611,1.17857570,39.44484356,-197.87619129,199.05476698,-705.67231607,549.49249996
83,0.00000000,-165.88625374,-2.15680885,38.95929490,-199.87850981,197.72170095,-711.61154074,545.72528699
84,0.00000000,-175.51841305,-5.45916948,38.48495445,-201.87248141,196.41331194,-717.53833976,542.01992671
85,0.00000000,-185.07795259,-8.72944798,38.02153132,-203.85839337,195.12894539,-723.45296532,538.37501273
86,0.00000000,-194.49107983,-12.00557303,37.57076354,-205.87285004,193.86727701,-729.27187106,534.78079123
87,0.00000000,-203.72724798,-15.30504687,37.13364900,-207.93216710,192.62712024,-734.95822795,531.23097998
88,0.00000000,-212.88242317,-18.58216423,36.70729326,-209.99092914,191.40876491,-740.61760585,527.73518269
89,0.00000000,-221.97199224,-21.83077317,36.29102511,-212.04256562,190.21179245,-746.26585316,524.29386092
90,0.00000000,-230.99766351,-25.05155020,35.88461302,-214.08720989,189.03565969,-751.90345664,520.90579313
91,0.00000000,-239.96097309,-28.24526203,35.48786627,-216.12508603,187.87982399,-757.53069769,517.56972460
92,0.00000000,-248.86333875,-31.41261267,35.10059524,-218.15639446,186.74378178,-763.14791799,514.28457924
93,0.00000000,-257.70620600,-34.55433212,34.72259401,-220.18134972,185.62701760,-768.75538014,511.04917414
94,0.00000000,-266.49089865,-37.67111742,34.35365158,-222.20017365,184.52905624,-774.35329504,507.86239639
95,0.00000000,-275.21870155,-40.76364835,33.99355830,-224.21308219,183.44943384,-779.94186635,504.72316480
96,0.00000000,-283.89085629,-43.83260457,33.64211226,-226.22030157,182.38769700,-785.52127331,501.63041703
97,0.00000000,-292.50855997,-46.87866475,33.29912232,-228.22206725,181.34340250,-791.09167496,498.58311499
98,0.00000000,-301.07291758,-49.90245864,32.96439604,-230.21859229,180.31613365,-796.65320289,495.58028531
99,0.00000000,-309.86832755,-53.02862402,32.63763106,-232.25664004,179.22801603,-802.31921230,492.45088475
100,0.00000000,-318.60432311,-56.13097561,32.31879550,-234.29004864,178.15907303,-807.97524892,489.37092580
101,0.00000000,-327.28230907,-59.21017074,32.00769888,-236.31899286,177.10882212,-813.62152858,486.33921951
102,0.00000000,-335.62511800,-62.14361509,31.70422960,-238.29615880,176.15254371,-819.14580782,483.52068982
103,0.00000000,-343.92055214,-65.05787098,31.40802316,-240.26901781,175.21114683,-824.66216728,480.74161513
104,0.00000000,-352.16958390,-67.95344113,31.11890431,-242.23773485,174.28429372,-830.17077314,478.00118923
105,0.00000000,-360.64949874,-70.95390420,30.83568493,-244.25064962,173.29674542,-835.78365053,475.13415179
106,0.00000000,-369.07823480,-73.93424929,30.55863054,-246.25978353,172.32553425,-841.38757708,472.30934228
107,0.00000000,-377.38332380,-76.93125977,30.28684724,-248.30426675,171.37300698,-846.90622976,469.52290596
108,0.00000000,-385.57941715,-79.93933574,30.02024204,-250.37738916,170.43805342,-852.35325283,466.77383568
109,0.00000000,-393.67542863,-82.95536556,29.75877517,-252.47526913,169.51990357,-857.73674551,464.06131689
110,0.00000000,-401.71847100,-85.95705731,29.50271292,-254.57355615,168.61649884,-863.10481840,461.38634740
111,0.00000000,-409.71684419,-88.94130208,29.25194612,-256.66852357,167.72722149,-868.46519072,458.74834654
112,0.00000000,-417.67197496,-91.90859772,29.00617833,-258.76021347,166.85161576,-873.81818775,456.14621279
113,0.00000000,-425.53770130,-94.71760927,28.76812865,-260.69765077,165.98004150,-879.12012882,453.58242752
114,0.00000000,-433.34416952,-97.45464760,28.53559457,-262.57222630,165.11757870,-884.39773951,451.05356999
115,0.00000000,-441.02001467,-99.91788693,28.32330116,-264.18873728,164.27085035,-889.61104278,448.59102811
116,0.00000000,-448.65703143,-102.36365083,28.11486051,-265.79993238,163.43628155,-894.81715416,446.16012273
117,0.00000000,-456.23898893,-104.77203212,27.90782774,-267.35775671,162.58572459,-899.93543318,443.69644424
118,0.00000000,-463.75792095,-107.13850289,27.70286581,-268.84958197,161.71107909,-904.93557671,441.17765576
119,0.00000000,-471.23459730,-109.48452908,27.50113022,-270.32818486,160.84365578,-909.91410291,438.67950562
120,0.00000000,-478.67222379,-111.81224631,27.30245100,-271.79886046,159.98661414,-914.88248318,436.21025939
121,0.00000000,-486.07180780,-114.12269753,27.10683401,-273.26299001,159.14029248,-919.84233633,433.77052852
122,0.00000000,-493.43450398,-116.41819595,26.91460919,-274.72364389,158.30544794,-924.79573178,431.36122780
123,0.00000000,-500.76127856,-118.69994767,26.72588421,-276.18208568,157.48213801,-929.74346997,428.98219141
124,0.00000000,-508.03236193,-120.90809377,26.54000303,-277.57221123,156.66411746,-934.66185171,426.62948978
125,0.00000000,-515.21896511,-123.07894631,26.37559006,-278.92409820,155.84515190,-939.46303946,424.24407435
126,0.00000000,-522.36128321,-125.25273421,26.22047497,-280.28828062,155.03554640,-944.23000771,421.86872450
127,0.00000000,-529.46522720,-127.41531104,26.06971317,-281.65135029,154.23603924,-948.98299168,419.51776448
128,0.00000000,-536.53399803,-129.56722542,25.92215400,-283.01414839,153.44692297,-953.72827237,417.19427434
129,0.00000000,-543.56886333,-131.70783897,25.77734130,-284.37585745,152.66801847,-958.46782197,414.89895864
130,0.00000000,-550.57076278,-133.83765495,25.63528218,-285.73666055,151.89900561,-963.20197652,412.63121374
131,0.00000000,-557.54053891,-135.95720763,25.49602584,-287.09676597,151.13955834,-967.93085571,410.39031680
132,0.00000000,-564.47901990,-138.06694249,25.35961810,-288.45630103,150.38935854,-972.65459474,408.17557483
133,0.00000000,-571.35569827,-140.22750786,25.24411000,-289.86772399,149.64021612,-977.28474055,405.92904228
134,0.00000000,-578.19323109,-142.39268343,25.13502016,-291.29091515,148.89823172,-981.88944855,403.69621746
135,0.00000000,-584.99248553,-144.56120757,25.03172154,-292.72467333,148.16346576,-986.47095210,401.47846657
136,0.00000000,-591.75952078,-146.72260321,24.93093060,-294.15972303,147.43711982,-991.04512509,399.28560431
137,0.00000000,-598.49494274,-148.87628236,24.83245792,-295.59536330,146.71908095,-995.61340599,397.11846325
138,0.00000000,-605.19927927,-151.02227825,24.73625271,-297.03146783,146.00918957,-1000.17621345,394.97693418
139,0.00000000,-611.87321858,-153.16076406,24.64229737,-298.46803220,145.30726814,-1004.73372634,392.86050776
140,0.00000000,-618.29373146,-155.09536503,24.56951824,-299.75571206,144.66034703,-1009.15436114,390.86062968
141,0.00000000,-624.61137243,-156.95728167,24.50501118,-300.99328646,144.03600480,-1013.52527654,388.91390411
142,0.00000000,-630.87927688,-158.79263879,24.44433471,-302.21559341,143.42295461,-1017.87729776,386.99802089
143,0.00000000,-637.12128579,-160.62205658,24.38551893,-303.43814991,142.81609333,-1022.22414117,385.10285538
