step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.01,16,1,0.01,0,0,0,0,0,0.0008081
2,0.02,13,1,0.01,0,0,0,0,0,0.000775377
3,0.03,12,1,0.01,0,0,0,0,0,0.000870141
4,0.04,12,1,0.01,0,0,0,0,0,0.00068679
5,0.05,12,1,0.01,0,0,0,0,0,0.000608317
6,0.06,12,1,0.01,0,0,0,0,0,0.000572695
7,0.07,12,1,0.01,0,0,0,0,0,0.000555415
8,0.08,12,1,0.01,0,0,0,0,0,0.000544535
9,0.09,12,1,0.01,0,0,0,0,0,0.000536342
10,0.1,12,1,0.01,0,0,0,0,0,0.000528034
11,0.11,12,1,0.01,0,0,0,0,0,0.000516797
12,0.12,11,1,0.01,0,0,0,0,0,0.000984248
13,0.13,11,1,0.01,0,0,0,0,0,0.000973197
14,0.14,11,1,0.01,0,0,0,0,0,0.000970694
15,0.15,11,1,0.01,0,0,0,0,0,0.000965969
16,0.16,11,1,0.01,0,0,0,0,0,0.000961184
17,0.17,11,1,0.01,0,0,0,0,0,0.000954882
18,0.18,11,1,0.01,0,0,0,0,0,0.000947195
19,0.19,11,1,0.01,0,0,0,0,0,0.000939556
20,0.2,11,1,0.01,0,0,0,0,0,0.00093453
21,0.21,11,1,0.01,0,0,0,0,0,0.000938444
22,0.22,11,1,0.01,0,0,0,0,0,0.000948315
23,0.23,11,1,0.01,0,0,0,0,0,0.000962598
24,0.24,11,1,0.01,0,0,0,0,0,0.000974598
25,0.25,11,1,0.01,0,0,0,0,0,0.000988092
26,0.26,11,1,0.01,0,0,0,0,0,0.000996978
27,0.27,12,1,0.01,0,0,0,0,0,0.000518939
28,0.28,12,1,0.01,0,0,0,0,0,0.000521778
29,0.29,12,1,0.01,0,0,0,0,0,0.000524456
30,0.3,12,1,0.01,0,0,0,0,0,0.000526354
31,0.31,12,1,0.01,0,0,0,0,0,0.000527757
32,0.32,12,1,0.01,0,0,0,0,0,0.000528338
33,0.33,12,1,0.01,0,0,0,0,0,0.000527496
34,0.34,12,1,0.01,0,0,0,0,0,0.000526256
35,0.35,12,1,0.01,0,0,0,0,0,0.00052344
36,0.36,14,1,0.01,0,0,0,0,0,0.000911066
37,0.37,12,1,0.01,0,0,0,0,0,0.000529183
38,0.38,12,1,0.01,0,0,0,0,0,0.000547446
39,0.39,12,1,0.01,0,0,0,0,0,0.000548218
40,0.4,12,1,0.01,0,0,0,0,0,0.000565899
41,0.41,12,1,0.01,0,0,0,0,0,0.000605505
42,0.42,12,1,0.01,0,0,0,0,0,0.00069094
43,0.43,12,1,0.01,0,0,0,0,0,0.00075667
44,0.44,12,1,0.01,0,0,0,0,0,0.000674806
45,0.45,12,1,0.01,0,0,0,0,0,0.000532228
46,0.46,12,1,0.01,0,0,0,0,0,0.000528469
47,0.47,12,1,0.01,0,0,0,0,0,0.000548714
48,0.48,13,1,0.01,0,0,0,0,0,0.000453512
49,0.49,12,1,0.01,0,0,0,0,0,0.000550276
50,0.5,12,1,0.01,0,0,0,0,0,0.000575848
51,0.51,12,1,0.01,0,0,0,0,0,0.000602688
52,0.52,12,1,0.01,0,0,0,0,0,0.000911726
53,0.53,12,1,0.01,0,0,0,0,0,0.00086517
54,0.54,12,1,0.01,0,0,0,0,0,0.000620834
55,0.55,12,1,0.01,0,0,0,0,0,0.000675756
56,0.56,12,1,0.01,0,0,0,0,0,0.000630428
57,0.57,13,1,0.01,0,0,0,0,0,0.000665184
58,0.58,12,1,0.01,0,0,0,0,0,0.000674698
59,0.59,12,1,0.01,0,0,0,0,0,0.00065194
60,0.6,12,1,0.01,0,0,0,0,0,0.000652145
61,0.61,12,1,0.01,0,0,0,0,0,0.000657627
62,0.62,12,1,0.01,0,0,0,0,0,0.000934466
63,0.63,12,1,0.01,0,0,0,0,0,0.000661679
64,0.64,12,1,0.01,0,0,0,0,0,0.000682644
65,0.65,12,1,0.01,0,0,0,0,0,0.000662597
66,0.66,12,1,0.01,0,0,0,0,0,0.000655245
67,0.67,12,1,0.01,0,0,0,0,0,0.000726246
68,0.68,12,1,0.01,0,0,0,0,0,0.000671092
69,0.69,12,1,0.01,0,0,0,0,0,0.000653478
70,0.7,12,1,0.01,0,0,0,0,0,0.000675377
71,0.71,13,1,0.01,0,0,0,0,0,0.000915766
72,0.72,13,1,0.01,0,0,0,0,0,0.000930651
73,0.73,15,1,0.01,0,0,0,0,0,0.000978081
74,0.74,13,1,0.01,0,0,0,0,0,0.000449358
75,0.75,12,1,0.01,0,0,0,0,0,0.000829069
76,0.76,12,1,0.01,0,0,0,0,0,0.000660584
77,0.77,12,1,0.01,0,0,0,0,0,0.000662437
78,0.78,12,1,0.01,0,0,0,0,0,0.000671142
79,0.79,12,1,0.01,0,0,0,0,0,0.00066455
80,0.8,12,1,0.01,0,0,0,0,0,0.000681824
81,0.81,12,1,0.01,0,0,0,0,0,0.00066883
82,0.82,12,1,0.01,0,0,0,0,0,0.000667639
83,0.83,12,1,0.01,0,0,0,0,0,0.00066659
84,0.84,12,1,0.01,0,0,0,0,0,0.000678358
85,0.85,12,1,0.01,0,0,0,0,0,0.000668218
86,0.86,13,1,0.01,0,0,0,0,0,0.000506304
87,0.87,12,1,0.01,0,0,0,0,0,0.000957704
88,0.88,12,1,0.01,0,0,0,0,0,0.000681792
89,0.89,12,1,0.01,0,0,0,0,0,0.000748792
90,0.9,12,1,0.01,0,0,0,0,0,0.00066135
91,0.91,12,1,0.01,0,0,0,0,0,0.000660854
92,0.92,13,1,0.01,0,0,0,0,0,0.000863647
93,0.93,2000,1,0.01,0,0,0,0,0,0.00190749
94,0.94,12,1,0.01,0,0,0,0,0,0.0007506
95,0.95,12,1,0.01,0,0,0,0,0,0.000980993
96,0.96,12,1,0.01,0,0,0,0,0,0.000908662
97,0.97,12,1,0.01,0,0,0,0,0,0.000637008
98,0.98,12,1,0.01,0,0,0,0,0,0.000852296
99,0.99,12,1,0.01,0,0,0,0,0,0.000665453
100,1,12,1,0.01,0,0,0,0,0,0.000671503
101,1.01,12,1,0.01,0,0,0,0,0,0.000628244
102,1.02,12,1,0.01,0,0,0,0,0,0.000623556
103,1.03,12,1,0.01,0,0,0,0,0,0.000860592
104,1.04,12,1,0.01,0,0,0,0,0,0.000613947
105,1.05,12,1,0.01,0,0,0,0,0,0.000607434
106,1.06,12,1,0.01,0,0,0,0,0,0.000605034
107,1.07,12,1,0.01,0,0,0,0,0,0.000602996
108,1.08,12,1,0.01,0,0,0,0,0,0.000599473
109,1.09,12,1,0.01,0,0,0,0,0,0.000985419
110,1.1,12,1,0.01,0,0,0,0,0,0.000665677
111,1.11,12,1,0.01,0,0,0,0,0,0.000592123
112,1.12,2000,1,0.01,0,0,0,0,0,0.00119656
113,1.13,12,1,0.01,0,0,0,0,0,0.000592186
114,1.14,12,1,0.01,0,0,0,0,0,0.000599491
115,1.15,12,1,0.01,0,0,0,0,0,0.000851303
116,1.16,12,1,0.01,0,0,0,0,0,0.000589006
117,1.17,12,1,0.01,0,0,0,0,0,0.00059309
118,1.18,12,1,0.01,0,0,0,0,0,0.000883001
119,1.19,13,1,0.01,0,0,0,0,0,0.000512667
120,1.2,12,1,0.01,0,0,0,0,0,0.000652755
121,1.21,12,1,0.01,0,0,0,0,0,0.000601448
122,1.22,12,1,0.01,0,0,0,0,0,0.000647609
123,1.23,12,1,0.01,0,0,0,0,0,0.000603739
124,1.24,15,1,0.01,0,0,0,0,0,0.000768504
125,1.25,12,1,0.01,0,0,0,0,0,0.000675862
126,1.26,12,1,0.01,0,0,0,0,0,0.000604595
127,1.27,13,1,0.01,0,0,0,0,0,0.000927924
128,1.28,12,1,0.01,0,0,0,0,0,0.000623184
129,1.29,12,1,0.01,0,0,0,0,0,0.000616097
130,1.3,12,1,0.01,0,0,0,0,0,0.000670494
131,1.31,12,1,0.01,0,0,0,0,0,0.000607792
132,1.32,12,1,0.01,0,0,0,0,0,0.000609876
133,1.33,15,1,0.01,0,0,0,0,0,0.000503256
134,1.34,12,1,0.01,0,0,0,0,0,0.000664214
135,1.35,12,1,0.01,0,0,0,0,0,0.000636589
136,1.36,12,1,0.01,0,0,0,0,0,0.000710337
137,1.37,12,1,0.01,0,0,0,0,0,0.000643699
138,1.38,12,1,0.01,0,0,0,0,0,0.000603863
139,1.39,15,1,0.01,0,0,0,0,0,0.000202792
140,1.4,12,1,0.01,0,0,0,0,0,0.000599747
141,1.41,15,1,0.01,0,0,0,0,0,0.000825453
142,1.42,2000,1,0.01,0,0,0,0,0,0.00144686
143,1.43,12,1,0.01,0,0,0,0,0,0.000690142
144,1.44,2000,1,0.01,0,0,0,0,0,0.00132932
145,1.45,12,1,0.01,0,0,0,0,0,0.000749779
146,1.46,12,1,0.01,0,0,0,0,0,0.000938508
147,1.47,12,1,0.01,0,0,0,0,0,0.000602731
148,1.48,13,1,0.01,0,0,0,0,0,0.000358378
149,1.49,12,1,0.01,0,0,0,0,0,0.000668813
150,1.5,2000,1,0.01,0,0,0,0,0,0.00126213
151,1.51,2000,1,0.01,0,0,0,0,0,0.0013594
152,1.52,2000,1,0.01,0,0,0,0,0,0.0013586
153,1.53,2000,1,0.01,0,0,0,0,0,0.00135197
154,1.54,2000,1,0.01,0,0,0,0,0,0.00135619
155,1.55,14,1,0.01,0,0,0,0,0,0.000958534
156,1.56,12,1,0.01,0,0,0,0,0,0.000608019
157,1.57,2000,1,0.01,0,0,0,0,0,0.00218196
158,1.58,14,1,0.01,0,0,0,0,0,0.000593166
159,1.59,2000,1,0.01,0,0,0,0,0,0.00132974
160,1.6,13,1,0.01,0,0,0,0,0,0.000703982
161,1.61,13,1,0.01,0,0,0,0,0,0.000439562
162,1.62,12,1,0.01,0,0,0,0,0,0.000625798
163,1.63,12,1,0.01,0,0,0,0,0,0.000834663
164,1.64,12,1,0.01,0,0,0,0,0,0.000858484
165,1.65,12,1,0.01,0,0,0,0,0,0.000644156
166,1.66,12,1,0.01,0,0,0,0,0,0.000605537
167,1.67,12,1,0.01,0,0,0,0,0,0.00089735
168,1.68,12,1,0.01,0,0,0,0,0,0.000627097
169,1.69,12,1,0.01,0,0,0,0,0,0.000949577
170,1.7,12,1,0.01,0,0,0,0,0,0.000944767
171,1.71,12,1,0.01,0,0,0,0,0,0.000606424
172,1.72,14,1,0.01,0,0,0,0,0,0.000812151
173,1.73,12,1,0.01,0,0,0,0,0,0.000873262
174,1.74,12,1,0.01,0,0,0,0,0,0.000618787
175,1.75,12,1,0.01,0,0,0,0,0,0.000644021
176,1.76,12,1,0.01,0,0,0,0,0,0.00061086
177,1.77,2000,1,0.01,0,0,0,0,0,0.00126878
178,1.78,12,1,0.01,0,0,0,0,0,0.000801472
179,1.79,12,1,0.01,0,0,0,0,0,0.000607554
180,1.8,12,1,0.01,0,0,0,0,0,0.000807686
181,1.81,12,1,0.01,0,0,0,0,0,0.000648187
182,1.82,12,1,0.01,0,0,0,0,0,0.000812426
183,1.83,12,1,0.01,0,0,0,0,0,0.000627953
184,1.84,13,1,0.01,0,0,0,0,0,0.000698708
185,1.85,12,1,0.01,0,0,0,0,0,0.000797581
186,1.86,15,1,0.01,0,0,0,0,0,0.000388491
187,1.87,12,1,0.01,0,0,0,0,0,0.000665112
188,1.88,12,1,0.01,0,0,0,0,0,0.00079529
189,1.89,12,1,0.01,0,0,0,0,0,0.000653443
190,1.9,12,1,0.01,0,0,0,0,0,0.000642172
191,1.91,12,1,0.01,0,0,0,0,0,0.000611425
192,1.92,14,1,0.01,0,0,0,0,0,0.00087932
193,1.93,13,1,0.01,0,0,0,0,0,0.000471269
194,1.94,14,1,0.01,0,0,0,0,0,0.000380445
195,1.95,13,1,0.01,0,0,0,0,0,0.000967631
196,1.96,13,1,0.01,0,0,0,0,0,0.000835745
197,1.97,12,1,0.01,0,0,0,0,0,0.000609526
198,1.98,12,1,0.01,0,0,0,0,0,0.000768024
199,1.99,14,1,0.01,0,0,0,0,0,0.000373171
200,2,13,1,0.01,0,0,0,0,0,0.000848242
201,2.01,12,1,0.01,0,0,0,0,0,0.000876978
202,2.02,12,1,0.01,0,0,0,0,0,0.000930734
203,2.03,12,1,0.01,0,0,0,0,0,0.000906608
204,2.04,12,1,0.01,0,0,0,0,0,0.000663395
205,2.05,12,1,0.01,0,0,0,0,0,0.000616154
206,2.06,12,1,0.01,0,0,0,0,0,0.000614232
207,2.07,12,1,0.01,0,0,0,0,0,0.000654586
208,2.08,12,1,0.01,0,0,0,0,0,0.000611869
209,2.09,12,1,0.01,0,0,0,0,0,0.000650102
210,2.1,12,1,0.01,0,0,0,0,0,0.00061793
211,2.11,14,1,0.01,0,0,0,0,0,0.000261708
212,2.12,13,1,0.01,0,0,0,0,0,0.000821851
213,2.13,12,1,0.01,0,0,0,0,0,0.00060971
214,2.14,12,1,0.01,0,0,0,0,0,0.000610975
215,2.15,12,1,0.01,0,0,0,0,0,0.000613457
216,2.16,13,1,0.01,0,0,0,0,0,0.000433631
217,2.17,12,1,0.01,0,0,0,0,0,0.00060989
218,2.18,12,1,0.01,0,0,0,0,0,0.000655887
219,2.19,12,1,0.01,0,0,0,0,0,0.000613747
220,2.2,12,1,0.01,0,0,0,0,0,0.00061365
221,2.21,14,1,0.01,0,0,0,0,0,0.000296302
222,2.22,12,1,0.01,0,0,0,0,0,0.000627376
223,2.23,12,1,0.01,0,0,0,0,0,0.000611592
224,2.24,12,1,0.01,0,0,0,0,0,0.000633807
225,2.25,12,1,0.01,0,0,0,0,0,0.00062472
226,2.26,13,1,0.01,0,0,0,0,0,0.000832689
227,2.27,12,1,0.01,0,0,0,0,0,0.000611941
228,2.28,12,1,0.01,0,0,0,0,0,0.000646814
229,2.29,12,1,0.01,0,0,0,0,0,0.000672445
230,2.3,12,1,0.01,0,0,0,0,0,0.000612266
231,2.31,12,1,0.01,0,0,0,0,0,0.000613576
232,2.32,12,1,0.01,0,0,0,0,0,0.000625311
233,2.33,12,1,0.01,0,0,0,0,0,0.000633245
234,2.34,12,1,0.01,0,0,0,0,0,0.000623184
235,2.35,13,1,0.01,0,0,0,0,0,0.000503144
236,2.36,12,1,0.01,0,0,0,0,0,0.000624239
237,2.37,12,1,0.01,0,0,0,0,0,0.000733279
238,2.38,12,1,0.01,0,0,0,0,0,0.000612272
239,2.39,12,1,0.01,0,0,0,0,0,0.000613673
240,2.4,12,1,0.01,0,0,0,0,0,0.000671919
241,2.41,13,1,0.01,0,0,0,0,0,0.000504353
242,2.42,12,1,0.01,0,0,0,0,0,0.000611363
243,2.43,13,1,0.01,0,0,0,0,0,0.000539254
244,2.44,12,1,0.01,0,0,0,0,0,0.00068126
245,2.45,12,1,0.01,0,0,0,0,0,0.000612443
