step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.01000000,0.00001563,9.41447170,-0.00000003,9.82806718,-0.41359548,0.00001236,0.00000327
2,0.02000000,0.00001012,17.69601982,0.00000296,18.01711503,-0.32109521,0.00001254,-0.00000241
3,0.03000000,0.00000987,24.64243583,0.00000625,24.72088232,-0.07844649,0.00002501,-0.00001514
4,0.04000000,-0.00000937,30.11882534,0.00000965,29.94589769,0.17292765,0.00004265,-0.00005202
5,0.05000000,-0.00009462,34.04364256,0.00001327,33.71839673,0.32524584,0.00003505,-0.00012967
6,0.06000000,-0.00015644,36.49284830,0.00001857,36.14908191,0.34376639,0.00006636,-0.00022280
7,0.07000000,-0.00017776,37.66866082,0.00001920,37.41408517,0.25457565,0.00019057,-0.00036832
8,0.08000000,-0.00033748,37.82791714,0.00001795,37.72082879,0.10708835,0.00015212,-0.00048960
9,0.09000000,-0.00070393,37.25520843,0.00001633,37.29803315,-0.04282472,-0.00014172,-0.00056221
10,0.10000000,-0.00095686,36.21742279,0.00000686,36.36626777,-0.14884497,-0.00035544,-0.00060142
11,0.11000000,-0.00124575,34.97496149,-0.00000911,35.16038733,-0.18542584,-0.00052562,-0.00072013
12,0.12000000,-0.00148186,33.72444804,-0.00002723,33.88718657,-0.16273854,-0.00061794,-0.00086392
13,0.13000000,-0.00173663,32.58486093,-0.00003164,32.70263666,-0.11777573,-0.00075293,-0.00098370
14,0.14000000,-0.00201625,31.65233810,-0.00002585,31.71148832,-0.05915023,-0.00094272,-0.00107353
15,0.15000000,-0.00237693,30.98561880,-0.00002413,30.96479938,0.02081942,-0.00115451,-0.00122243
16,0.16000000,-0.00269982,30.57027831,-0.00002291,30.46705179,0.10322652,-0.00124758,-0.00145224
17,0.17000000,-0.00290228,30.34926161,-0.00002182,30.19710259,0.15215902,-0.00126501,-0.00163727
18,0.18000000,-0.00295152,30.26784645,-0.00001958,30.10467348,0.16317298,-0.00110935,-0.00184217
19,0.19000000,-0.00298196,30.27764736,-0.00001873,30.12676072,0.15088665,-0.00094782,-0.00203414
20,0.20000000,-0.00293481,30.33477655,-0.00001807,30.20780555,0.12697100,-0.00074936,-0.00218545
21,0.21000000,-0.00284324,30.40218331,-0.00001754,30.30431453,0.09786878,-0.00053002,-0.00231322
22,0.22000000,-0.00275413,30.45236170,-0.00001683,30.38430689,0.06805481,-0.00037538,-0.00237875
23,0.23000000,-0.00271838,30.47186696,-0.00001673,30.43216897,0.03969800,-0.00031234,-0.00240604
24,0.24000000,-0.00266380,30.46123777,-0.00001654,30.44408725,0.01715052,-0.00031888,-0.00234492
25,0.25000000,-0.00259676,30.42656473,-0.00001663,30.42638181,0.00018292,-0.00037653,-0.00222024
26,0.26000000,-0.00250866,30.37791133,-0.00001646,30.38718221,-0.00927089,-0.00047425,-0.00203441
27,0.27000000,-0.00238516,30.32139108,-0.00001613,30.33535356,-0.01396248,-0.00059028,-0.00179489
28,0.28000000,-0.00227726,30.26291776,-0.00001544,30.27725376,-0.01433600,-0.00071146,-0.00156580
29,0.29000000,-0.00216114,30.20530742,-0.00001473,30.21780878,-0.01250136,-0.00081796,-0.00134318
30,0.30000000,-0.00203190,30.14958572,-0.00001427,30.15900541,-0.00941969,-0.00090045,-0.00113145
31,0.31000000,-0.00189953,30.09417441,-0.00001382,30.10060814,-0.00643373,-0.00095964,-0.00093989
32,0.32000000,-0.00175021,30.03757598,-0.00001344,30.04173760,-0.00416162,-0.00098398,-0.00076623
33,0.33000000,-0.00157468,29.97881533,-0.00001302,29.98152033,-0.00270500,-0.00096373,-0.00061096
34,0.34000000,-0.00138027,29.91695419,-0.00001277,29.91921840,-0.00226421,-0.00090081,-0.00047946
35,0.35000000,-0.00117825,29.85130358,-0.00001250,29.85432324,-0.00301967,-0.00080288,-0.00037538
36,0.36000000,-0.00097373,29.78200447,-0.00001228,29.78655008,-0.00454562,-0.00067844,-0.00029529
37,0.37000000,-0.00077500,29.70940274,-0.00001188,29.71578741,-0.00638468,-0.00053722,-0.00023778
38,0.38000000,-0.00058430,29.63363524,-0.00001147,29.64181405,-0.00817882,-0.00038794,-0.00019636
39,0.39000000,-0.00040579,29.55503368,-0.00001125,29.56464246,-0.00960878,-0.00023957,-0.00016622
40,0.40000000,-0.00024130,29.47389048,-0.00001100,29.48457443,-0.01068396,-0.00009551,-0.00014579
41,0.41000000,-0.00016471,29.43215771,-0.00001076,29.44322885,-0.01107114,-0.00002701,-0.00013770
42,0.42000000,-0.00001784,29.34771811,-0.00001051,29.35949623,-0.01177812,0.00010559,-0.00012343
43,0.43000000,0.00011846,29.26095164,-0.00001031,29.27332450,-0.01237286,0.00022988,-0.00011142
44,0.44000000,0.00024531,29.17214037,-0.00001016,29.18490945,-0.01276908,0.00034433,-0.00009902
45,0.45000000,0.00036200,29.08120117,-0.00001004,29.09415535,-0.01295419,0.00044742,-0.00008542
46,0.46000000,0.00046639,28.98798134,-0.00000983,29.00091478,-0.01293344,0.00053638,-0.00007000
47,0.47000000,0.00055661,28.89232315,-0.00000968,28.90505795,-0.01273480,0.00060970,-0.00005309
48,0.48000000,0.00059437,28.84319564,-0.00000950,28.85579478,-0.01259914,0.00063836,-0.00004399
49,0.49000000,0.00062771,28.79347373,-0.00000933,28.80594116,-0.01246743,0.00066286,-0.00003514
50,0.50000000,0.00068569,28.69263717,-0.00000904,28.70486272,-0.01222555,0.00070370,-0.00001801
51,0.51000000,0.00070590,28.64071576,-0.00000888,28.65284694,-0.01213119,0.00071628,-0.00001039
52,0.52000000,0.00072164,28.58818098,-0.00000870,28.60023288,-0.01205190,0.00072503,-0.00000339
53,0.53000000,0.00073308,28.53493682,-0.00000852,28.54692455,-0.01198772,0.00073005,0.00000303
54,0.54000000,0.00074029,28.48098492,-0.00000834,28.49292201,-0.01193710,0.00073146,0.00000884
55,0.55000000,0.00074338,28.42632779,-0.00000816,28.43822792,-0.01190013,0.00072942,0.00001397
56,0.56000000,0.00074249,28.37097070,-0.00000797,28.38284554,-0.01187484,0.00072414,0.00001835
57,0.57000000,0.00073286,28.25885610,-0.00000772,28.27070334,-0.01184724,0.00070734,0.00002551
58,0.58000000,0.00072117,28.20131950,-0.00000754,28.21316606,-0.01184656,0.00069366,0.00002751
59,0.59000000,0.00070639,28.14321077,-0.00000736,28.15505979,-0.01184902,0.00067781,0.00002857
60,0.60000000,0.00068870,28.08442506,-0.00000718,28.09627846,-0.01185340,0.00066001,0.00002869
61,0.61000000,0.00066825,28.02496109,-0.00000700,28.03682113,-0.01186003,0.00064047,0.00002778
62,0.62000000,0.00064512,27.96481599,-0.00000683,27.97668623,-0.01187024,0.00061941,0.00002571
63,0.63000000,0.00061953,27.90398823,-0.00000666,27.91587016,-0.01188193,0.00059704,0.00002250
64,0.64000000,0.00059167,27.84247573,-0.00000649,27.85436742,-0.01189169,0.00057356,0.00001811
65,0.65000000,0.00056175,27.78027473,-0.00000632,27.79217262,-0.01189788,0.00054919,0.00001256
66,0.66000000,0.00049761,27.65445712,-0.00000619,27.66637000,-0.01191288,0.00049862,-0.00000102
67,0.67000000,0.00042703,27.52560594,-0.00000604,27.53750805,-0.01190212,0.00044589,-0.00001886
68,0.68000000,0.00035188,27.39389741,-0.00000589,27.40575703,-0.01185962,0.00039258,-0.00004069
69,0.69000000,0.00027384,27.25927330,-0.00000573,27.27106507,-0.01179178,0.00033990,-0.00006606
70,0.70000000,0.00023433,27.19049233,-0.00000555,27.20223452,-0.01174218,0.00031452,-0.00008018
71,0.71000000,0.00019468,27.12109208,-0.00000537,27.13278272,-0.01169065,0.00028969,-0.00009501
72,0.72000000,0.00011477,26.98078316,-0.00000513,26.99237541,-0.01159225,0.00024086,-0.00012609
73,0.73000000,0.00003485,26.83721379,-0.00000488,26.84871545,-0.01150166,0.00019468,-0.00015982
74,0.74000000,-0.00004462,26.69061871,-0.00000462,26.70204484,-0.01142613,0.00015064,-0.00019526
75,0.75000000,-0.00012477,26.54103384,-0.00000430,26.55238801,-0.01135416,0.00010700,-0.00023177
76,0.76000000,-0.00016563,26.46476192,-0.00000412,26.47607448,-0.01131256,0.00008493,-0.00025056
77,0.77000000,-0.00024946,26.31101634,-0.00000389,26.32224170,-0.01122535,0.00003923,-0.00028869
78,0.78000000,-0.00033699,26.15406092,-0.00000360,26.16516551,-0.01110458,-0.00000916,-0.00032784
79,0.79000000,-0.00038221,26.07412416,-0.00000344,26.08514242,-0.01101827,-0.00003390,-0.00034831
80,0.80000000,-0.00047421,25.91308833,-0.00000323,25.92390854,-0.01082022,-0.00008369,-0.00039052
81,0.81000000,-0.00056789,25.74887789,-0.00000300,25.75941879,-0.01054090,-0.00013283,-0.00043506
82,0.82000000,-0.00066319,25.58176120,-0.00000283,25.59190859,-0.01014739,-0.00018120,-0.00048199
83,0.83000000,-0.00071110,25.49673921,-0.00000274,25.50660278,-0.00986357,-0.00020451,-0.00050659
84,0.84000000,-0.00075875,25.41112092,-0.00000267,25.42064435,-0.00952343,-0.00022701,-0.00053174
85,0.85000000,-0.00080583,25.32472152,-0.00000261,25.33384082,-0.00911929,-0.00024838,-0.00055745
86,0.86000000,-0.00089824,25.15027321,-0.00000261,25.15844880,-0.00817559,-0.00028813,-0.00061011
87,0.87000000,-0.00098308,24.97207390,-0.00000266,24.97897640,-0.00690249,-0.00031851,-0.00066458
88,0.88000000,-0.00105259,24.79007967,-0.00000273,24.79529178,-0.00521211,-0.00033312,-0.00071947
89,0.89000000,-0.00109650,24.60379096,-0.00000285,24.60688593,-0.00309497,-0.00032316,-0.00077334
90,0.90000000,-0.00110022,24.41258352,-0.00000324,24.41319857,-0.00061506,-0.00027258,-0.00082764
91,0.91000000,-0.00104972,24.21576742,-0.00000353,24.21353931,0.00222812,-0.00017267,-0.00087705
92,0.92000000,-0.00092299,24.01260139,-0.00000383,24.00727084,0.00533054,-0.00000303,-0.00091996
93,0.93000000,-0.00069655,23.80243904,-0.00000422,23.79423866,0.00820038,0.00026491,-0.00096146
94,0.94000000,-0.00035101,23.58515591,-0.00000463,23.57505742,0.01009848,0.00066342,-0.00101443
95,0.95000000,-0.00011769,23.47367235,-0.00000421,23.46352052,0.01015183,0.00090991,-0.00102759
96,0.96000000,0.00014667,23.36183524,-0.00000384,23.35224469,0.00959055,0.00118897,-0.00104230
97,0.97000000,0.00045310,23.25050438,-0.00000390,23.24292748,0.00757690,0.00143817,-0.00098508
98,0.98000000,0.00074370,23.14066268,-0.00000432,23.13755098,0.00311170,0.00166641,-0.00092270
99,0.99000000,0.00122592,22.92767563,-0.00000434,22.94076966,-0.01309403,0.00191561,-0.00068969
100,1.00000000,0.00166732,22.73497157,-0.00000497,22.78140988,-0.04643831,0.00181256,-0.00014523
101,1.01000000,0.00152011,22.57649205,-0.00001163,22.69055489,-0.11406284,0.00069821,0.00082190
102,1.02000000,0.00113099,22.52882711,-0.00002799,22.71151830,-0.18269119,-0.00105268,0.00218367
103,1.03000000,-0.00187260,22.48908605,-0.00007138,22.87073101,-0.38164496,-0.00764423,0.00577162
104,1.04000000,-0.00586373,22.54189026,-0.00011494,23.11963265,-0.57774239,-0.01416434,0.00830061
105,1.05000000,-0.01070438,22.66561672,-0.00016704,23.51896672,-0.85335000,-0.02472465,0.01402027
106,1.06000000,-0.01894707,22.91460748,-0.00019463,24.13497665,-1.22036917,-0.04057007,0.02162300
107,1.07000000,-0.03076918,23.35863132,-0.00023181,25.04260396,-1.68397264,-0.06206248,0.03129330
108,1.08000000,-0.04656986,24.11275796,-0.00025717,26.35439598,-2.24163803,-0.09077205,0.04420219
109,1.09000000,-0.07264724,25.30899767,-0.00019356,28.19070215,-2.88170448,-0.13292039,0.06027315
110,1.10000000,-0.11490915,27.11848565,-0.00009557,30.70720393,-3.58871828,-0.19280152,0.07789236
111,1.11000000,-0.23035610,32.41382578,-0.00009541,37.42871944,-5.01489366,-0.35118110,0.12082500
112,1.12000000,-0.42711558,41.89384272,-0.00046525,48.38440237,-6.49055965,-0.60791978,0.18080420
113,1.13000000,-0.77497431,57.48091648,-0.00039329,65.36602592,-7.88510944,-1.05206827,0.27709397
114,1.14000000,-1.07016689,69.43143258,-0.00037905,77.95863864,-8.52720606,-1.41699408,0.34682719
115,1.15000000,-1.46233018,84.04009162,-0.00031661,93.15850954,-9.11841792,-1.89044943,0.42811926
116,1.16000000,-1.98668430,101.63670928,-0.00008324,111.33599787,-9.69928859,-2.50370639,0.51702208
117,1.17000000,-2.67370941,122.56451562,0.00029472,132.89984588,-10.33533026,-3.27993203,0.60622262
118,1.18000000,-4.44636363,171.76211596,0.00099879,183.55203368,-11.78991772,-5.20693329,0.76056966
119,1.19000000,-5.78849313,204.89721062,0.00168344,217.69954713,-12.80233651,-6.60342712,0.81493399
120,1.20000000,-7.43004158,243.16481671,0.00263311,257.15298051,-13.98816380,-8.28381094,0.85376936
121,1.21000000,-9.37808032,287.13427413,0.00348306,302.45984484,-15.32557071,-10.26376745,0.88568714
122,1.22000000,-11.66137214,337.45401517,0.00412271,354.22349435,-16.76947919,-12.54365552,0.88228338
123,1.23000000,-14.32095476,394.55521280,0.00486097,412.78336622,-18.22815342,-15.15600955,0.83505479
124,1.24000000,-17.38143491,459.10392631,0.00562417,478.76318186,-19.65925555,-18.14752731,0.76609240
125,1.25000000,-20.87828790,531.68510267,0.00636941,552.69069044,-21.00558777,-21.59058556,0.71229766
126,1.26000000,-28.69649026,694.21907591,0.00871576,717.52309926,-23.30402335,-29.36099429,0.66450403
127,1.27000000,-38.48171190,893.21106882,0.01360307,918.32915004,-25.11808123,-39.19215763,0.71044573
128,1.28000000,-44.38798139,1012.07993032,0.01704843,1037.90157630,-25.82164598,-45.14069122,0.75270983
129,1.29000000,-50.89081270,1141.22011726,0.02028909,1167.62174735,-26.40163009,-51.69530822,0.80449552
130,1.30000000,-65.23654175,1420.68708575,0.02469527,1448.01287096,-27.32578521,-66.15776177,0.92122002
131,1.31000000,-73.59544371,1583.55063870,0.02267270,1611.17405718,-27.62341848,-74.58433431,0.98889061
132,1.32000000,-82.30001389,1759.46006374,0.02139900,1787.28380453,-27.82374079,-83.34023782,1.04022392
133,1.33000000,-91.54317636,1948.31830917,0.02298755,1976.26719880,-27.94888962,-92.63269804,1.08952168
134,1.34000000,-101.01304832,2149.81052133,0.02553876,2177.79847781,-27.98795648,-102.13708580,1.12403748
135,1.35000000,-110.78587872,2364.03768743,0.02718275,2392.03824023,-28.00055280,-111.93634682,1.15046809
136,1.36000000,-120.92643041,2590.80312167,0.02942321,2618.77834106,-27.97521939,-122.07130804,1.14487763
137,1.37000000,-131.71986683,2829.97572506,0.03374675,2857.95264443,-27.97691937,-132.85154744,1.13168061
138,1.38000000,-142.75097301,3080.81541570,0.03963751,3108.74294993,-27.92753423,-143.83989563,1.08892262
139,1.39000000,-154.27418558,3343.58385317,0.04603116,3371.45004335,-27.86619018,-155.33340993,1.05922434
140,1.40000000,-166.60345891,3617.88879940,0.05243146,3645.66282667,-27.77402728,-167.61010594,1.00664703
141,1.41000000,-179.59264727,3903.69012165,0.06009477,3931.31085426,-27.62073261,-180.54383864,0.95119137
142,1.42000000,-193.13222974,4200.97155374,0.06678235,4228.38635401,-27.41480027,-194.02141036,0.88918061
143,1.43000000,-220.45629690,4818.74028139,0.07530795,4845.63044559,-26.89016420,-221.21880228,0.76250538
144,1.44000000,-233.91250918,5150.81410580,0.07838277,5177.30037790,-26.48627209,-234.61004757,0.69753839
145,1.45000000,-261.40773766,5836.64903344,0.08517808,5862.22381761,-25.57478417,-261.96212991,0.55439225
146,1.46000000,-287.04382279,6563.96107057,0.09686507,6588.31658930,-24.35551873,-287.46647763,0.42265484
147,1.47000000,-299.00384645,6946.67480204,0.10264173,6970.19706154,-23.52225950,-299.34390814,0.34006169
148,1.48000000,-310.98531290,7338.78058596,0.10701160,7361.34589808,-22.56531212,-311.20947934,0.22416644
149,1.49000000,-322.16452054,7743.32083524,0.10819283,7764.76283434,-21.44199910,-322.25858413,0.09406359
150,1.50000000,-341.25685787,8573.89704737,0.10323691,8592.91193172,-19.01488435,-341.14710256,-0.10975532
151,1.51000000,-357.36575958,9441.72483937,0.09103890,9457.86268697,-16.13784759,-357.10622139,-0.25953819
152,1.52000000,-359.09255211,9891.63025330,0.07652944,9906.07013891,-14.43988560,-358.81726736,-0.27528475
153,1.53000000,-357.56279182,10348.67180007,0.06065124,10361.31019523,-12.63839517,-357.28297273,-0.27981909
154,1.54000000,-348.58289018,11273.91377777,0.02790948,11282.91238371,-8.99860594,-348.27947213,-0.30341805
155,1.55000000,-336.36191374,12217.49256799,-0.00421022,12222.66179012,-5.16922213,-335.85976291,-0.50215083
156,1.56000000,-411.05657066,13103.29538665,-0.03540211,13104.69798166,-1.40259501,-410.30415229,-0.75241836
157,1.57000000,-471.93398328,13714.97512245,-0.05762824,13712.77911731,2.19600514,-470.98102760,-0.95295568
158,1.58000000,-530.90442159,14264.64357784,-0.06328807,14259.70992782,4.93365002,-529.65221084,-1.25221075
159,1.59000000,-537.26004420,14533.16681086,-0.06602766,14527.42034158,5.74646928,-535.89035390,-1.36969031
160,1.60000000,-563.28886002,14772.62139992,-0.07052281,14766.40610914,6.21529078,-561.77761541,-1.51124461
161,1.61000000,-598.48715768,15192.77877698,-0.08372836,15186.28180524,6.49697174,-596.75455119,-1.73260649
162,1.62000000,-614.84396689,15564.45701974,-0.10028953,15558.78343191,5.67358783,-612.99663521,-1.84733168
163,1.63000000,-613.90814023,15845.53057695,-0.11019569,15841.57805014,3.95252681,-611.95282664,-1.95531359
164,1.64000000,-594.40829419,16065.81099043,-0.11702662,16064.18178783,1.62920260,-592.42475185,-1.98354234
165,1.65000000,-586.09367217,16138.03742727,-0.11953912,16137.53007093,0.50735634,-584.13574766,-1.95792452
166,1.66000000,-590.38743319,16167.58610248,-0.12971061,16168.09912802,-0.51302555,-588.42796406,-1.95946913
167,1.67000000,-598.58569292,16188.90535704,-0.14423054,16190.32658239,-1.42122535,-596.56171322,-2.02397970
168,1.68000000,-576.47666495,16216.90462917,-0.15845251,16219.13265190,-2.22802273,-574.44559066,-2.03107429
169,1.69000000,-543.12890591,16249.69544291,-0.17196883,16252.72862123,-3.03317832,-541.15337727,-1.97552864
170,1.70000000,-463.34944330,16270.38968018,-0.18211872,16274.25331466,-3.86363448,-461.48096270,-1.86848059
171,1.71000000,-388.52877114,16285.18331996,-0.19715013,16289.90905639,-4.72573643,-386.80184218,-1.72692896
172,1.72000000,-322.54730507,16291.54040842,-0.21453605,16297.16083237,-5.62042396,-320.96085547,-1.58644959
173,1.73000000,-258.73049876,16289.48935354,-0.23052178,16296.04627031,-6.55691677,-257.28122283,-1.44927593
