step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.330554923e-11,15.69524196,-8.136602503e-12,0,15.69524196,0,1.330557886e-11
1,0.01,2.234039708e-06,31.14736371,3.175569749e-06,28.58236952,2.564994191,1.271574851e-05,-1.04817088e-05
2,0.02,3.45647293e-06,27.20547841,3.068792214e-06,25.88258115,1.322897257,1.338301168e-05,-9.926538747e-06
3,0.03,1.800744845e-05,24.25933451,1.754254108e-06,22.92628663,1.333047876,2.397520115e-05,-5.967752694e-06
4,0.04,3.08411654e-05,21.47298271,9.19376769e-07,20.1466933,1.326289404,3.40068011e-05,-3.165635703e-06
5,0.05,2.24003694e-05,18.80117062,4.791580937e-07,17.50570607,1.29546455,2.415738083e-05,-1.757011435e-06
6,0.06,-2.781975864e-05,16.30620757,1.905126839e-07,15.04999371,1.256213857,-2.617056783e-05,-1.649190816e-06
7,0.07,-0.0001148922333,14.01192551,-4.343666365e-08,12.79942716,1.212498348,-0.0001121843587,-2.707874536e-06
8,0.08,-0.0001921977839,11.92828972,-2.040695128e-07,10.76227531,1.166014413,-0.0001878893121,-4.308471828e-06
9,0.09,-0.0001970235752,10.05665288,-2.353668749e-07,8.938690468,1.117962414,-0.0001916768558,-5.34671935e-06
10,0.1,-0.0001050003694,8.391769777,-1.341899377e-07,7.322449309,1.069320468,-0.0001000873413,-4.913028164e-06
11,0.11,4.150464199e-05,6.92409808,3.203890653e-08,5.903200726,1.020897355,4.44762594e-05,-2.971617406e-06
12,0.12,0.000166545849,5.641802329,1.756634404e-07,4.668449051,0.9733532775,0.0001668931855,-3.473364804e-07
13,0.13,0.0002140715903,4.531973147,2.448470404e-07,3.604756469,0.9272166784,0.0002121958864,1.875703876e-06
14,0.14,0.000160078784,3.581385139,2.181752892e-07,2.698483754,0.8829013845,0.0001573053501,2.773433903e-06
15,0.15,-1.188962488e-05,2.776832385,8.297493945e-08,1.936109102,0.8407232829,-1.34193118e-05,1.529686924e-06
16,0.16,-0.0003069747397,2.105088907,-1.587505961e-07,1.304177734,0.800911173,-0.0003044668678,-2.50787187e-06
17,0.17,-0.000666644222,1.552831987,-4.58360876e-07,0.7892179474,0.7636140401,-0.000657503705,-9.140517028e-06
