step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
1,0.01,51,9.877968141e-05,1,0.117129677,1.157003218e-05
2,0.02,72,9.766356361e-05,1,0.01586594728,1.549524951e-06
3,0.03,53,9.978377369e-05,1,0.01198922429,1.196330043e-06
4,0.04,50,9.743992769e-05,1,0.01086057599,1.058253739e-06
5,0.05,51,9.501345926e-05,1,0.01028842306,9.775386655e-07
6,0.06,50,9.926416469e-05,1,0.009934257847,9.86115807e-07
7,0.07,50,9.587418557e-05,1,0.00968487485,9.285294886e-07
8,0.08,49,9.611335923e-05,1,0.00948855981,9.119773576e-07
9,0.09,48,9.508856038e-05,1,0.009323752796,8.865822306e-07
10,0.1,46,9.821415088e-05,1,0.009176398008,9.012521384e-07
11,0.11,45,9.54290612e-05,1,0.009033271078,8.620365786e-07
12,0.12,43,9.716118211e-05,1,0.008889084039,8.636739131e-07
13,0.13,41,9.828824607e-05,1,0.008748853567,8.599094721e-07
14,0.14,39,9.877032748e-05,1,0.008617588307,8.511620191e-07
15,0.15,37,9.862371377e-05,1,0.008494216018,8.377311293e-07
16,0.16,35,9.799697041e-05,1,0.008375621408,8.207855233e-07
17,0.17,33,9.706997663e-05,1,0.008261186913,8.019132206e-07
18,0.18,31,9.614518016e-05,1,0.008151868338,7.8376285e-07
19,0.19,29,9.618912973e-05,1,0.00804768471,7.740997887e-07
20,0.2,27,9.894615505e-05,1,0.007947766087,7.864008956e-07
21,0.21,26,9.581500838e-05,1,0.007851756211,7.523160872e-07
22,0.22,25,9.384190672e-05,1,0.007759842207,7.281983885e-07
23,0.23,24,9.329520893e-05,1,0.007671368247,7.157019034e-07
24,0.24,23,9.499583654e-05,1,0.007584329476,7.204797231e-07
25,0.25,23,8.643671587e-05,1,0.007496644619,6.47985341e-07
26,0.26,22,9.230291267e-05,1,0.007407378664,6.837226259e-07
27,0.27,22,8.584967548e-05,1,0.007316533237,6.28122004e-07
28,0.28,21,9.634494751e-05,1,0.007224313406,6.96026096e-07
29,0.29,21,9.143591074e-05,1,0.007131019189,6.520312341e-07
30,0.3,21,8.732338633e-05,1,0.007037349882,6.145252225e-07
31,0.31,21,8.382027141e-05,1,0.006944338961,5.820763764e-07
32,0.32,20,9.816524998e-05,1,0.006852830764,6.72709845e-07
33,0.33,20,9.483360388e-05,1,0.006763024439,6.413619807e-07
34,0.34,20,9.164401971e-05,1,0.006674354986,6.116647199e-07
35,0.35,20,8.858178828e-05,1,0.006585627034,5.833666196e-07
36,0.36,20,8.571537265e-05,1,0.006495579851,5.567710475e-07
37,0.37,19,9.975863732e-05,1,0.006403970118,6.388513324e-07
