step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,30,0.01,0.07987415943,0.08951417197,0.02120985393,0.2000872778,0.117129677,1253.819869
1,0.01,51,30,0.01,2.300203819e-05,8.770910885e-07,3.939674035e-07,2.333306349e-06,1.157003218e-05,0.217005959
2,0.02,72,30,0.01,3.075122246e-06,1.014198964e-07,5.748801521e-08,3.662548338e-07,1.549524951e-06,0.02538764186
3,0.03,53,30,0.01,2.374267082e-06,6.898803046e-08,6.528034231e-08,2.804589878e-07,1.196330043e-06,0.01732689582
4,0.04,50,30,0.01,2.100073711e-06,4.477380659e-08,6.93867467e-08,2.499501991e-07,1.058253739e-06,0.01524582857
5,0.05,51,30,0.01,1.939833986e-06,3.65938994e-08,6.491741728e-08,2.319872704e-07,9.775386655e-07,0.01427727872
6,0.06,50,30,0.01,1.956841723e-06,3.645680069e-08,6.657348293e-08,2.338950275e-07,9.86115807e-07,0.01451294715
7,0.07,50,30,0.01,1.842562168e-06,3.422727145e-08,6.338753558e-08,2.200981924e-07,9.285294886e-07,0.01374898264
8,0.08,49,30,0.01,1.809750558e-06,3.522184837e-08,6.304732579e-08,2.154023629e-07,9.119773576e-07,0.01357528314
9,0.09,48,30,0.01,1.759401673e-06,3.678156401e-08,6.216156893e-08,2.083291043e-07,8.865822306e-07,0.01331087581
10,0.1,46,30,0.01,1.78855603e-06,4.429437426e-08,6.519955583e-08,2.094660366e-07,9.012521384e-07,0.01367425402
11,0.11,45,30,0.01,1.710684707e-06,4.82044172e-08,6.403659987e-08,1.98901309e-07,8.620365786e-07,0.01321001737
12,0.12,43,30,0.01,1.71353075e-06,6.187702108e-08,6.848583632e-08,1.97544445e-07,8.636739131e-07,0.01335345128
13,0.13,41,30,0.01,1.705176383e-06,8.146461139e-08,7.522354725e-08,1.9456526e-07,8.599094721e-07,0.0133752013
14,0.14,39,30,0.01,1.686364144e-06,1.091619318e-07,8.54982919e-08,1.866998137e-07,8.511620191e-07,0.01325441863
15,0.15,37,30,0.01,1.656669979e-06,1.475792403e-07,1.006756409e-07,1.752231228e-07,8.377311293e-07,0.01304878275
16,0.16,35,30,0.01,1.615901897e-06,1.996385011e-07,1.222837483e-07,1.697283516e-07,8.207855233e-07,0.01280700612
17,0.17,33,30,0.01,1.564170956e-06,2.694046944e-07,1.526777755e-07,1.724502308e-07,8.019132206e-07,0.01238163682
18,0.18,31,30,0.01,1.502040689e-06,3.62756301e-07,1.954844366e-07,1.766473586e-07,7.8376285e-07,0.01181794136
19,0.19,29,30,0.01,1.431364363e-06,4.870638282e-07,2.552600296e-07,2.138437216e-07,7.740997887e-07,0.01127490736
20,0.2,27,30,0.01,1.353962909e-06,6.508966456e-07,3.375969541e-07,3.207051111e-07,7.864008956e-07,0.01080178648
21,0.21,26,30,0.01,1.21519417e-06,7.163565245e-07,3.732694709e-07,3.670481452e-07,7.523160872e-07,0.00976260033
22,0.22,25,30,0.01,1.081551381e-06,7.858253222e-07,4.16052764e-07,4.008950525e-07,7.281983885e-07,0.008995745736
23,0.23,24,30,0.01,9.550093612e-07,8.59804376e-07,4.667647791e-07,4.239587881e-07,7.157019034e-07,0.008212998849
24,0.24,23,30,0.01,8.442932812e-07,9.390841762e-07,5.252815508e-07,4.535782e-07,7.204797231e-07,0.007414632738
25,0.25,23,30,0.01,7.359689049e-07,8.440292041e-07,4.859761624e-07,4.351225708e-07,6.47985341e-07,0.006446333541
26,0.26,22,30,0.01,6.877198371e-07,9.197195009e-07,5.42735046e-07,5.064609084e-07,6.837226259e-07,0.005695320645
27,0.27,22,30,0.01,6.383478999e-07,8.251965994e-07,4.937462229e-07,4.959094735e-07,6.28122004e-07,0.005100355723
28,0.28,21,30,0.01,6.668671619e-07,9.000597129e-07,5.434198864e-07,6.226434242e-07,6.96026096e-07,0.005244007273
29,0.29,21,30,0.01,6.576875081e-07,8.085400443e-07,4.876233216e-07,6.136061892e-07,6.520312341e-07,0.005157536697
30,0.3,21,30,0.01,6.560703922e-07,7.272776409e-07,4.372028889e-07,6.00047918e-07,6.145252225e-07,0.005164046639
31,0.31,21,30,0.01,6.575500374e-07,6.546939779e-07,3.936399188e-07,5.824972016e-07,5.820763764e-07,0.005104905438
32,0.32,20,30,0.01,7.444691549e-07,7.149995593e-07,4.405369888e-07,7.420394944e-07,6.72709845e-07,0.005682849973
33,0.33,20,30,0.01,7.455235431e-07,6.458341419e-07,4.03696309e-07,7.137947599e-07,6.413619807e-07,0.005576703438
34,0.34,20,30,0.01,7.436748931e-07,5.859155911e-07,3.719163798e-07,6.796055461e-07,6.116647199e-07,0.005446820039
35,0.35,20,30,0.01,7.387532118e-07,5.341149308e-07,3.431543615e-07,6.422433093e-07,5.833666196e-07,0.005297741053
36,0.36,20,30,0.01,7.317109853e-07,4.896064073e-07,3.163659095e-07,6.039645758e-07,5.567710475e-07,0.005137823726
37,0.37,19,30,0.01,8.057570663e-07,5.462867801e-07,3.619028513e-07,7.4422895e-07,6.388513324e-07,0.006148340138
38,0.38,19,30,0.01,7.971515139e-07,5.07667527e-07,3.34062961e-07,7.06242094e-07,6.130972214e-07,0.005947277194
39,0.39,19,30,0.01,7.895252759e-07,4.750624733e-07,3.095748813e-07,6.73021073e-07,5.911489843e-07,0.005859943916
40,0.4,19,30,0.01,7.820692968e-07,4.468077531e-07,2.882929993e-07,6.44488461e-07,5.722210637e-07,0.005787894173
41,0.41,19,30,0.01,7.744047892e-07,4.217530221e-07,2.700674294e-07,6.191216919e-07,5.553887096e-07,0.005721219875
42,0.42,19,30,0.01,7.661402302e-07,3.991534772e-07,2.545966953e-07,5.951395628e-07,5.397464514e-07,0.005757066723
43,0.43,19,30,0.01,7.569173814e-07,3.786032876e-07,2.415143378e-07,5.708733107e-07,5.245211826e-07,0.005783926207
44,0.44,19,30,0.01,7.467310568e-07,3.600717636e-07,2.304986853e-07,5.461397818e-07,5.095726767e-07,0.005790167231
45,0.45,19,30,0.01,7.360572416e-07,3.439082613e-07,2.211622201e-07,5.218884936e-07,4.953113875e-07,0.005784484196
46,0.46,19,30,0.01,7.256054022e-07,3.303830112e-07,2.129706046e-07,5.000316265e-07,4.824531686e-07,0.005783570272
47,0.47,19,30,0.01,7.161795587e-07,3.195068247e-07,2.053595315e-07,4.82257524e-07,4.716308482e-07,0.005789338633
48,0.48,19,30,0.01,7.083400699e-07,3.110044844e-07,1.977961018e-07,4.690135239e-07,4.630244128e-07,0.005801156896
49,0.49,19,30,0.01,7.021773631e-07,3.042302993e-07,1.899204764e-07,4.59311945e-07,4.562472943e-07,0.005813813635
50,0.5,19,30,0.01,6.973618808e-07,2.983339187e-07,1.817377607e-07,4.521837157e-07,4.5078139e-07,0.005826523816
