x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,71.94877592,1.040408979,0.0002025091977,1.005169259,0,0,0,WALL
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,71.94224455,1.027346249,0.03480189003,1.005085564,0,0,0,WALL
-0.493600488,-0.07817863704,0.9876883406,0.156434465,71.92399048,0.9908381096,0.06869824074,1.004846614,0,0,0,WALL
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,71.89477253,0.9324021959,0.101446648,1.004462605,0,0,0,WALL
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,71.85531502,0.8534871757,0.1327080889,1.003943267,0,0,0,WALL
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,71.8065275,0.7559121486,0.1621429184,1.003300679,0,0,0,WALL
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,71.74936239,0.6415819135,0.1894187037,1.00254746,0,0,0,WALL
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,71.68489464,0.5126464202,0.2141938682,1.001697791,0,0,0,WALL
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,71.61432846,0.3715140632,0.2361252782,1.000767581,0,0,0,WALL
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,71.53906902,0.2209951876,0.254872873,0.9997754095,0,0,0,WALL
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,71.46074354,0.06434421961,0.27013219,0.9987428313,0,0,0,WALL
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,71.38113879,-0.09486526889,0.281661257,0.9976936197,0,0,0,WALL
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,71.30205152,-0.253039812,0.2892310404,0.9966517992,0,0,0,WALL
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,71.22548563,-0.4061715913,0.2926816074,0.9956441204,0,0,0,WALL
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,71.15320284,-0.5507371685,0.2919139404,0.994694232,0,0,0,WALL
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,71.08701401,-0.6831148363,0.286902959,0.9938262358,0,0,0,WALL
-0.2543951173,-0.4301586514,0.5090414158,0.860742027,71.02834256,-0.8004577325,0.2777362604,0.9930592599,0,0,0,WALL
-0.2268832414,-0.4452834331,0.4539904997,0.8910065242,70.97840636,-0.9003301319,0.2646215564,0.9924093138,0,0,0,WALL
-0.1984759611,-0.4586508846,0.3971478906,0.9177546257,70.93789133,-0.9813601973,0.2479200681,0.9918853658,0,0,0,WALL
-0.1692853868,-0.4702082505,0.3387379202,0.940880769,70.90704358,-1.043055689,0.2281107174,0.9914902376,0,0,0,WALL
-0.1394267204,-0.4799099194,0.278991106,0.9602936857,70.88567613,-1.085790605,0.2058311618,0.9912208611,0,0,0,WALL
-0.1090178004,-0.487717603,0.2181432414,0.9759167619,70.87307514,-1.110992575,0.1818087416,0.9910668067,0,0,0,WALL
-0.07817863704,-0.493600488,0.156434465,0.9876883406,70.86835778,-1.120427292,0.1568356549,0.9910153441,0,0,0,WALL
-0.04703093827,-0.4975353574,0.09410831332,0.9955619646,70.87039062,-1.116361616,0.1317802959,0.9910502409,0,0,0,WALL
-0.01569762988,-0.4995066821,0.03141075908,0.9995065604,70.87781915,-1.101504554,0.1074664961,0.9911520034,0,0,0,WALL
0.01569762988,-0.4995066821,-0.03141075908,0.9995065604,70.88929672,-1.078549415,0.0846284858,0.9913010755,0,0,0,WALL
