step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000162,0.19256504,0.00000000,0.19256730,-0.00000226,-0.00000162,-0.00000000
2,0.00000000,-0.00000328,0.38835837,0.00000000,0.38794453,0.00041384,-0.00000335,0.00000007
3,0.00000000,-0.00000831,0.57928785,-0.00000000,0.57803956,0.00124828,-0.00000875,0.00000044
4,0.00000000,-0.00001337,0.77321686,-0.00000000,0.77070119,0.00251568,-0.00001443,0.00000106
5,0.00000000,-0.00001845,0.97016420,-0.00000000,0.96593899,0.00422521,-0.00002042,0.00000197
6,0.00000000,-0.00002323,1.16661700,-0.00000001,1.16026756,0.00634944,-0.00002636,0.00000312
7,0.00000000,-0.00002773,1.36256452,-0.00000001,1.35369058,0.00887394,-0.00003225,0.00000451
8,0.00000000,-0.00003196,1.55799651,-0.00000001,1.54621172,0.01178479,-0.00003809,0.00000613
9,0.00000000,-0.00003591,1.75290320,-0.00000001,1.73783470,0.01506849,-0.00004388,0.00000797
10,0.00000000,-0.00003961,1.94727524,-0.00000002,1.92856324,0.01871201,-0.00004963,0.00001002
11,0.00000000,-0.00004306,2.14110375,-0.00000002,2.11840105,0.02270271,-0.00005533,0.00001227
12,0.00000000,-0.00004627,2.33438026,-0.00000003,2.30735187,0.02702839,-0.00006098,0.00001471
13,0.00000000,-0.00004924,2.52709669,-0.00000003,2.49541946,0.03167723,-0.00006658,0.00001734
14,0.00000000,-0.00005199,2.71924537,-0.00000004,2.68260756,0.03663781,-0.00007214,0.00002015
15,0.00000000,-0.00005452,2.91081899,-0.00000004,2.86891993,0.04189906,-0.00007766,0.00002314
16,0.00000000,-0.00005684,3.10181062,-0.00000005,3.05436032,0.04745029,-0.00008312,0.00002628
17,0.00000000,-0.00005896,3.29221367,-0.00000006,3.23893251,0.05328115,-0.00008855,0.00002959
18,0.00000000,-0.00006088,3.48202188,-0.00000006,3.42264026,0.05938162,-0.00009393,0.00003305
19,0.00000000,-0.00006261,3.67122934,-0.00000007,3.60548734,0.06574200,-0.00009926,0.00003665
20,0.00000000,-0.00006416,3.85983044,-0.00000008,3.78747751,0.07235293,-0.00010455,0.00004039
21,0.00000000,-0.00006553,4.04781986,-0.00000009,3.96861453,0.07920533,-0.00010980,0.00004427
22,0.00000000,-0.00006673,4.23519259,-0.00000010,4.14890216,0.08629043,-0.00011500,0.00004827
23,0.00000000,-0.00006777,4.42194389,-0.00000011,4.32834417,0.09359972,-0.00012017,0.00005240
