step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,4,0.3,0,1.80259,129.564,221.313,451.549,451.549,50.1
2,0,4,0.306,0,2.08116,127.028,217.225,522.97,522.97,71.4377
3,0,3,0.31212,0,2.76611,124.957,213.834,698.134,698.134,92.1607
4,0,3,0.318362,0,3.5889,123.323,211.081,907.938,907.938,111.875
5,0,3,0.32473,0,4.45678,122.12,208.955,1129.78,1129.78,131.159
6,0,3,0.32473,0,5.33234,121.352,207.44,1354.51,1354.51,150.09
7,0,3,0.32473,0,6.18531,121.012,206.529,1574.61,1574.61,168.411
8,0,3,0.32473,0,7.01088,120.974,206.179,1789,1789,186.211
9,0,3,0.32473,0,7.80791,121.176,206.352,1997.48,1997.48,203.569
10,0,3,0.32473,0,8.5774,121.689,207.015,2200.32,2200.32,220.553
11,0,3,0.32473,0,9.32116,122.484,208.133,2398.03,2398.03,237.227
12,0,3,0.32473,0,10.0415,123.548,209.683,2591.2,2591.2,253.645
13,0,3,0.32473,0,10.7406,124.863,211.639,2780.42,2780.42,269.859
14,0,3,0.32473,0,11.4211,126.414,213.98,2966.29,2966.29,285.912
15,0,3,0.32473,0,12.085,128.19,216.685,3149.38,3149.38,301.849
16,0,3,0.32473,0,12.7345,130.177,219.737,3330.24,3330.24,317.705
17,0,3,0.32473,0,13.3717,132.365,223.12,3509.36,3509.36,333.518
18,0,3,0.32473,0,13.9984,134.747,226.82,3687.24,3687.24,349.319
19,0,3,0.32473,0,14.6164,137.314,230.825,3864.32,3864.32,365.14
20,0,3,0.32473,0,15.2273,140.06,235.125,4041.02,4041.02,381.01
21,0,3,0.32473,0,15.8328,142.979,239.711,4217.74,4217.74,396.955
22,0,3,0.32473,0,16.4342,146.068,244.574,4394.84,4394.84,413.001
23,0,3,0.32473,0,17.0328,149.322,249.707,4572.68,4572.68,429.172
24,0,3,0.32473,0,17.63,152.738,255.107,4751.58,4751.58,445.492
25,0,3,0.32473,0,18.2268,156.314,260.767,4931.87,4931.87,461.983
26,0,3,0.32473,0,18.8243,160.045,266.686,5113.8,5113.8,478.667
27,0,3,0.32473,0,19.4234,163.928,272.859,5297.67,5297.67,495.564
28,0,3,0.32473,0,20.0253,167.965,279.287,5483.76,5483.76,512.694
29,0,3,0.32473,0,20.6308,172.158,285.967,5672.34,5672.34,530.079
30,0,3,0.32473,0,21.2407,176.507,292.901,5863.65,5863.65,547.736
31,0,3,0.32473,0,21.856,181.011,300.088,6057.95,6057.95,565.685
32,0,3,0.314988,0,22.4773,185.673,307.529,6255.46,6255.46,583.945
33,0,3,0.305538,0,23.0878,190.355,315.005,6450.74,6450.74,602.013
34,0,3,0.3,0,23.6878,195.05,322.502,6643.87,6643.87,619.89
35,0,3,0.3,0,24.2847,199.806,330.097,6837.07,6837.07,637.781
36,0,3,0.3,0,24.889,204.703,337.92,7033.77,7033.77,656.001
37,0,3,0.3,0,25.5014,209.745,345.974,7234.14,7234.14,674.565
38,0,3,0.3,0,26.1221,214.932,354.261,7438.35,7438.35,693.486
39,0,3,0.3,0,26.7519,220.269,362.786,7646.56,7646.56,712.779
40,0,3,0.3,0,27.391,225.757,371.551,7858.95,7858.95,732.459
41,0,3,0.3,0,28.0399,231.399,380.561,8075.68,8075.68,752.541
42,0,3,0.3,0,28.6992,237.198,389.821,8296.92,8296.92,773.039
43,0,3,0.3,0,29.3692,243.157,399.334,8522.84,8522.84,793.969
44,0,3,0.3,0,30.0503,249.28,409.105,8753.6,8753.6,815.346
45,0,3,0.3,0,30.7429,255.567,419.14,8989.36,8989.36,837.184
46,0,3,0.3,0,31.4474,262.024,429.444,9230.3,9230.3,859.5
47,0,3,0.3,0,32.1643,268.654,440.021,9476.59,9476.59,882.309
48,0,3,0.3,0,32.8941,275.462,450.878,9728.41,9728.41,905.627
49,0,3,0.3,0,33.6371,282.45,462.021,9985.94,9985.94,929.471
50,0,3,0.3,0,34.3937,289.624,473.455,10249.3,10249.3,953.856
51,0,3,0.3,0,35.1643,296.988,485.187,10518.8,10518.8,978.8
52,0,3,0.3,0,35.9495,304.545,497.223,10794.5,10794.5,1004.32
53,0,3,0.3,0,36.7495,312.301,509.571,11076.7,11076.7,1030.43
54,0,3,0.3,0,37.5648,320.26,522.237,11365.5,11365.5,1057.15
55,0,3,0.3,0,38.3959,328.427,535.228,11661.1,11661.1,1084.5
56,0,3,0.3,0,39.2432,336.806,548.552,11963.7,11963.7,1112.5
57,0,3,0.3,0,40.107,345.404,562.217,12273.5,12273.5,1141.16
58,0,3,0.3,0,40.9879,354.225,576.23,12590.8,12590.8,1170.51
59,0,3,0.3,0,41.8863,363.274,590.6,12915.7,12915.7,1200.56
60,0,3,0.3,0,42.8027,372.558,605.334,13248.4,13248.4,1231.34
61,0,3,0.3,0,43.7374,382.081,620.443,13589.2,13589.2,1262.86
62,0,3,0.3,0,44.6911,391.851,635.934,13938.3,13938.3,1295.15
63,0,3,0.3,0,45.664,401.872,651.816,14295.9,14295.9,1328.22
64,0,3,0.3,0,46.6568,412.15,668.1,14662.2,14662.2,1362.11
65,0,3,0.3,0,47.6698,422.693,684.794,15037.6,15037.6,1396.82
66,0,3,0.3,0,48.7036,433.506,701.908,15422.2,15422.2,1432.39
67,0,3,0.3,0,49.7587,444.597,719.454,15816.2,15816.2,1468.84
68,0,3,0.3,0,50.8356,455.973,737.44,16220,16220,1506.19
69,0,3,0.3,0,51.9349,467.64,755.879,16633.8,16633.8,1544.46
70,0,3,0.3,0,53.0571,479.606,774.78,17057.9,17057.9,1583.69
71,0,3,0.3,0,54.2027,491.879,794.156,17492.5,17492.5,1623.9
72,0,3,0.3,0,55.3724,504.466,814.018,17938,17938,1665.11
73,0,3,0.3,0,56.5665,517.375,834.377,18394.6,18394.6,1707.35
74,0,3,0.3,0,57.7859,530.614,855.246,18862.6,18862.6,1750.65
75,0,3,0.3,0,59.031,544.192,876.639,19342.4,19342.4,1795.04
76,0,3,0.3,0,60.3024,558.117,898.566,19834.1,19834.1,1840.55
77,0,3,0.3,0,61.6008,572.398,921.043,20338.3,20338.3,1887.2
78,0,3,0.3,0,62.9269,587.045,944.082,20855.1,20855.1,1935.03
79,0,3,0.3,0,64.2811,602.065,967.697,21384.9,21384.9,1984.07
80,0,3,0.3,0,65.6644,617.47,991.904,21928.2,21928.2,2034.36
81,0,3,0.3,0,67.0772,633.268,1016.72,22485.1,22485.1,2085.92
82,0,3,0.3,0,68.5203,649.469,1042.15,23056.1,23056.1,2138.79
