step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0,-0.012585957804319925,317.89249806533888,-0.00051632122854528006,-0.59754801310390349,318.49004607844279,-0.0034546606880212494,-0.0091312971162986756
2,0,-0.019180651970478024,277.97771463861051,-0.0023573213397654058,-1.1194486061101898,279.09716324472072,-0.0062077287355180033,-0.012972923234960021
3,0,-0.021954209124329438,245.03177590025538,-0.0053124131926693963,-1.5815563164950035,246.61333221675039,-0.0084431299431741991,-0.013511079181155239
4,0,-0.022482727957533477,217.64041801073429,-0.0085855369420144712,-1.9967099459247493,219.63712795665904,-0.010278162792644707,-0.01220456516488877
5,0,-0.021365167614001868,194.67072471546538,-0.010797246446259123,-2.3739112126685882,197.04463592813397,-0.011919950078976171,-0.0094452175350256962
6,0,-0.019437940630926631,175.27282692762913,-0.011433335856928295,-2.7209740428397282,177.99380097046887,-0.013429684719170609,-0.0060082559117560219
7,0,-0.017959046375281673,158.77414862963818,-0.010765734189025267,-3.0444470684030023,161.81859569804118,-0.014902120692340759,-0.0030569256829409142
8,0,-0.017310438797549454,144.67657641170788,-0.0072770249742006854,-3.3497979518502419,148.02637436355812,-0.016297265113422554,-0.0010131736841269001
9,0,-0.016160929103237631,132.68326505788775,-0.005405022930318637,-3.6435350356733309,136.32680009356108,-0.017921172952782172,0.0017602438495445405
10,0,-0.016003940351570267,122.48212865452496,-0.0032369900821045405,-3.9297431112669798,126.41187176579193,-0.019337042561005546,0.0033331022094352791
11,0,-0.017565712384497334,113.59762616139454,-0.0025644505628967806,-4.2055726449122162,117.80319880630677,-0.020414593254088231,0.0028488808695908974
12,0,-0.019566934508086664,105.7607134455132,-0.0031415421043270442,-4.4710187254338294,110.23173217094703,-0.021392209025407283,0.0018252745173206186
13,0,-0.021425930129022941,98.790554594629441,-0.0025264713136010641,-4.7273431924084832,103.51789778703792,-0.022456300171086241,0.0010303700420633
14,0,-0.023924780344023455,92.548106890575312,-0.00071275575920459744,-4.9759204119380342,97.524027302513346,-0.023468996658323249,-0.00045578368570020622
15,0,-0.027306243609783398,86.992600628142355,2.2090339260927294e-05,-5.2197427466578219,92.21234337480017,-0.024295845601812971,-0.0030103980079704273
16,0,-0.030778622564041069,82.058603860475571,-0.00066106578475455535,-5.45958621101272,87.518190071488291,-0.024988194109567985,-0.0057904284544730844
17,0,-0.033565955686102766,77.643119061749744,-0.0030526542764643949,-5.6953304638756492,83.338449525625393,-0.025717511658712056,-0.0078484440273907108
18,0,-0.035949000607757853,73.672372809410234,-0.0056070280919140458,-5.9270624688950946,79.599435278305322,-0.026339922046446418,-0.0096090785613114349
19,0,-0.038007782802092938,70.088669802580569,-0.0062099895490881352,-6.1551277786825196,76.243797581263095,-0.026841525871901695,-0.011166256930191243
20,0,-0.040029891397662221,66.841891636373958,-0.0063002142398893568,-6.3801324157634909,73.222024052137442,-0.027227527365880633,-0.012802364031781588
21,0,-0.04221067015873492,63.895338582935139,-0.0073801808167459626,-6.6040677591472559,70.499406342082395,-0.027561516963857002,-0.014649153194877917
22,0,-0.044427718823312534,61.216134406065649,-0.0089276593643052848,-6.8271048930282774,68.043239299093926,-0.027849559113263922,-0.016578159710048612
23,0,-0.046442371437966368,58.751116482945676,-0.01096395312156595,-7.0465791765448245,65.7976956594905,-0.02803369902883901,-0.018408672409127358
24,0,-0.048426643989247009,56.43182762570364,-0.014342713468289858,-7.2603079368014178,63.692135562505058,-0.028112767582996412,-0.020313876406250597
25,0,-0.050258760607470476,54.229140713872724,-0.018770319031801819,-7.4683177693207554,61.697458483193479,-0.028054927836393517,-0.022203832771076959
26,0,-0.051825264543597149,52.129061716506484,-0.023816689040229377,-7.670685653202014,59.799747369708498,-0.027948518371260889,-0.023876746172336261
27,0,-0.052863594657313606,50.123096542845879,-0.029413115228553721,-7.8677472612944612,57.99084380414034,-0.027721512456707842,-0.025142082200605764
28,0,-0.053491667950260169,48.209377994969465,-0.034980241990894001,-8.060070375327733,56.269448370297198,-0.027400227847834913,-0.026091440102425256
29,0,-0.053819527004593359,46.393213287144768,-0.039185307670051017,-8.2483729969708648,54.641586284115633,-0.02706752222150044,-0.02675200478309292
30,0,-0.053689426230746351,44.672938053560323,-0.042975777405228399,-8.4331002743412213,53.106038327901544,-0.026715823322831511,-0.02697360290791484
31,0,-0.053592438650247987,43.0362380193096,-0.045847058401646379,-8.6135599913947942,51.649798010704394,-0.026340664454977514,-0.027251774195270473
32,0,-0.053420789594410767,41.483283023492312,-0.048036827180309771,-8.7917147514880085,50.274997774980321,-0.025978249929465846,-0.02744253966494492
33,0,-0.053084293296689733,40.01951592262705,-0.050414064755997856,-8.9694901675984227,48.989006090225473,-0.025634253255333306,-0.027450040041356427
34,0,-0.052445450291749074,38.634548999690324,-0.051707918002050768,-9.145413504156771,47.779962503847095,-0.025430445311826588,-0.027015004979922486
35,0,-0.051709287766989576,37.323919455088372,-0.052412381592302992,-9.3195995756751415,46.643519030763514,-0.025272620997895956,-0.02643666676909362
36,0,-0.05106007875119678,36.08096401718938,-0.05336207382457836,-9.491875264218379,45.572839281407759,-0.025070909896641069,-0.025989168854555711
37,0,-0.050403737290704687,34.899741549220359,-0.054447801391068751,-9.6622122343257857,44.561953783546144,-0.024858383689860375,-0.025545353600844312
38,0,-0.049692045241953808,33.77559028539784,-0.055648358154227751,-9.8308555967155371,43.606445882113377,-0.02466757227779226,-0.025024472964161548
39,0,-0.048966984608872721,32.705483087910352,-0.056912624978978421,-9.9977633089879916,42.703246396898344,-0.024465375239174136,-0.024501609369698585
40,0,-0.048352161821581863,31.682207316372583,-0.057761914858200925,-10.162541424642711,41.844748741015295,-0.024204200183191915,-0.024147961638389948
41,0,-0.047798858708084868,30.699849802303575,-0.058066982982382775,-10.325017546605693,41.024867348909268,-0.023892099183655091,-0.023906759524429777
42,0,-0.047299233741689539,29.75430664646408,-0.057570317124470805,-10.485234391152929,40.239541037617009,-0.023558770497004389,-0.02374046324468515
43,0,-0.046813375562879789,28.843279045851027,-0.056257031996558737,-10.643328412151568,39.486607458002595,-0.023188996007718288,-0.023624379555161501
44,0,-0.046423355958625012,27.965039418873353,-0.054201771529543308,-10.799310692532778,38.764350111406131,-0.022758722995348535,-0.023664632963276477
45,0,-0.046116637037956876,27.11839022508628,-0.051622214721755988,-10.953224772312566,38.071614997398846,-0.022260624741818447,-0.023856012296138429
46,0,-0.045876970664675221,26.301706126432336,-0.048638009185053122,-11.105164211097367,37.406870337529703,-0.021705464251340345,-0.024171506413334876
47,0,-0.045741993383645041,25.513233950384738,-0.045299874481768754,-11.255125077824594,36.768359028209332,-0.021124165291780628,-0.024617828091864413
48,0,-0.045756447075180673,24.750396534235605,-0.04162448271203889,-11.402908789994065,36.15330532422967,-0.02052485694588313,-0.025231590129297543
49,0,-0.045785138064128095,24.009844486713114,-0.03794723193461369,-11.548390895354238,35.558235382067352,-0.019911918964083952,-0.025873219100044142
50,0,-0.045721890308592528,23.289840814243185,-0.034377320674682466,-11.691593390061236,34.981434204304421,-0.019250160508875069,-0.026471729799717458
51,0,-0.045522662330090502,22.589657172349654,-0.030827335009302459,-11.832665483879005,34.422322656228658,-0.018566880031102073,-0.026955782298988429
52,0,-0.045107899442719868,21.908812818040872,-0.027000716004796921,-11.971773241517674,33.880586059558546,-0.017882901155161335,-0.027224998287558533
53,0,-0.044445040461881247,21.246889946275843,-0.022953724186894675,-12.109021737827888,33.355911684103731,-0.017192221450613943,-0.027252819011267304
54,0,-0.043547517625052379,20.603189120045627,-0.018721146832485047,-12.244420895373572,32.8476100154192,-0.016511092773640712,-0.027036424851411667
55,0,-0.042438688444773831,19.977316991673007,-0.01453132278192637,-12.378070145824815,32.355387137497821,-0.015850212586997259,-0.026588475857776572
56,0,-0.041144614847623329,19.368442123260976,-0.010463315730905975,-12.510060696577128,31.878502819838104,-0.015211508021081954,-0.025933106826541374
57,0,-0.039675218574730775,18.775297729041895,-0.006523158739999424,-12.640411694753908,31.415709423795803,-0.014586782260153086,-0.025088436314577689
58,0,-0.037989006470258158,18.197127442741504,-0.0026879049316432813,-12.769129128286316,30.96625657102782,-0.013970889314549595,-0.024018117155708563
59,0,-0.036043904826935425,17.632258333744055,0.000913678659412831,-12.896213786805021,30.528472120549075,-0.013392630366013236,-0.022651274460922188
60,0,-0.03392666062616978,17.080067910679418,0.0041724642579783477,-13.021760185814124,30.101828096493541,-0.012857397393787551,-0.021069263232382229
61,0,-0.031742168761708767,16.540486341318882,0.0069999983455817372,-13.145848472978059,29.686334814296941,-0.012331152971597703,-0.019411015790111064
62,0,-0.029454474588289203,16.012385984987425,0.0093913305049033724,-13.26843552504058,29.280821510028005,-0.011791906910929129,-0.017662567677360075
63,0,-0.026923912094354518,15.498015132617866,0.011516978439365388,-13.389745868795501,28.887761001413367,-0.011288299315538097,-0.015635612778816421
64,0,-0.024222199440149916,14.996859728984631,0.013377175000398367,-13.509888145564851,28.506747874549482,-0.010843091691214113,-0.013379107748935803
65,0,-0.021431319904260837,14.507373998281384,0.014870471761819104,-13.628911152313599,28.136285150594983,-0.010491132660291669,-0.010940187243969168
66,0,-0.018709350108659706,14.030743843118188,0.016089513256448029,-13.74702271361307,27.777766556731258,-0.010186045627477824,-0.0085233044811818814
67,0,-0.016057586463218643,13.566448662074578,0.01716863662494017,-13.864279192866015,27.430727854940592,-0.0099076776364483976,-0.0061499088267702451
68,0,-0.013493314366781695,13.114173660350765,0.018217174239936185,-13.980681026599648,27.094854686950413,-0.0096485580427270179,-0.0038447563240546767
69,0,-0.011021391892857446,12.673569251977632,0.019291208950414251,-14.096220621562729,26.769789873540361,-0.0094067201220298102,-0.0016146717708276359
70,0,-0.0086354468649063598,12.243996006729432,0.020406152976611303,-14.210920213620007,26.454916220349439,-0.0091792482958226174,0.00054380143091625754
71,0,-0.0063056514265698027,11.824948572641294,0.021593490920206015,-14.324790074052018,26.149738646693311,-0.0089593156768046356,0.0026536642502348329
72,0,-0.003989472110303538,11.415971014303871,0.022813011432830876,-14.437852211584044,25.853823225887915,-0.0087587364759258435,0.0047692643656223055
73,0,-0.0016402115575446796,11.01633764633312,0.024000509153935923,-14.550123887292216,25.566461533625336,-0.0085846966980511752,0.0069444851405064956
74,0,0.00075533610784472849,10.625574562879368,0.025137520304423067,-14.661634509750442,25.28720907262981,-0.0084471513810910892,0.0092024874889358177
75,0,0.0031808828460226923,10.243255911998695,0.026240434349673158,-14.772391734479022,25.015647646477717,-0.0083469193818928034,0.011527802227915496
76,0,0.0056162232529852751,9.8690240980410735,0.027327615519052273,-14.882391735320198,24.751415833361271,-0.008284612468173691,0.013900835721158966
77,0,0.0080414082790811747,9.5025609988929247,0.028370122015282995,-14.991628123704515,24.49418912259744,-0.008263148126076203,0.016304556405157378
78,0,0.010417017232973391,9.1437157947247911,0.029341133689003041,-15.100095994454882,24.243811789179674,-0.0082816260408833386,0.01869864327385673
79,0,0.012723284433349136,8.7922821781128349,0.03028542110557586,-15.207792550820528,24.000074728933363,-0.0083468236469173007,0.021070108080266436
80,0,0.014956399982333224,8.4476856211174827,0.031143040033210667,-15.31470921613932,23.762394837256803,-0.0084624973815152771,0.023418897363848501
