rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,2697239462529,352187318361,0,6,"[1;2;3;7;8;13]",90,89
1,2774548873841,300647710792,0,4,"[0;3;4;13]",77,82
2,2692944495232,326417514580,25,4,"[0;3;6;7]",71,72
3,2714419331697,403726925893,26,5,"[0;1;2;4;5]",73,70
4,2740189135495,382252089430,0,7,"[1;3;5;7;10;12;13]",88,84
5,2765958939264,416611827813,23,3,"[3;4;6]",74,76
6,2740189135487,279172874384,26,3,"[2;5;7]",68,69
7,2744484102780,313532612688,0,6,"[0;2;4;6;8;10]",94,94
8,0,0,0,6,"[0;7;9;10;11;13]",87,86
9,0,0,0,5,"[8;11;12;13;14]",89,89
10,0,0,0,5,"[4;7;8;11;12]",101,101
11,0,0,0,6,"[8;9;10;12;14;15]",97,97
12,0,0,0,7,"[4;9;10;11;13;14;15]",144,144
13,0,0,20,6,"[0;1;4;8;9;12]",66,65
14,0,0,0,4,"[9;11;12;15]",80,80
15,0,0,0,3,"[11;12;14]",72,73
