step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,3,1.0329999999999999,0,0.0020367859166477448,0.14723375623970061,0.012261185303825174,0.51083408883360182,0.53177413480991409,7.3880319809546355
2,0,3,1.0660000000000001,0,0.0022966347710256792,0.12149351087559079,0.008648041104839823,0.56531402728870894,0.57829117733238755,21.982107136201552
3,0,3,1.099,0,0.002656790504647147,0.1030662965977963,0.0067719036902021638,0.63164709279135822,0.64004189592677019,28.821549084047124
4,0,3,1.1319999999999999,0,0.0028271351914111124,0.08947387187846792,0.0058983060564268778,0.65563154923856859,0.66174094992951427,28.397757670714043
5,0,3,1.165,0,0.0028435252392012009,0.078799804756646039,0.0055736883710948756,0.6502166044892389,0.65500396458421906,25.094261276039834
6,0,3,1.198,0,0.002771093756936458,0.070077676505691341,0.005637335047934732,0.62966930109591446,0.63358801124556174,23.653257802963257
7,0,3,1.2310000000000001,0,0.0026553889634748674,0.062765558657930237,0.0059635011861015998,0.60260245729777318,0.60589755844688842,21.205066631319678
8,0,3,1.264,0,0.002525235072144561,0.056426838770321987,0.0064233649281774047,0.57395968679952525,0.57676801804000111,18.308170852496318
9,0,3,1.2969999999999999,0,0.0023923187092563425,0.050741316271195422,0.0070201706979493468,0.54532128474033703,0.54772711339974778,17.788083906401351
10,0,3,1.3300000000000001,0,0.0022615276808663756,0.046060137186825056,0.0075812129528663019,0.51787255459302972,0.51997702673836244,16.528355972797751
11,0,3,1.363,0,0.0021645413562215291,0.042330382375141265,0.0085021624853753811,0.49921946001499268,0.50108771940239871,14.511914505670104
12,0,3,1.3959999999999999,0,0.0020706900519470019,0.03906937233358921,0.0090691293942425279,0.47993264946303954,0.48161011278877253,12.546852736887079
13,0,3,1.429,0,0.0019959929682134749,0.03630959255232416,0.0096114958189011477,0.4640424513773127,0.4655643328600112,11.338142123803848
14,0,3,1.462,0,0.0019330913140147251,0.033899427967230965,0.010129625779222008,0.45041612984019053,0.45180771064378283,11.275833895694959
15,0,3,1.4950000000000001,0,0.0018800721954666437,0.031862337948081895,0.010623690474189698,0.43903999290899337,0.44032683477594037,10.966321174524021
16,0,3,1.5,0,0.0018322672977071006,0.030092398264159343,0.01107605499167127,0.42885000893074371,0.43005106532924264,10.462965404784716
17,0,3,1.5,0,0.0017916999012010824,0.028528918165363064,0.011482335865239203,0.42019812403281193,0.42132578468192339,9.8167539517588143
18,0,3,1.5,0,0.0017614836261081676,0.026946326021606955,0.011603705345282864,0.41420914865073005,0.4152506136230632,9.0543985004715903
19,0,3,1.5,0,0.0017460878326743085,0.026004783859895797,0.012424176173956017,0.4114469856021945,0.41245882184898564,8.2552090814134509
20,0,3,1.5,0,0.0017299003171248513,0.024820616171187498,0.012569808792588195,0.40902327472490341,0.40997206600205172,8.1611939243916058
21,0,3,1.5,0,0.0017170706675233879,0.023801149476374645,0.012710036780320158,0.40741206664218815,0.40830819258091045,8.2006121542339301
22,0,3,1.5,0,0.001702910000590873,0.022948721721543219,0.012838573100916625,0.40531559876689877,0.40617127827329219,8.0501261644304201
23,0,3,1.5,0,0.0016919810140638724,0.022275835676831574,0.012969917397010595,0.40383461668686205,0.40465997089749711,7.7321349391502388
24,0,3,1.5,0,0.0016845620585153142,0.021726911286441806,0.013076044774008439,0.40304464520678873,0.40384510075049318,7.3345921027840886
25,0,3,1.5,0,0.0016830137464091512,0.021337357383194398,0.013206005498185841,0.40340937700672191,0.40419257711335865,6.8574704736623655
26,0,3,1.5,0,0.0016826396291029879,0.021024408896234182,0.013389304426250042,0.40384255083241699,0.40461455285420661,6.3227615263797361
27,0,3,1.5,0,0.0016804409101330822,0.020884261106376957,0.013458826116742924,0.40356702150146917,0.40433458556945107,6.1062401529337631
28,0,3,1.5,0,0.0016658590763880445,0.020786125492344831,0.013478489201887683,0.4003745436332975,0.40114371858497616,5.8381983027109596
29,0,3,1.5,0,0.0016396577752888066,0.020651516744428753,0.01326499318807719,0.39442778996251532,0.39519414869208186,5.7074736545413582
30,0,3,1.5,0,0.0016078621688448522,0.02054419707729923,0.012914640950348753,0.38720537957262491,0.38796835331655838,5.8582338908174458
31,0,3,1.5,0,0.0015757109000397878,0.020516917873766891,0.01246456492993432,0.37955869631295441,0.38032038613458719,5.6057342990815604
32,0,3,1.5,0,0.0015602763157687486,0.020581112803602072,0.012022558180968647,0.37597338085036808,0.37673139194880861,5.1723329689015491
33,0,3,1.5,0,0.0015550325958654798,0.020680546047679094,0.011726024135186926,0.3752159951789194,0.37597160237354388,5.3833163376742679
34,0,3,1.5,0,0.0015351031266089533,0.020700946354162229,0.011535865200149025,0.37095414834923784,0.37171352152563886,4.5380688309150168
35,0,3,1.5,0,0.0015084002482159927,0.020746932861671796,0.011439938667508778,0.36511851807339507,0.3658894845869502,4.4215927515626019
36,0,3,1.5,0,0.0014793094029082214,0.020681185386815366,0.011416182248512052,0.35894099501709953,0.3597205400117014,4.3004504726155393
37,0,3,1.5,0,0.0014435136842813594,0.020521901225634298,0.011551593960351889,0.35099332883488737,0.35178542944711572,4.1784659143820875
38,0,3,1.5,0,0.0014157124314155669,0.020271466662051523,0.011646197714556279,0.34511360653364787,0.34590746152430302,4.058095501106572
39,0,3,1.5,0,0.0013905928192763344,0.019998079939316776,0.011553223036852899,0.3399619413195461,0.34074837557638055,3.9437324058387118
40,0,3,1.5,0,0.0013563297531109407,0.01967694229592145,0.011316299579445258,0.33235068568865977,0.33312769113721286,3.8813770854729861
41,0,3,1.5,0,0.0013436115540526007,0.018689813584810516,0.01091543965344606,0.33041274952592758,0.33112361180676092,3.8331172427155362
42,0,3,1.5,0,0.0013226342676106253,0.018968563294802128,0.010746747958151797,0.32482357752813412,0.32555706852213573,3.7832259103919785
43,0,3,1.5,0,0.0013168055503682268,0.018390246822574969,0.010368097670811921,0.32403519900460825,0.32472487246640086,3.7501991747014016
44,0,3,1.5,0,0.0013215408538269197,0.017262370242548824,0.0099632129371355956,0.32446894311768715,0.32508321481823504,3.715374282638142
45,0,3,1.5,0,0.0013265538851668262,0.017134680988043802,0.0098499614228171224,0.32783721235980423,0.32843510254790165,3.6770154445798715
46,0,3,1.5,0,0.0013282033266156261,0.01649671143447699,0.0096232007829539501,0.32843867498860302,0.32899616233902712,3.6294777765526791
47,0,3,1.5,0,0.0013246149826657144,0.016005235989977093,0.0093588817272866765,0.32786212162723211,0.32838861376278322,3.5432860285965035
48,0,3,1.5,0,0.0013110435894897118,0.015175220005192223,0.0086994198514255584,0.32486007474660999,0.32533329710870962,3.4509460423153322
49,0,3,1.5,0,0.0012928902142536358,0.014464092083783424,0.0080468026856155735,0.32007234788174382,0.32050263717621347,3.3541709425990809
50,0,3,1.5,0,0.0012804327815516712,0.013875042945181179,0.0075085297514780915,0.31640659975442625,0.3168022580601742,3.2614301467573727
51,0,3,1.5,0,0.0012669968250386152,0.013425374140916602,0.0072107470484015848,0.31236608018877743,0.3127401619192457,3.172685481515221
52,0,3,1.5,0,0.0012543571644402065,0.013090592071324883,0.0070595810867191402,0.30856302231181387,0.30892379875301729,3.0896686295145455
53,0,3,1.5,0,0.0012487699052418845,0.012850972424165354,0.0070075421106969909,0.30680692302804746,0.30715842912558061,3.0688657032966868
54,0,3,1.5,0,0.0012364140688572269,0.012747524831181153,0.007183323777687386,0.30351167702410953,0.30386669172443648,3.1130904843897458
55,0,3,1.5,0,0.0012216707251409881,0.01263681774478591,0.0074587004893058098,0.29991949681251812,0.30028073268749506,3.1127473012355482
56,0,3,1.5,0,0.0012004633775215623,0.012517883311368907,0.0076734549872521955,0.29503184878884092,0.29539941135032866,3.0439297443747932
57,0,3,1.5,0,0.0011785922304289188,0.01246860294035612,0.0077783511738580852,0.28994967078988243,0.2903242488616391,2.9109227835548515
58,0,3,1.5,0,0.0011721506657338036,0.012399357696206832,0.0077754495308971581,0.28851840689410585,0.28889175609660794,2.7790940676446922
59,0,3,1.5,0,0.0011718332051523258,0.01228286590128972,0.0078841343676302085,0.28842733789510033,0.28879877217154332,2.7496884308311116
60,0,3,1.5,0,0.0011608659752243039,0.012186463713356901,0.0080939387307669558,0.28563793762666195,0.28601468627229554,2.7180316934005075
61,0,3,1.5,0,0.0011419046749157329,0.012110862275189956,0.0081643652083136058,0.28087228239424283,0.28125410718412841,2.6659863763316154
62,0,3,1.5,0,0.0011219271090008251,0.012095858920756122,0.0080232676147257136,0.27582252538170809,0.27620645693869877,2.5964104434721906
63,0,3,1.5,0,0.0010976310800877951,0.012063746170077825,0.0079010114174639639,0.26959903704823884,0.26998667656830883,2.5306099392881105
64,0,3,1.5,0,0.0010852132012986429,0.01193519827732125,0.0078038481513118011,0.26636471513855098,0.26674836112415268,2.4726296330022466
65,0,3,1.5,0,0.0010767296008557081,0.011750277518990828,0.0077186563005947435,0.2641779354626535,0.2645539408302271,2.3945443466337837
66,0,3,1.5,0,0.0010544009896683456,0.011607397815177332,0.0076511258782796885,0.25844026745472648,0.25881606405855617,2.3630841144758024
67,0,3,1.5,0,0.0010334261769297198,0.01144945253240706,0.0075471007061353622,0.25299709823882049,0.25337057520416012,2.3324417628154497
68,0,3,1.5,0,0.0010209672094853195,0.01122164472310797,0.0074225639243347078,0.24969612136576538,0.25006042302742026,2.3171373376874524
69,0,3,1.5,0,0.0010163150662740453,0.010995887469603328,0.0072309625160505674,0.24838714209849003,0.24873761600594735,2.3543057576016087
70,0,3,1.5,0,0.0010105112991602644,0.010779185564946309,0.0070871947604952091,0.2468368276040705,0.2471757669468107,2.2925499506771239
71,0,3,1.5,0,0.0010091013350989996,0.010591214040695563,0.0069027378543874453,0.2464390146993696,0.24676512690459895,2.2092959404268027
72,0,3,1.5,0,0.001014506943630407,0.010453486719604421,0.0066507999299460999,0.2478077717044771,0.24811938550984292,2.1793268654797995
73,0,3,1.5,0,0.0010108833206065328,0.010307446289635718,0.0065878791586348505,0.24684952958000145,0.24715451794328663,2.1517508593692849
74,0,3,1.5,0,0.0010002865898295747,0.01015684861241856,0.0066517694364192064,0.24410502273013684,0.24440881797863451,2.1263158379693938
75,0,3,1.5,0,0.0010025362037450998,0.010031931284334676,0.0065626767585961598,0.24473258161498679,0.24502805952442963,2.2720096130162428
76,0,3,1.5,0,0.0010059653524313609,0.0099183626833460291,0.0064596021605387759,0.245745648082385,0.24603259112587611,2.3649975217821062
77,0,3,1.5,0,0.00098460159214184932,0.0098307505064285719,0.0065974072235861457,0.24042572439729287,0.24071906411801236,2.4018016847418999
78,0,3,1.5,0,0.00096226407848364428,0.00974617777725156,0.0066656711534531952,0.23488748768237167,0.23518604757741221,2.4079210274768168
79,0,3,1.5,0,0.00096623531359866014,0.0096385127975615898,0.0064560413978763031,0.23614550136499715,0.23643225842741292,2.3980510295055639
80,0,3,1.5,0,0.00096365003617983975,0.0095695889391749847,0.0063326491511106441,0.2356856838744473,0.23596684021805683,2.3788188854865151
81,0,3,1.5,0,0.0009474614324643403,0.009551830423486514,0.0063520521209885399,0.2316553908978386,0.23194116462108055,2.3531772463509104
82,0,3,1.5,0,0.00095093929047863012,0.0094800038247232158,0.0062574294098224252,0.23261046350872125,0.23288958309596414,2.3228298212362306
83,0,3,1.5,0,0.00096213678536707275,0.0093819515119227658,0.0061580004664932349,0.23551961552572898,0.23578879741942441,2.2917457026648287
84,0,3,1.5,0,0.00094920831274679807,0.0094290711976604217,0.0061959914128749899,0.23223129637177753,0.23250714764104852,2.2600254968622848
85,0,3,1.5,0,0.00092684055412274417,0.0095470170623338166,0.0062224477527659571,0.22650993742743999,0.2267983138773742,2.2267713559459663
86,0,3,1.5,0,0.00092526934982197352,0.009506966967929362,0.0061841588056196373,0.22616757826237785,0.2264536504927685,2.1923303255574691
87,0,3,1.5,0,0.00092940229913990443,0.0093511172745481801,0.0062651951181476396,0.22731114898942748,0.2275915602733945,2.1402812304413086
88,0,3,1.5,0,0.0009204905000437249,0.0092904839810115936,0.0064109091223353903,0.22510135641933052,0.22538607058325369,2.0476334568098729
89,0,3,1.5,0,0.00091543229620876703,0.0092997069188411434,0.0064086810744381417,0.22390169203186641,0.22418822773043171,1.9675829765421162
90,0,3,1.5,0,0.0009112979700902973,0.0092815254718664354,0.0063990583757126173,0.22301169101453899,0.22329831942120654,1.8976122441614593
91,0,3,1.5,0,0.00090092596684658533,0.0092498274356329086,0.0064454226418704883,0.22056375406408585,0.22085353530125257,1.8359486497805024
92,0,3,1.5,0,0.00090455792964203236,0.0091989664543771256,0.006323209265158781,0.22167031030565509,0.22195303254358398,1.7812581991661238
93,0,3,1.5,0,0.00090412964288609347,0.009163046212785032,0.0062712587116692366,0.22173597209348378,0.22201565006183616,1.7324108109874723
94,0,3,1.5,0,0.00088346107186655621,0.0091386299616744437,0.0064549498380182821,0.21673084169798537,0.21702124131423273,1.6878623791105449
95,0,3,1.5,0,0.00088661489461621485,0.0090093617155636348,0.0064084221009093655,0.21783053257302393,0.21811273112627763,1.645426736652996
96,0,3,1.5,0,0.00090077509640468256,0.0088863710920741908,0.006262820580443384,0.22158409299560711,0.22185245587387359,1.626698812938866
97,0,3,1.5,0,0.00087740879787426133,0.0088936809079306432,0.006490472730163079,0.21575422191866403,0.21603675131393685,1.6158566267918786
98,0,3,1.5,0,0.00086451239999932555,0.0088103675689422435,0.0066397204346767729,0.21271829986737037,0.21300594110095797,1.6061299654613861
99,0,3,1.5,0,0.00088501830778509017,0.0086877636831461345,0.0064069587969991359,0.21817976919101137,0.21844844082869705,1.5944291543293174
100,0,3,1.5,0,0.00087419306186077583,0.0088127789613092304,0.0063245128215937314,0.21557443030551782,0.21584893733930996,1.5810448230749461
101,0,3,1.5,0,0.00085537617123654939,0.0088936089112866407,0.0064135196247556746,0.21102760511252117,0.21131401113358414,1.5661283156693293
102,0,3,1.5,0,0.00087964634079942502,0.0087108963237155501,0.0062868310387115692,0.21746525339525416,0.21773220747335201,1.5513383544214483
103,0,3,1.5,0,0.00088312586164294657,0.0086961433173581449,0.0062438292884714431,0.21845659439060458,0.21872053368810215,1.5364056479350543
104,0,3,1.5,0,0.00084706690786106003,0.0089050226087105597,0.0064370045782388384,0.20930863530712246,0.20959856104486571,1.5209877316126856
105,0,3,1.5,0,0.00085243080344758553,0.0089026314280229047,0.0064088978453929043,0.21066070642634385,0.21094783878546089,1.5046266446701377
106,0,3,1.5,0,0.00088731163210320789,0.0088182558248634541,0.006192814381477476,0.21947219137529214,0.21973835053254015,1.4891537434751145
107,0,3,1.5,0,0.00087257131487577643,0.0090261960200229141,0.0063340074037599274,0.21576900756374759,0.21605234983708665,1.4768132545852073
108,0,3,1.5,0,0.00084297456127899564,0.0092768681868140544,0.0066273912845637344,0.20841702665660283,0.2087303289057062,1.4759636309194724
109,0,3,1.5,0,0.00087445543892489296,0.0092074757118868755,0.0065611029849237286,0.21652225428727653,0.21681899583597947,1.4713781528137659
110,0,3,1.5,0,0.0009043493070483049,0.0090997323305971548,0.0066253676250635192,0.2241369050806131,0.22442119037969807,1.4649691981107276
111,0,3,1.5,0,0.00086655473928121953,0.00920423015737022,0.0072049912517623913,0.21455669533271293,0.21487660687226653,1.45660837416999
112,0,3,1.5,0,0.00085051417021661112,0.0093561927068969101,0.0074120299985331655,0.21041382874339953,0.21075383562696587,1.5579391590420888
113,0,3,1.5,0,0.00090435758708652908,0.0093714423786147322,0.0070313229715319898,0.22397799973279445,0.22428603536987024,2.2309258584959952
