step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,3,1.0329999999999999,0,0.002036578866478591,0.14721028961544258,0.012260949516317845,0.51077531729822134,0.53171117410327406,7.4665604958452017
2,0,3,1.0660000000000001,0,0.0019467170869744488,0.12076891589804088,0.008536431811649663,0.48773250595346507,0.50253834558800248,7.0809244669344684
3,0,3,1.099,0,0.001918679295279798,0.10111245077429298,0.006468102660392919,0.47934572072233567,0.48994036918656003,10.131690144218739
4,0,3,1.1319999999999999,0,0.0019010793318375743,0.086444623640989759,0.0053778266244698565,0.47348272514609363,0.48134301603953122,11.788958355072436
5,0,3,1.165,0,0.0018775336198579805,0.075005520597556524,0.0047719629002156514,0.46597342015927595,0.47199931480613228,12.968157915743763
6,0,3,1.198,0,0.0018441476132982982,0.065919537100531334,0.0044221955187677131,0.45589225636573544,0.46065832400968904,13.323382328019257
7,0,3,1.2310000000000001,0,0.0018038780225976185,0.058511189595243637,0.0042298309321059865,0.44407622581913597,0.44793794111601376,13.098054302041854
8,0,3,1.264,0,0.001758112672732915,0.052208401633983395,0.0041725643621788365,0.43096204809636252,0.43413650543822424,12.391798704411746
9,0,3,1.2969999999999999,0,0.0017093914655601054,0.046661471346223456,0.0043028332527810121,0.41745106980898877,0.42007633233264574,11.381658395393597
10,0,3,1.3300000000000001,0,0.0016520118719407157,0.042179030746123211,0.0042956845541508512,0.40218056136002278,0.40441248326375789,10.18366920489219
11,0,3,1.363,0,0.001595005357519437,0.038593981618356955,0.0043021804045162079,0.38716001659837251,0.38910593245019237,8.9954626844029342
12,0,3,1.3959999999999999,0,0.0015502913195746394,0.03560355158251536,0.0043172045079745026,0.37469909898308684,0.37641475704595484,8.7368851961229232
13,0,3,1.429,0,0.0015088176108095498,0.032968222698710345,0.0043848611396731787,0.3632803033378641,0.36480266725855942,8.7476615664818222
14,0,3,1.462,0,0.0014709005199860237,0.030616171010189871,0.0045139927153661375,0.35284696005530486,0.35420455506129389,8.504876121801475
15,0,3,1.4950000000000001,0,0.0014376121071575263,0.028609295172895472,0.0046851433382705601,0.34377942084809004,0.34500260762146256,8.0542106041216535
16,0,3,1.5,0,0.0014086587080018955,0.026901562438927464,0.0048785699735852776,0.33585484401423976,0.33696877462730523,7.4893287550721075
17,0,3,1.5,0,0.0013832565417983441,0.025441164116995305,0.005087803509326751,0.32886531213812559,0.32989005062678778,6.8403663173281934
18,0,3,1.5,0,0.0013609888747307076,0.024221705781119984,0.0053033350614451243,0.32284679435025143,0.3238004343830807,6.1292254443012579
19,0,3,1.5,0,0.0013404717058444517,0.023190653206057055,0.0055317051121260294,0.31754752173972206,0.31844407921172685,5.3745882804798972
20,0,3,1.5,0,0.0013201558722874054,0.022281889916813433,0.0057993554311974336,0.31254673244977416,0.31339642295061404,4.5949858700520387
21,0,3,1.5,0,0.0013016188077715788,0.02152901463657891,0.006095543175749802,0.30814235560520298,0.30895640412082992,4.1723963651456319
22,0,3,1.5,0,0.0012876843340609693,0.020941249958464095,0.0063838952574160118,0.30503331596554262,0.3058206534038525,3.7346093992013603
23,0,3,1.5,0,0.0012776463443942606,0.020441077833255293,0.0066385421425378052,0.30306721905727602,0.30383100492223586,3.7372288532636291
24,0,3,1.5,0,0.0012622922087592062,0.020022427149807585,0.0068759310131201717,0.29968389946920876,0.30043336865095005,3.8433906421378441
25,0,3,1.5,0,0.0012410823916647927,0.019709697791398764,0.00708654122188532,0.29466382068302438,0.29540988263519247,3.8695681242311646
26,0,3,1.5,0,0.0012238124693937091,0.0194695148191853,0.0072844299455475086,0.29058461620402953,0.29132978189386927,3.828486956984579
27,0,3,1.5,0,0.0012092534881526929,0.019303824599737038,0.0074737084368540589,0.28715257226011548,0.28790025358025645,3.7127467182441531
28,0,3,1.5,0,0.0011948355859617713,0.019198609659470293,0.0076349522416710716,0.28376258778088298,0.2845162789099599,3.4098671451292746
29,0,3,1.5,0,0.0011832687981912064,0.019135997373559199,0.0077722241143975681,0.2811680567957211,0.28192812940622985,3.0630191541692322
30,0,3,1.5,0,0.0011732299684064241,0.019089909572935038,0.007907367785369223,0.27907476418707045,0.27984111847157783,3.0580836594274556
31,0,3,1.5,0,0.0011635959668869541,0.019072787149265712,0.0080581711024177299,0.27714649688635767,0.27792128386129594,3.0987642480679809
32,0,3,1.5,0,0.0011531539634622345,0.019013091894777998,0.0082303872726805054,0.27489755943057087,0.27567958735279124,3.1393031952409016
33,0,3,1.5,0,0.0011390462020773153,0.018979714541221996,0.0084057476877986339,0.27173778101449453,0.27253184257108204,3.1788034504791027
34,0,3,1.5,0,0.0011263257879798134,0.018983199385036894,0.0085917181244445379,0.26894402168467596,0.26975235844924522,3.3096429631240589
35,0,3,1.5,0,0.0011186076913824441,0.019040224769393498,0.0088108059867619982,0.26721053707128639,0.2680352269133629,3.6854647022688942
36,0,3,1.5,0,0.0011072179553671664,0.019048140247075598,0.0090372306799976262,0.26463030330774889,0.265471140701937,3.7846093613043599
37,0,3,1.5,0,0.0010924367288434704,0.019016585498611883,0.009228737842222905,0.26124838930305244,0.26210439610512498,3.5984005885399202
38,0,3,1.5,0,0.0010757076099566188,0.018947634915453235,0.0094093272874489868,0.25749734383825662,0.25836715646442199,3.4906729675691679
39,0,3,1.5,0,0.0010636832342258763,0.018964710420738169,0.0095973833946581162,0.25484427855021036,0.25573131943734717,3.4166662183527094
40,0,3,1.5,0,0.0010541390521581009,0.018994466890671885,0.009799339307814129,0.25267819454713097,0.25358272423820505,3.5456838342883219
41,0,3,1.5,0,0.001042973647886782,0.018999339314770682,0.0099861872157325261,0.2501395765421891,0.25106093757540476,3.489105972965703
42,0,3,1.5,0,0.0010305832333195504,0.018995069875222762,0.010152836620405578,0.24741063877832634,0.2483485032238075,3.3736649204494968
43,0,3,1.5,0,0.0010188289347540327,0.018991428646455054,0.010319960433815702,0.24491811531663576,0.245872115474773,3.2840890530377451
44,0,3,1.5,0,0.0010081845132372251,0.018979326166057631,0.010491079467809302,0.24264368449035204,0.24361291351072448,3.2075744419140402
45,0,3,1.5,0,0.00099844285589707521,0.018947021228152755,0.010674966021583326,0.2404223417350016,0.24140597301322189,3.1170926313771843
46,0,3,1.5,0,0.00098969333371694843,0.018894418912366779,0.010876857938102363,0.23827848590808615,0.23927582712047299,3.0267063539167864
47,0,3,1.5,0,0.00098089214386376956,0.018820919000168253,0.011088977939897665,0.23607228383008202,0.23708285000377216,2.9205942414570885
48,0,3,1.5,0,0.0009715918986745271,0.018733796063000848,0.011297447232144563,0.23383094849302194,0.2348540906453559,2.8032561779906571
49,0,3,1.5,0,0.00096162086184346937,0.018660301967824897,0.011497925324044513,0.23162441920308652,0.23266113865907387,2.7271008790353455
50,0,3,1.5,0,0.00095271708353166526,0.018555494894934934,0.011650247353021144,0.22967341593248275,0.2307180537151764,2.6129516179117922
51,0,3,1.5,0,0.00094556302343293448,0.018435114257234965,0.011776679051918116,0.22809213107786583,0.22914069467522089,2.4784789562380323
52,0,3,1.5,0,0.00093865764550946453,0.018297343430704282,0.01188555715419439,0.22650170256331986,0.22755210741222515,2.343982812673076
53,0,3,1.5,0,0.00093125131351884198,0.018153404208881212,0.01199043194029757,0.22481835531014399,0.22587048646481683,2.2584204650633417
54,0,3,1.5,0,0.00092391470524424426,0.018012334218237443,0.012088597418745647,0.22314487174063258,0.22419871938543254,2.1979550290617014
55,0,3,1.5,0,0.00091714249947710922,0.017868708629199238,0.012185103091246006,0.22152405143601639,0.22257923083794384,2.1180060831003695
56,0,3,1.5,0,0.00091155828111314993,0.017714339494847117,0.01228047785663486,0.22004924806436307,0.22110429772466536,2.0974692720112236
57,0,3,1.5,0,0.00090664814790774402,0.017556331480852238,0.012381869974816346,0.21865350924166216,0.21970824880667675,2.0822253291894612
58,0,3,1.5,0,0.00090232326541589717,0.017383702155887654,0.012491530938409903,0.21740617931269585,0.21845936106390412,2.0665469010470634
59,0,3,1.5,0,0.00089786744345151141,0.01721461172347245,0.012600643326602845,0.21622669930604924,0.21727841753788804,2.0502147054783513
60,0,3,1.5,0,0.00089170473436692675,0.017047569146075893,0.012701692901965286,0.21481847146385613,0.21586969086874364,2.0334056509479903
