step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0,0.00020836182877825848,319.03855665677389,-5.4704682270312333e-05,0.60074865261032073,318.43780800416357,-0.00070877232504074072,0.00091713415381899921
2,0,-0.0013217581518110144,280.14014398299668,0.00035475458482814304,1.1255988729949991,279.01454511000168,-0.0018396236923621245,0.00051786554055111012
3,0,-0.0040738250010650123,248.10541710366604,0.00089254270841010452,1.5901532605003297,246.51526384316571,-0.0031635697554506237,-0.00091025524561438864
4,0,-0.0080316332174176774,221.54102680262235,0.00011642745832673995,2.0067897199959361,219.53423708262642,-0.0045590530735921675,-0.0034725801438255099
5,0,-0.01268044013286368,199.33348333579627,-0.0019869721787566519,2.3853570511535622,196.94812628464271,-0.0060781587166118811,-0.0066022814162517984
6,0,-0.01785012398642094,180.65532876517119,-0.004648488789357863,2.7341649356891367,177.92116382948205,-0.007647094003452537,-0.010203029982968403
7,0,-0.021998576253769164,164.82636467678725,-0.0028044581439052862,3.0590960279332364,161.76726864885401,-0.0091535868159553502,-0.012844989437813814
8,0,-0.02529324945108663,151.33612447309898,0.0045445039680513943,3.3652342540526661,147.97089021904631,-0.010533658847705851,-0.014759590603380779
9,0,-0.027828319616730407,139.91743515105409,0.0090278199760565059,3.6598367087971155,136.25759844225698,-0.011516409570809572,-0.016311910045920835
10,0,-0.034849132927123466,130.29426386726203,0.0072125623720609155,3.9479389608823965,126.34632490637962,-0.01298677964756223,-0.021862353279561236
11,0,-0.041553427258617388,121.99172935059988,0.0028449293446719537,4.2268225325658761,117.76490681803401,-0.014588013192941673,-0.026965414065675715
12,0,-0.048224387230098927,114.70435458993019,0.0006685480232979657,4.495232890823246,110.20912169910694,-0.016548117117892502,-0.031676270112206424
13,0,-0.0519278666877203,108.24906242499276,0.0048428143779091215,4.7539506608499664,103.49511176414279,-0.018452621582866868,-0.033475245104853432
14,0,-0.05343307118002831,102.4756980243526,0.012518757782293388,5.0039984899380272,97.471699534414569,-0.020144842629221671,-0.033288228550806639
15,0,-0.054182197172777016,97.381097853868653,0.021084429024217144,5.2487945737960047,92.132303280072648,-0.02179737629182199,-0.032384820880955026
16,0,-0.053381276901169145,92.902641198616877,0.031575291142950324,5.48940598932694,87.413235209289937,-0.02321727825835751,-0.030163998642811638
17,0,-0.05098159003805159,88.933299331896052,0.041209181874347856,5.7258659516199941,83.207433380276058,-0.024237498981371175,-0.026744091056680415
18,0,-0.046920134636843878,85.398479226209673,0.05250940835422746,5.9581338352635385,79.440345390946135,-0.024837005835252057,-0.022083128801591821
19,0,-0.041664114804049995,82.236971517673908,0.066325389086709929,6.1862669185174752,76.050704599156433,-0.025045999209176273,-0.016618115594873722
20,0,-0.036095312958975244,79.402733247157158,0.081676017462332329,6.4110525031410077,72.991680744016151,-0.025033834736085225,-0.011061478222890019
21,0,-0.030797840363104463,76.868558125439463,0.098506471752349167,6.6348268608339254,70.233731264605538,-0.02482189331934137,-0.0059759470437630927
22,0,-0.026015359097895773,74.596487006310639,0.11591714698126898,6.8577754368040189,67.73871156950662,-0.024418966090834715,-0.0015963930070610581
23,0,-0.022321728009088652,72.536786423592787,0.1325130534629122,7.0776080334538847,65.459178390138902,-0.024134783844473873,0.0018130558353852202
24,0,-0.019146175914284566,70.618074053522605,0.14923891564399794,7.2918938276982601,63.326180225824345,-0.023841080041783869,0.0046949041274993043
25,0,-0.016761838498357835,68.809267176708062,0.16441144180580203,7.5006100748428537,61.308657101865208,-0.023576922157531044,0.0068150836591732104
26,0,-0.014911364793122266,67.09448598638339,0.17708760630460674,7.7035992742175949,59.390886712165795,-0.023324140704097829,0.0084127759109755632
27,0,-0.013688878512622031,65.471418694182674,0.18644389417015783,7.9012664582793661,57.570152235903308,-0.023136257683844974,0.0094473791712229426
28,0,-0.012916252278284449,63.937419092332306,0.19237003394301722,8.094069131287938,55.843349961044368,-0.022974188155899355,0.010057935877614907
