step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,3,1.0329999999999999,0,0.0020366468645585814,0.14719585230325538,0.012263787373731879,0.5108600821700271,0.53178867127952967,7.4665604958261955
2,0,3,1.0660000000000001,0,0.13490864642426822,0.79404340024637143,0.40776916990163009,22.957989162472746,22.975731704224206,1272.8836777332176
3,0,3,1.099,0,0.13211006709779874,1.0564141476630713,0.53820353153189449,27.553804989615841,27.579617407939935,1247.5676736532787
4,0,3,1.1319999999999999,0,0.15171494710929387,1.3693316646169744,0.72154505583419126,51.646822891950904,51.670233488276807,2769.809513072847
5,0,3,1.165,0,0.12044582379855936,1.5499654216179719,0.98744199858812387,58.377131721847334,58.406176469404087,2926.7763216106655
6,0,3,1.198,0,0.13253654095225803,1.7077396617031129,1.1545144492720039,66.318980704534653,66.351142009681041,2989.0084299715854
7,0,3,1.2310000000000001,0,0.16017036051277528,1.8451473423496136,1.2424494102527273,66.914391323676341,66.951547181633501,2728.3547332815992
8,0,3,1.264,0,0.20508442507335478,2.1230102546218212,1.3954778134850847,72.895807455390681,72.940354640376938,2388.199378308113
9,0,3,1.2969999999999999,0,0.2397879212236575,2.3083864421349927,1.6334017183259022,73.601993783360484,73.656687654772142,2056.841190386222
10,0,3,1.3300000000000001,0,0.27897604934477926,2.4904927427925427,1.9246633785446439,72.307907960718978,72.376918036861227,1784.9021388433493
11,0,3,1.363,0,0.32178926508836952,2.6742671839189507,2.2440562177568752,70.994974073668885,71.081484124429224,1800.1839473292493
12,0,3,1.3959999999999999,0,0.36504642506825175,2.8624900690207142,2.5499732417547651,72.574675500456451,72.676770675491056,1837.8320964995448
13,0,3,1.429,0,0.40924217324193118,3.0430645665515619,2.8321938653376693,76.841831925330723,76.955286867402393,1804.9333388905932
14,0,3,1.462,0,0.45236653435129209,3.1975996700899016,3.0762182511531764,82.491531314143458,82.612015690289255,1824.1917530671963
15,0,3,1.4950000000000001,0,0.49205149912015456,3.3215591943753142,3.2767028508177192,88.861317292278471,88.985085057278397,1704.6010581190926
16,0,3,1.5,0,0.53034707608951759,3.4259644479966713,3.4206628447216691,96.836175306166723,96.958569928830769,1856.2841551627191
17,0,3,1.5,0,0.57795432110876788,3.5930714331641607,3.6253650985115184,110.17883490243585,110.29851824062203,1723.8642160050351
18,0,3,1.5,0,0.62639124492785925,4.0073509790466044,4.0206295579222671,124.85979244606723,124.99033746485371,2542.5918629870216
19,0,3,1.5,0,0.66853242578332694,4.6891730171817141,4.5944540493755586,137.40036368697434,137.5587301065041,3464.6443735572375
20,0,3,1.5,0,0.67836006240041102,4.9346143754460812,4.9191488796945437,140.18503103027263,140.35972193641493,3433.7590194048375
21,0,3,1.5,0,0.65272494160240258,4.3814295486036618,4.6201026960919549,131.62459974489894,131.78013348629622,3109.8498629963801
22,0,3,1.5,0,0.61737033842534372,3.5304122636794584,3.9613641897820422,118.47991140436132,118.60028149003567,2593.2451744993655
23,0,3,1.5,0,0.59702873347172103,2.9454257001033044,3.324474095833573,108.1867892862289,108.27957092609935,2119.4040003817986
24,0,3,1.5,0,0.59266845404668878,2.6494417171109701,2.789223616809279,102.5239514923728,102.59781281929828,1798.3200311506293
25,0,3,1.5,0,0.59240968575520814,2.446067168378927,2.3415240839554605,99.287075150608885,99.346566225644651,1518.2143980005224
26,0,3,1.5,0,0.58635216171087412,2.2172421512309266,2.0983501531868822,97.366593992132039,97.416203326801849,1515.9451064227862
27,0,3,1.5,0,0.56185162002002587,2.1716475315985782,2.1813185392621728,92.724531141219074,92.777306256287986,1546.0275313944396
28,0,3,1.5,0,0.51858089988236267,2.2849110079423678,2.4067357502124489,84.264032986365848,84.330951474311249,1130.0321690786952
29,0,3,1.5,0,0.47085908681104754,2.3872166650665805,2.6106826671452299,75.499301850259513,75.583601102029633,861.52428972213556
30,0,3,1.5,0,0.42183877703196521,2.4529240499054419,2.7493771204813719,66.297199092567567,66.400846880281435,857.36147394664238
31,0,3,1.5,0,0.37815622302277102,2.4900985510888165,2.7837112550257723,58.782136103493762,58.901885930453595,747.52787824152085
32,0,3,1.5,0,0.34768438240939731,2.3725173064727088,2.6822058793463777,56.090221298401836,56.205487956979567,838.47066171621771
33,0,3,1.5,0,0.32854096270543987,2.1386414770026598,2.5169669880562791,56.5640484309831,56.66134859190079,904.25676915470581
34,0,3,1.5,0,0.31615024833299349,1.9308676817066435,2.3230428414265099,57.643522939695281,57.723482794492391,884.05566706995012
35,0,3,1.5,0,0.30661200072661493,1.8072218405339393,2.0999950925643347,58.179768288184448,58.246506154064896,809.43622077688781
36,0,3,1.5,0,0.29746224233186236,1.7216731103049141,1.8834724385848873,57.618230480413473,57.675476540773523,684.39576027825467
37,0,3,1.5,0,0.28489413562522131,1.6769771229366037,1.7333235249559849,55.2662007922806,55.319533416273579,697.01236476411077
38,0,3,1.5,0,0.27061501904605084,1.6531206620759542,1.6332349695118413,51.703851304292591,51.756755467996165,705.69625864567695
39,0,3,1.5,0,0.2574067570038242,1.6069250748938277,1.5317564957754672,48.281964650008241,48.333661715846333,667.17241548937216
40,0,3,1.5,0,0.24517830908682267,1.5526929988192697,1.4270446210681904,45.264715611223494,45.314477859369497,641.94975480526807
41,0,3,1.5,0,0.23453956940720039,1.5037065522640087,1.3124873313364134,42.723658432595869,42.770898459875468,602.60206926960279
42,0,3,1.5,0,0.22887095359503476,1.3934129514528859,1.1919816860266974,42.149523270301479,42.190012014932933,497.56419001815004
