step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,80,1.0198,0,3.5385138249302557e-05,0.0047842827943475174,7.1869773406357918e-05,0.0039915175582218385,0.0062312110898461249,0.088997516354816023
2,0,80,1.0396000000000001,0,3.1535276561346709e-05,0.0022879089903051686,9.3349883316456509e-05,0.0035500204961846312,0.0042245569880915547,0.046233050960288832
3,0,80,1.0593999999999999,0,2.636850080189035e-05,0.002205580111487076,8.9173734730871218e-05,0.0029990301376544731,0.0037238975076588163,0.043997775598838898
4,0,80,1.0791999999999999,0,2.1927820116900699e-05,0.0019654314482045166,8.3435083993448593e-05,0.0025250878151091781,0.003201004763217359,0.038099441785444457
5,0,80,1.099,0,1.9199956406123799e-05,0.0018169526169521922,9.5322992342631021e-05,0.0022146561284955095,0.0028662647628799557,0.038044267270459488
6,0,80,1.1188,0,1.8255378859852592e-05,0.001574602045039439,0.00011888564094680745,0.002071759989380262,0.0026050005966064458,0.038012183003024613
7,0,80,1.1386000000000001,0,1.8712413704607006e-05,0.0014509042155989253,0.00015792151095497364,0.0020753050826207557,0.0025371841846510137,0.031938677260957622
8,0,80,1.1584000000000001,0,1.8987159721369163e-05,0.0011886311103758559,0.00020966504944534015,0.0020764329699527167,0.0024018196727592189,0.02383932721516822
9,0,80,1.1781999999999999,0,2.0953986242676614e-05,0.00097917915496114043,0.00025701278372148364,0.0023250016141264508,0.0025359256621077715,0.027849116601482513
10,0,80,1.198,0,2.6699720093269504e-05,0.00081865242999756783,0.00027568867068811806,0.0030053961852584176,0.0031271896568173816,0.034092007567702608
11,0,80,1.2178,0,3.4326608519892221e-05,0.00067674311084481677,0.00027251298257182982,0.0038726687112611994,0.0039409371762285268,0.030882499490090115
12,0,80,1.2376,0,4.2621917954966364e-05,0.00056588078671446272,0.00031827175412728581,0.0048154156820158552,0.0048591730564718745,0.040538412063698584
13,0,80,1.2574000000000001,0,5.1141863494616973e-05,0.00055086416424261634,0.00038119022284838704,0.0057281254872714443,0.0057673906059475758,0.054272198271086591
14,0,80,1.2771999999999999,0,5.8258065683872489e-05,0.0005589351915701072,0.00034910471674014161,0.0064659899590804957,0.0064997463646493739,0.042968888361185134
15,0,80,1.2969999999999999,0,6.3584608807778042e-05,0.00065941676436745943,0.00030802129071071636,0.0071048701249269968,0.0071423336577912232,0.057951458389826099
16,0,80,1.3168,0,6.4000091492277523e-05,0.0007647224695415091,0.00043387064014048082,0.0071883654958834128,0.0072422191835041679,0.064078235832635791
17,0,80,1.3366,0,5.8128763177998075e-05,0.00079383184545387645,0.00045298979293016965,0.0064703301973052033,0.0065348236829025326,0.044552102427056296
18,0,80,1.3564000000000001,0,4.9992846286339609e-05,0.00077410074701347962,0.0003503452931919358,0.0055835219214041363,0.005648025329481882,0.036968818382356904
19,0,80,1.3762000000000001,0,3.9371964284180547e-05,0.00070736101996686583,0.00034128922769965746,0.004453937514072452,0.0045228251657947029,0.038527232784493951
20,0,80,1.3959999999999999,0,3.0892948402743704e-05,0.00060537830451700574,0.00032216487316059222,0.0034564732919586207,0.0035239800069470804,0.030671407971847829
21,0,80,1.4157999999999999,0,2.7294666163171866e-05,0.00052102946868006221,0.00027209548707146397,0.0029911568521012689,0.003048486833494778,0.025170366919451605
22,0,80,1.4356,0,2.3176795003921936e-05,0.00050401656920485689,0.00024576904124903534,0.0025142720591038977,0.0025761475646178954,0.028259582851814884
23,0,80,1.4554,0,2.1201980362362382e-05,0.000377866049904755,0.00020297072633939132,0.0023052892676201889,0.002344949466150065,0.023945901118292881
24,0,80,1.4752000000000001,0,2.1777767798009384e-05,0.0003495484119699269,0.00018419897590193533,0.0023547039675179677,0.0023877224296071646,0.02091936761098542
