step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,50,1.0329999999999999,0,3.965552844032653e-05,3.1755414302704919e-05,4.4328184211305999e-05,0.00017830396044599253,0.00019062596229164466,0.002838045097034603
2,0,50,1.0660000000000001,0,3.870297585536621e-05,3.5282781823659305e-05,4.3877122634631549e-05,0.00017624598250400267,0.00018902550958210037,0.0030268831037636454
3,0,50,1.099,0,4.2370026285894342e-05,3.7257660597739216e-05,4.8730700229971435e-05,0.00019059629830789723,0.00020465820891002635,0.0032483180855605925
4,0,50,1.1319999999999999,0,4.4535927471078792e-05,4.1850663107189547e-05,5.1836738729813516e-05,0.00020061043607060488,0.00021602435367523235,0.0026345831397146585
5,0,50,1.165,0,4.9023376560929392e-05,4.7410821747660391e-05,5.7490424954288155e-05,0.00021978362808305102,0.00023719416013678885,0.0027519431306789505
6,0,50,1.198,0,5.6648355206747639e-05,5.6848810578199548e-05,6.5334369054781549e-05,0.00025413424794263316,0.00027439682791340726,0.0030679885825029432
7,0,50,1.2310000000000001,0,6.5792429121137329e-05,7.001673882173742e-05,7.4008207683256145e-05,0.00029260170529005701,0.000316739577868047,0.0036652034775802771
8,0,50,1.264,0,7.7671981642415502e-05,8.6376102684179438e-05,8.4133966809521942e-05,0.00033914035601870029,0.00036822340134592773,0.0050649144006899745
9,0,50,1.2969999999999999,0,9.3023900157942482e-05,0.00010109666075292154,9.1158898573631827e-05,0.00039650531555081921,0.00042941866618161648,0.006893134118337578
10,0,50,1.3300000000000001,0,0.00011000564460290423,0.00010970227179081797,9.1756177110155284e-05,0.00045578654734259444,0.00049020037031495631,0.0085492643567857494
11,0,50,1.363,0,0.00012286179395847084,0.00012004458145611415,9.6385683464142994e-05,0.00050109329457633715,0.0005384147210077796,0.0097944849442365284
12,0,50,1.3959999999999999,0,0.00013911144070783118,0.00013551354339202083,0.0001109026322952891,0.00056572396881396543,0.0006083246798537095,0.01166928055864319
13,0,50,1.429,0,0.00015552842657582972,0.00014667585650636017,0.00012174122513852565,0.00062766117287648088,0.00067415307771301943,0.011081449043235488
14,0,50,1.462,0,0.00016787226482935038,0.00015445810876268539,0.00013256432291188996,0.00066940953704399482,0.00071952820143203857,0.013461329955340304
15,0,50,1.4950000000000001,0,0.00018207272225272649,0.00017015530113469551,0.00014218233507025708,0.00072289534245928379,0.00077775111394848772,0.013207150146463184
16,0,50,1.528,0,0.00019472301467412514,0.00017189036132022489,0.00014612637544461288,0.00075583269007568454,0.00081246496647314147,0.017916207794558853
17,0,50,1.5609999999999999,0,0.0002043889779595749,0.0001654822723258536,0.00014935789952089505,0.00078242426556798372,0.00083884131411392704,0.014863784215234285
18,0,50,1.5940000000000001,0,0.00021410561134221768,0.00016774386620155374,0.00014900438997441864,0.00081643713023336287,0.00087335623505635279,0.017645643443782964
19,0,50,1.627,0,0.00021916459651734069,0.00016781539965564073,0.00014867229493603225,0.00082950847714318451,0.00088678232597528845,0.020345114803888991
20,0,50,1.6600000000000001,0,0.00022753429079167581,0.00016900427140622711,0.00015283019326670577,0.00085930549224479862,0.0009176585934952252,0.021525808571928581
21,0,50,1.6930000000000001,0,0.00023603317180111725,0.00017661219986039869,0.0001545264274652827,0.0008934677797731008,0.00095344985059932891,0.019854970593090469
22,0,50,1.726,0,0.00024920041542401202,0.00017888269663266965,0.00015705789396281396,0.00093963441463926992,0.001000839588262072,0.026414736229812351
23,0,50,1.7589999999999999,0,0.0002548414024535624,0.00018992262545098192,0.00016523008537137757,0.00096092828081648009,0.0010255237130595476,0.022242425336995195
