step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0,0.00011038986326639133,0.91245399575933384,-8.1698856541301268e-05,0.91245399575933384,0,0.00011038986326639133,0
2,0,-0.0066812237116309348,0.88079146405538111,0.010140966244057026,0.88079146405538111,0,-0.0066812237116309348,0
3,0,0.0014417553180550158,0.81398942905986527,0.025594140945234045,0.81398942905986527,0,0.0014417553180550158,0
4,0,-0.35019284880713286,0.68447688951503416,0.0050421213922184904,0.68447688951503416,0,-0.35019284880713286,0
5,0,-0.66839826779268918,0.53561268475187829,-0.030807625950432183,0.53561268475187829,0,-0.66839826779268918,0
6,0,0.39513296296615863,0.43045123702084087,0.11866269421116993,0.43045123702084087,0,0.39513296296615863,0
7,0,0.38581860993181039,0.19483659500818229,0.12723273679476321,0.19483659500818229,0,0.38581860993181039,0
8,0,-0.12055267736062802,-0.032933496083889846,0.33202894792665916,-0.032933496083889846,0,-0.12055267736062802,0
9,0,31.966062859601493,-0.89513750715282558,4.9504463131716205,-0.89513750715282558,0,31.966062859601493,0
10,0,173.07883026833377,6.3675298695135769,1.1632537761583635,6.3675298695135769,0,173.07883026833377,0
11,0,105.58603528716225,5.3348693550061315,2.3520381505360275,5.3348693550061315,0,105.58603528716225,0
12,0,-705.81570131504805,-38.636494064295249,-198.64350236418707,-38.636494064295249,0,-705.81570131504805,0
13,0,-390.29034875592879,15.580701913231389,-93.173243416316311,15.580701913231389,0,-390.29034875592879,0
14,0,-123.11102361650168,30.67662327349445,-22.171163922811722,30.67662327349445,0,-123.11102361650168,0
15,0,-58.293592243046959,38.044482848741708,-3.6330277869272445,38.044482848741708,0,-58.293592243046959,0
16,0,405.08629331415534,44.936358664319116,6.4055704438789061,44.936358664319116,0,405.08629331415534,0
17,0,20869.253590346307,-284.5772747579835,1391.0189767837021,-284.5772747579835,0,20869.253590346307,0
18,0,312661.10997674585,-28259.970997567354,141837.10913420143,-28259.970997567354,0,312661.10997674585,0
19,0,2853580.1771942377,-346691.11579133832,1294067.9151510505,-346691.11579133832,0,2853580.1771942377,0
20,0,3432610.9241365604,-352657.73277052201,533811.00230085012,-352657.73277052201,0,3432610.9241365604,0
21,0,-27490057.300836217,-2575244.3607566515,-9761282.0024343412,-2575244.3607566515,0,-27490057.300836217,0
22,0,-27636084.447671678,-2587446.9744838262,-9866767.9433272295,-2587446.9744838262,0,-27636084.447671678,0
23,0,-45413956.978532247,-3082033.9006713647,-14945597.95846447,-3082033.9006713647,0,-45413956.978532247,0
24,0,-30458958.453413967,-944823.71430197614,-7566171.6118331347,-944823.71430197614,0,-30458958.453413967,0
25,0,-72263435.050681502,-1369961.5922239742,-16736067.169077313,-1369961.5922239742,0,-72263435.050681502,0
26,0,-66997283.591825143,-1615415.2871938769,-19199904.203711871,-1615415.2871938769,0,-66997283.591825143,0
27,0,-91413207.776437044,2255038.906976047,-29176734.998352226,2255038.906976047,0,-91413207.776437044,0
28,0,-94794243.762367904,5334577.5188790299,-28396771.031898171,5334577.5188790299,0,-94794243.762367904,0
29,0,-95189222.768198416,7787012.5511453981,-28138876.755889468,7787012.5511453981,0,-95189222.768198416,0
30,0,-95250620.87242493,7804959.1187970173,-28125109.279766779,7804959.1187970173,0,-95250620.87242493,0
31,0,-95214378.51827389,7813005.0707227308,-28121052.450095251,7813005.0707227308,0,-95214378.51827389,0
32,0,-95178589.458233833,7821990.3814316699,-28117730.591469865,7821990.3814316699,0,-95178589.458233833,0
33,0,-95198868.517363787,7817503.5248844875,-28117345.87469219,7817503.5248844875,0,-95198868.517363787,0
34,0,-95206160.609017789,7821215.5837622974,-28119300.323483746,7821215.5837622974,0,-95206160.609017789,0
35,0,-95206205.744452149,7820960.0605426319,-28119308.274576228,7820960.0605426319,0,-95206205.744452149,0
36,0,-95197534.669589415,7811651.0729129631,-28116305.886859775,7811651.0729129631,0,-95197534.669589415,0
37,0,-95160104.816342965,7797863.5276023755,-28100709.117455743,7797863.5276023755,0,-95160104.816342965,0
38,0,-95231923.661273032,7772181.1202735305,-28127917.222165056,7772181.1202735305,0,-95231923.661273032,0
39,0,-95269284.773639515,7765925.8582240818,-28134682.89799894,7765925.8582240818,0,-95269284.773639515,0
40,0,-95175306.412840158,7775144.5801863167,-28156900.307535656,7775144.5801863167,0,-95175306.412840158,0
41,0,-98320881.361910671,8060191.0547580514,-27294274.469258837,8060191.0547580514,0,-98320881.361910671,0
42,0,-93163561.8924281,4700218.9985225294,-28634626.125723314,4700218.9985225294,0,-93163561.8924281,0
43,0,-93422348.727812275,3149622.8441859214,-29606107.701021548,3149622.8441859214,0,-93422348.727812275,0
44,0,-94010783.985763714,3071636.4475876396,-30001487.273839172,3071636.4475876396,0,-94010783.985763714,0
45,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
46,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
47,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
48,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
49,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
50,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
51,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
52,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
53,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
54,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
55,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
56,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
57,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
58,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
59,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
60,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
61,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
62,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
63,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
64,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
65,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
66,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
67,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
68,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
69,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
70,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
71,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
72,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
73,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
74,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
75,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
76,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
77,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
78,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
79,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
80,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
81,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
82,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
83,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
84,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
85,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
86,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
87,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
88,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
89,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
90,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
91,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
92,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
93,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
94,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
95,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
96,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
97,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
98,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
99,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
100,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
101,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
102,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
103,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
104,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
105,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
106,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
107,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
108,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
109,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
110,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
111,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
112,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
113,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
114,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
115,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
116,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
117,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
118,0,-94010783.992413774,3071636.4510493623,-30001487.272560488,3071636.4510493623,0,-94010783.992413774,0
