step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,50,1.0495000000000001,0,2.6490849264984064e-05,8.4483172126414966e-05,0.00016180434673086585,0.0029560340949328474,0.0029617828057596969,0.01887178741514724
2,0,50,1.099,0,0.0001659683018461442,0.0011530696612642168,0.0012116210061543877,0.018219051994621833,0.018296420310165429,0.55268089619423344
3,0,50,1.1485000000000001,0,0.00050290927852102694,0.0031371347082606122,0.0030551008403711714,0.054889016944586269,0.055065709422544545,0.92346330986884384
4,0,50,1.198,0,0.0010723564302695678,0.007516817939196581,0.0071628398793047157,0.11763750501509355,0.11809970940505013,2.1528473038618356
5,0,50,1.2475000000000001,0,0.0018525801067191872,0.011799650814560149,0.010797063845114554,0.20646956656095194,0.20709640826421932,3.6881965480324626
6,0,50,1.2969999999999999,0,0.077368439704411693,0.5061752524170624,0.66021659252425491,12.992071900991146,13.018909996278099,545.65671293724813
7,0,50,1.3465,0,0.30015092693581291,3.08998383693209,6.6448086494065111,209.94260920206784,210.07068032272102,6769.1727986847327
8,0,50,1.3959999999999999,0,1.032789518303425,8.2624687422866874,15.138909610784122,417.42597751298791,417.78339882142683,18857.710664445793
9,0,50,1.4455,0,0.82420709910788981,6.9692965360724157,10.387060830723133,283.95990579060526,284.23646764773252,6076.421827301453
10,0,50,1.4950000000000001,0,82.061316220873294,4905.8785704940919,2086.7112940286352,1218395.5414624279,1218407.2078735237,119198317.26238997
11,0,50,1.5445,0,82.804344087856805,4907.3273542266988,1372.7575877582769,1319707.1352400691,1319716.9757130754,119198317.26238997
12,0,50,1.5940000000000001,0,83.514259701320725,4906.7932490500407,1006.0445553442663,1471320.1406286964,1471328.6689043732,141296211.34176806
13,0,50,1.6435,0,83.523293025477997,4906.6777025539386,1016.2928703025976,1470852.9003203767,1470861.4379656161,141194708.18870661
14,0,50,1.6930000000000001,0,1635.7750565814008,1058613.1160044477,1112281.7473776394,718736499.01261926,718738139.27466488,103697335909.52107
15,0,50,1.7424999999999999,0,154.04678654760636,87231.94570130069,112358.9953612942,570571227.05184853,570571244.78318393,62745775890.016747
16,0,50,1.792,0,1166.9724880855726,166130.47400293013,186232.07355822605,1067873429.8684494,1067873459.0306512,112006399387.04112
17,0,50,1.8415000000000001,0,322.66051397979231,52964.019519578062,80427.111392778213,1529304741.7777998,1529304744.809835,166161929258.78125
18,0,50,1.891,0,193.23700591896693,51802.313514923691,43472.796089482566,809859121.42079043,809859124.24436855,87780919751.624207
19,0,50,1.9404999999999999,0,297.49269194368998,79493.258678597165,130228.20552498028,899649134.65839732,899649147.59602547,113471255829.19626
