step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,80,1.0329999999999999,0,0.00072024419548418633,0.015893576085598354,0.001796322716663307,0.18012385093241995,0.18083404812843423,1.5388786242913577
2,0,80,1.0660000000000001,0,0.00055071487115095378,0.0071429493200879986,0.0028312774331198452,0.13764614116706256,0.13786152952127312,1.0573373574330505
3,0,80,1.099,0,0.00038593946191315217,0.0076533248703135656,0.0034629188804152864,0.096648254693512362,0.097013397390840778,0.57259706900924356
4,0,80,1.1319999999999999,0,0.00028315977371180237,0.0062108688363795,0.0042569771394530007,0.070594979997774449,0.07099597260698777,0.55579662828567655
5,0,80,1.165,0,0.00029110276534245711,0.0060029453779760246,0.0047610787964127736,0.072148179846632729,0.072554447282841772,0.35913661926791113
6,0,80,1.198,0,0.00043617922283653614,0.0062655187274525091,0.0052955345680961328,0.10856914900226664,0.10887951955568487,0.68845069052629515
7,0,80,1.2310000000000001,0,0.00062758539073456856,0.0067842486566350342,0.0061783102051072734,0.15697625761149084,0.15724546691067881,0.93129541505373503
8,0,80,1.264,0,0.00076678103788330718,0.0060974420203459834,0.0055797086680650738,0.19215281967985259,0.19233202024647367,1.2115702911015445
9,0,80,1.2969999999999999,0,0.00080218436052973535,0.0055469624808455638,0.0048370023728643192,0.20034823158160894,0.20048496896861193,1.4742186023153077
10,0,80,1.3300000000000001,0,0.0007352725615251078,0.0082978501204589283,0.0075393175581666824,0.18238620591360435,0.18273194673938081,2.0002005341098905
11,0,80,1.363,0,0.00057646602556509169,0.0077763169317707466,0.0072080405309693282,0.14325029599797043,0.14364333110139227,1.6224237411146001
12,0,80,1.3959999999999999,0,0.00044175351733536348,0.005619490460449292,0.0057991426107427751,0.11019335963265761,0.11048972975510939,1.629092295601563
13,0,80,1.429,0,0.00032709311599895581,0.0053685132155268413,0.0053296854588984607,0.082027697827373222,0.082376432806971336,0.92314235117846555
14,0,80,1.462,0,0.00041143204256626354,0.0055614427211313454,0.0047557628864916554,0.1030442186351984,0.10330453618422174,1.4319602000358218
15,0,80,1.4950000000000001,0,0.00057575092242249937,0.0047476561466714513,0.0032923596306736985,0.14459142488525681,0.14470795247773444,1.1363641138252936
16,0,80,1.528,0,0.00063452782653503743,0.0056128435766350706,0.0043601669902699168,0.15964295133339429,0.1598023454308414,1.2392060955049506
17,0,80,1.5609999999999999,0,0.00061077080962505684,0.0063462565607686023,0.0044143406399923379,0.15223375825143898,0.15243113713398732,1.6052070936644294
18,0,80,1.5940000000000001,0,0.00049852137598622873,0.0062934525349017424,0.0041824363620463993,0.12373584860131692,0.12396737099487902,1.111556459340487
19,0,80,1.627,0,0.00032451785646948862,0.0052913641376419115,0.0037174415401302003,0.08062100642018967,0.080880590342089123,0.76957602107270151
20,0,80,1.6600000000000001,0,0.00022620921972260128,0.0048832923719169218,0.0040588860344393423,0.055705406228794191,0.056066608190225478,0.71650203484285857
21,0,80,1.6930000000000001,0,0.00033985779866717081,0.00453954295895525,0.0042223790515917084,0.08439598492014444,0.084624072869935091,0.6279587454784491
22,0,80,1.726,0,0.00044968104135423786,0.00485891761659834,0.0045921919608678877,0.11234863692269928,0.11254828181201973,0.75643390412565614
23,0,80,1.7589999999999999,0,0.00050844057372550155,0.0047303282303708264,0.0045069631990441701,0.12754320967885879,0.12771146216940329,0.83141665362559325
24,0,80,1.792,0,0.00049986618121198548,0.0044385473607396033,0.0039196003777287169,0.12516643844585321,0.12530742655251242,0.828455564122066
25,0,80,1.825,0,0.00042987986582084892,0.0040949192018588289,0.0040701702109305999,0.10693565390992149,0.10709226639985375,0.82344944978426982
26,0,80,1.8579999999999999,0,0.00033326441944457543,0.004346105614215761,0.0042650272979016003,0.082646477550527897,0.082871167534583123,0.73655570501170509
27,0,80,1.891,0,0.0002687543389231916,0.0038542882679103389,0.0039876156685240338,0.06709931711451389,0.067328650683797286,0.50824639268146721
28,0,80,1.9240000000000002,0,0.00032711537412147111,0.004218319604643095,0.0045221949365708905,0.081499140652076044,0.081734089576052202,0.93407612547558583
29,0,80,1.9570000000000001,0,0.00042767807647994485,0.005149423171792478,0.0051583160157937227,0.10603929425185799,0.10629035524021081,1.4329945463425817
