step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,50,1.0329999999999999,0,3.9667850798620125e-05,3.1767795003809938e-05,4.4340648181306879e-05,0.00017834056054554393,0.000190667720926283,0.0028379394588469603
2,0,50,1.0660000000000001,0,3.8706329597301564e-05,3.5302636158364419e-05,4.3877782595306383e-05,0.00017626526694631571,0.00018904803677309559,0.0030253047299400688
3,0,50,1.099,0,4.2416110113126843e-05,3.7288381412072823e-05,4.8791402731836494e-05,0.00019079570455912651,0.00020487350156673473,0.0032474398735198263
4,0,50,1.1319999999999999,0,4.4525958414217257e-05,4.1888435225214845e-05,5.1812044345957487e-05,0.0002005557344418713,0.00021597289768660209,0.0026551783342349828
5,0,50,1.165,0,4.9073785299451514e-05,4.7505663702369166e-05,5.7529241574385527e-05,0.00022008766151317445,0.00023751466665004273,0.0027628191588730728
6,0,50,1.198,0,5.6662005327906485e-05,5.7070135939450276e-05,6.5336446586170888e-05,0.00025438738371486665,0.00027468049714118653,0.0030811885206522031
7,0,50,1.2310000000000001,0,6.5956811588369267e-05,7.0815272201041037e-05,7.4331177113988721e-05,0.00029391893660750233,0.00031824294015649009,0.0036605824735145404
8,0,50,1.264,0,7.7931328812661299e-05,8.6469698016274218e-05,8.458238228303182e-05,0.00034018596864524611,0.00036936563638393608,0.0051144960994539326
9,0,50,1.2969999999999999,0,9.2871205415865238e-05,0.0001013710998832645,9.1163136363695314e-05,0.00039632101640234822,0.00042928105730487883,0.0069131249848260355
10,0,50,1.3300000000000001,0,0.0001098743369510107,0.00010984614037936612,9.1392884469534445e-05,0.00045545668432807194,0.00048982853643642511,0.0084979041789284785
11,0,50,1.363,0,0.0001225648307018674,0.00011974515193329667,9.6110705953853128e-05,0.00050015658758868645,0.00053735920857822203,0.010064771107085528
12,0,50,1.3959999999999999,0,0.00013879369265818123,0.00013564418169007743,0.00011038665667187097,0.00056544992558427165,0.00060793245139778172,0.012338489387704925
13,0,50,1.429,0,0.00015355712901262745,0.00014552056116881398,0.00012106680431539441,0.00061920239694229621,0.00066545082844618529,0.010207816002024127
14,0,50,1.462,0,0.0001661981515033006,0.00015368494545781148,0.00013088803051292957,0.00066340983506727011,0.00071308146366247719,0.012362062875746279
15,0,50,1.4950000000000001,0,0.00017855092839181579,0.00016903342599918628,0.00014132317194262111,0.0007094447368808178,0.00076402670552174943,0.011094378814649485
16,0,50,1.528,0,0.00019260712584353947,0.00017151192376467977,0.00014529697017598854,0.00074960208392724236,0.00080593320981924856,0.013121966570469873
17,0,50,1.5609999999999999,0,0.00020173693315109456,0.00016541296212428479,0.00014803102014316111,0.00077487560843129716,0.0008309059090548924,0.013665509612140563
18,0,50,1.5940000000000001,0,0.00020837085564923109,0.00016528526020555037,0.00014790138269998746,0.00079585571015411622,0.00085205560916802256,0.016823154006648629
19,0,50,1.627,0,0.00021256225859759247,0.00016396420405203772,0.0001465255713127212,0.00080629839254299724,0.00086235364836966324,0.017450771739353572
20,0,50,1.6600000000000001,0,0.00022130463644497105,0.00016358661617196416,0.00015135348157862703,0.00083252789620275264,0.00088980160566521087,0.021253218491185579
21,0,50,1.6930000000000001,0,0.00023136522566262428,0.00017278767081367404,0.0001554514749632169,0.00087584576093841415,0.00093523066932878175,0.020261784124679674
22,0,50,1.726,0,0.00024339283471668592,0.0001772066602556707,0.00015685151557569033,0.00091853151647487284,0.00097925727831168715,0.025374917427902828
23,0,50,1.7589999999999999,0,0.00025075400479225693,0.00018728084651671595,0.00016405912676797042,0.00094730903907810709,0.0010110694827687803,0.021946838476334503
24,0,50,1.792,0,0.00026904296158465027,0.00019499275458102346,0.00016833560990786367,0.0010175521608764718,0.0010835845916146855,0.025322892365405594
25,0,50,1.825,0,0.00028535591833080327,0.00021025340826595244,0.00017783912188646162,0.0010830432006825681,0.0011533619655736678,0.027113587881126812
26,0,50,1.8579999999999999,0,0.00030050030235176118,0.00021309504798989299,0.00019185397428721706,0.0011314510541683806,0.0012052797876924075,0.021917372936708871
27,0,50,1.891,0,0.00031714971307154682,0.00022402940179207527,0.00020024895516046544,0.0011947471567625839,0.0012721216632082862,0.026954026736545466
28,0,50,1.9240000000000002,0,0.00032213570214863533,0.00024086511832281752,0.00020832537572316095,0.0012106425116680591,0.0012926106022509646,0.023351450813367248
29,0,50,1.9570000000000001,0,0.00033702732098782128,0.00024864510350562874,0.00021601189970604236,0.0012635920702386864,0.0013486058962403566,0.030797399775251935
30,0,50,1.99,0,0.00035450744477690953,0.00026215201185556924,0.0002305951966727665,0.001325505969593303,0.0014158175821334508,0.027283686476925268
31,0,50,2.0230000000000001,0,0.00037438626972888527,0.00028244736307605058,0.00024016197913495106,0.0014026452708131253,0.0014983434599004882,0.029542980372985056
32,0,50,2.056,0,0.00038861895613069331,0.00029593615017039728,0.00024554991304888744,0.0014509642894252285,0.0015505466865036214,0.029174176086884926
33,0,50,2.089,0,0.0003943173027870001,0.00028601095407552562,0.0002765713555693933,0.0014488498392625083,0.0015533660137201713,0.02671860452643323
34,0,50,2.1219999999999999,0,0.00041247128836034659,0.00028718452338228923,0.00027798687286037299,0.0015094930251479857,0.0016150707132026956,0.034081917099141407
35,0,50,2.1550000000000002,0,0.00043008622541100859,0.00032038181170493689,0.00029930613040489906,0.0015959617432185025,0.0017100575171831568,0.037978333003040106
36,0,50,2.1880000000000002,0,0.00044702732674400323,0.00032924973043373503,0.00032107071140309264,0.0016595854179432459,0.0017791989706093367,0.03455726893819034
37,0,50,2.2210000000000001,0,0.00047182842665112267,0.00033458116969907166,0.00031492895949091604,0.00175038389298333,0.0018701846554965585,0.044712043403437554
38,0,50,2.254,0,0.00049178475382496457,0.00036023497347114551,0.0003319705293526823,0.0018345116459520406,0.0019614430635883375,0.049290045431064869
39,0,50,2.2869999999999999,0,0.00050506998217783778,0.00038405568527917982,0.00034130601545787477,0.0018856162031232364,0.0020185719501570917,0.042992833138822829
40,0,50,2.3200000000000003,0,0.00053182638044674952,0.00040035165358390788,0.00033999804742252098,0.0019875507480224181,0.0021234588278754218,0.050684952106107357
41,0,50,2.3530000000000002,0,0.00055679097848449009,0.00040308204386980674,0.00036649420195240226,0.0020771118688699421,0.0022183784716943789,0.048959872535551167
42,0,50,2.3860000000000001,0,0.00056470717982170864,0.0003936246996430106,0.00038397646455378602,0.0020855950205004806,0.0022295692673650809,0.045943105885412519
43,0,50,2.419,0,0.00058228053088423091,0.00038795852760667877,0.00037001268313354102,0.0021335928061556463,0.0022756735451176587,0.051924923788626495
44,0,50,2.452,0,0.00061107888836058435,0.0004003488715770361,0.00036327715204775515,0.0022361283823107122,0.002380322889472868,0.067542561539580923
45,0,50,2.4849999999999999,0,0.00063458209159126481,0.00041730924250971368,0.0003802555810585688,0.0023185624611942097,0.002469244343566978,0.05753719289378708
46,0,50,2.5179999999999998,0,0.00064576251957848476,0.00042986500365508375,0.00041725396436067717,0.002348860260600313,0.0025085929418025977,0.061610060492920768
47,0,50,2.5509999999999997,0,0.0006531472692657942,0.00043601549236039919,0.00043793914029484728,0.0023600595511729236,0.0025255460084133052,0.052831802246747932
48,0,50,2.5840000000000001,0,0.00067766485683436347,0.00044547302832505492,0.00043262810997230107,0.0024441190577446817,0.0026112374321616925,0.050808656581724496
49,0,50,2.617,0,0.00071283061623005528,0.00046162304218425986,0.00043649595864580343,0.0025733622605050455,0.0027448033383497858,0.055379311715645758
50,0,50,2.6499999999999999,0,0.00074108329941319911,0.00046553565458534209,0.00045780066419552151,0.0026638044559686635,0.0028410145248019634,0.056528959247779523
51,0,50,2.6830000000000003,0,0.00076505394182461517,0.00046622121094552316,0.00047558055812040837,0.0027384684124437658,0.0029202835247029166,0.054705302643548497
52,0,50,2.7159999999999997,0,0.00079236512634029842,0.00048261279420297904,0.00048320444860494675,0.0028403535566957966,0.0030268552110655636,0.049641868748766839
53,0,50,2.7490000000000001,0,0.00081813765076824011,0.00050088531351418874,0.0004905383271242887,0.002937725604766345,0.0031290725290693509,0.05063688086048513
54,0,50,2.782,0,0.00083577237972484611,0.00051016874701955458,0.00049593635709765558,0.0029964447771386052,0.0031911474102396076,0.051167650762671955
55,0,50,2.8149999999999999,0,0.00084869366247561817,0.00051728066317460893,0.00050047896573226906,0.0030389975612781332,0.0032363321198257025,0.042777007840611427
56,0,50,2.8480000000000003,0,0.0008580853923646981,0.00052277396569879472,0.00051365676508643315,0.0030716063292842619,0.0032723404276175671,0.045811757819786122
57,0,50,2.8809999999999998,0,0.00086808375949023781,0.00052331508380750033,0.000526291455783842,0.003101924135375341,0.0033055020993014491,0.05127191338827887
58,0,50,2.9140000000000001,0,0.00089014885582830178,0.00052932417172093192,0.00054146058202723469,0.0031806304456635853,0.0033885304570081547,0.04543244883678197
59,0,50,2.9470000000000001,0,0.00091571606617331153,0.00055129733959729328,0.00058140775153325299,0.0032803101114892048,0.0034987046276552486,0.051368092757586706
60,0,50,2.98,0,0.00093177486763063695,0.00057735107746123484,0.00062135173949774789,0.0033412125373140401,0.0035708987488131255,0.05443209318985251
61,0,50,3.0129999999999999,0,0.00096045904934973251,0.00060519034331332961,0.00062101293776874557,0.0034568551149710093,0.0036911029912337716,0.066591207883859527
62,0,50,3.0459999999999998,0,0.0010183489262421508,0.00065334888148749085,0.00061345008744019742,0.0037082051294014293,0.0039485447430691418,0.074040495481676974
63,0,50,3.0790000000000002,0,0.0010692418082960476,0.00070307950676394971,0.00065095847981559869,0.003922046894917779,0.0041765772620433669,0.076357740629824505
64,0,50,3.1120000000000001,0,0.0010908117821771036,0.00070935906845520451,0.00070917751727299979,0.0039815757017616317,0.0042484042241764317,0.082836014348578207
65,0,50,3.145,0,0.001117594461500004,0.00070081498423813762,0.00073305535610426308,0.0040598658861527156,0.0043312862051783085,0.092586542743117145
