step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,4.875734692e-07,1,0,0
2,3,5.624882253e-07,1,3.397744146e-07,0.1591928323
3,3,6.948808261e-07,1,3.465633064e-07,0.1595598097
4,3,7.953771508e-07,1,3.52367955e-07,0.159927633
5,3,8.679851709e-07,1,3.5610624e-07,0.1602963043
6,3,9.204772208e-07,1,3.586861333e-07,0.1606658255
7,3,9.495462315e-07,1,3.613295212e-07,0.1610361984
8,3,9.643012567e-07,1,3.638806383e-07,0.1614074252
9,3,9.807356212e-07,1,3.662285151e-07,0.1617795078
10,3,9.983682055e-07,1,3.682983394e-07,0.162152448
11,3,1.033158687e-06,1,3.697474925e-07,0.162526248
12,3,1.086668858e-06,1,3.700612171e-07,0.1629009097
13,3,1.157035597e-06,1,3.707088659e-07,0.1632764351
14,3,1.24083566e-06,1,3.716721576e-07,0.1636528262
15,3,1.323563584e-06,1,3.728158268e-07,0.1640300849
16,3,1.413776869e-06,1,3.740904785e-07,0.1644082133
17,3,1.515293045e-06,1,3.753298595e-07,0.1647872134
18,3,1.635935648e-06,1,3.764860972e-07,0.1651670871
19,3,1.780376675e-06,1,3.772234406e-07,0.1655478366
20,3,1.945910468e-06,1,3.779727866e-07,0.1659294638
21,3,2.136144964e-06,1,3.78816731e-07,0.1663119707
22,3,2.349715779e-06,1,3.797287354e-07,0.1666953594
23,3,2.595457857e-06,1,3.806741775e-07,0.1670796318
24,3,2.875911036e-06,1,3.816279714e-07,0.1674647902
25,3,3.200840818e-06,1,3.82487443e-07,0.1678508364
26,3,3.572802305e-06,1,3.833503366e-07,0.1682377725
27,3,4.00073593e-06,1,3.842396975e-07,0.1686256006
28,3,4.49028706e-06,1,3.851477662e-07,0.1690143228
29,3,5.051980449e-06,1,3.860625667e-07,0.1694039411
30,3,5.699337427e-06,1,3.869767803e-07,0.1697944575
31,3,6.443067982e-06,1,3.878866266e-07,0.1701858741
32,3,7.306242231e-06,1,3.887910683e-07,0.1705781931
33,3,8.302242593e-06,1,3.896917487e-07,0.1709714164
34,3,9.465888495e-06,1,3.905911971e-07,0.1713655462
35,3,1.082372063e-05,1,3.91490573e-07,0.1717605846
36,3,1.241510067e-05,1,3.923921015e-07,0.1721565337
37,3,1.429256494e-05,1,3.932969554e-07,0.1725533955
38,3,1.649163771e-05,1,3.94205683e-07,0.1729511721
39,3,1.908221275e-05,1,3.951183306e-07,0.1733498657
40,3,2.210432634e-05,1,3.960346252e-07,0.1737494785
41,3,2.560179546e-05,1,3.969541579e-07,0.1741500124
42,3,2.963184754e-05,1,3.978765272e-07,0.1745514696
43,3,3.417811089e-05,1,3.988014292e-07,0.1749538523
44,3,3.924929293e-05,1,3.997286941e-07,0.1753571626
45,3,4.483178113e-05,1,4.006582846e-07,0.1757614026
46,3,5.08072639e-05,1,4.015902679e-07,0.1761665745
47,3,5.709987075e-05,1,4.025247768e-07,0.1765726804
48,3,6.360084375e-05,1,4.034619698e-07,0.1769797224
49,3,7.005205167e-05,1,4.044019977e-07,0.1773877028
50,3,7.62777466e-05,1,4.053449823e-07,0.1777966237
51,3,8.208532078e-05,1,4.062910064e-07,0.1782064873
52,3,8.725473088e-05,1,4.072401165e-07,0.1786172956
53,3,9.171210789e-05,1,4.081923332e-07,0.179029051
54,3,9.550071115e-05,1,4.091476667e-07,0.1794417556
55,3,9.865509257e-05,1,4.101061311e-07,0.1798554116
56,3,0.000101272431,1,4.110677568e-07,0.1802700211
