x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.004911,0.000569,-0.139779,-0.990183,32.484266,1.476468,0.000000,1.013487,0.606352,-0.085596,0.091415,wall
1.004519,0.000624,-0.139714,-0.990192,31.975634,0.459204,0.000000,1.003159,0.667820,-0.094228,0.100961,wall
1.004133,0.000679,-0.139649,-0.990201,31.951786,0.411509,0.000000,1.003476,0.778246,-0.109757,0.117716,wall
1.003741,0.000734,-0.139583,-0.990210,31.934553,0.377043,0.000000,1.003742,0.854657,-0.120475,0.129325,wall
1.003332,0.000791,-0.139516,-0.990220,31.920092,0.348120,0.000000,1.003523,0.885303,-0.124734,0.133976,wall
1.002917,0.000850,-0.139443,-0.990230,31.914088,0.336113,0.000000,1.003313,0.894856,-0.126013,0.135419,wall
1.002508,0.000908,-0.139370,-0.990240,31.907499,0.322935,0.000000,1.003110,0.898998,-0.126529,0.136045,wall
1.002076,0.000968,-0.139299,-0.990250,31.902232,0.312400,0.000000,1.002974,0.901812,-0.126858,0.136471,wall
1.001621,0.001032,-0.139227,-0.990261,31.897362,0.302660,0.000000,1.002873,0.905322,-0.127285,0.137005,wall
1.001171,0.001096,-0.139144,-0.990272,31.893267,0.294470,0.000000,1.002801,0.909219,-0.127755,0.137597,wall
1.000710,0.001160,-0.139068,-0.990283,31.889512,0.286961,0.000000,1.002734,0.912915,-0.128203,0.138158,wall
1.000220,0.001229,-0.138989,-0.990294,31.886031,0.279999,0.000000,1.002669,0.916165,-0.128585,0.138651,wall
0.999716,0.001300,-0.138898,-0.990307,31.882849,0.273634,0.000000,1.002608,0.918835,-0.128873,0.139056,wall
0.999218,0.001370,-0.138808,-0.990319,31.879977,0.267890,0.000000,1.002552,0.921033,-0.129096,0.139390,wall
0.998684,0.001445,-0.138734,-0.990330,31.877085,0.262106,0.000000,1.002498,0.923103,-0.129316,0.139704,wall
0.998112,0.001525,-0.138598,-0.990349,31.874583,0.257102,0.000000,1.002454,0.925063,-0.129461,0.140000,wall
0.997544,0.001604,-0.138574,-0.990352,31.872094,0.252124,0.000000,1.002410,0.926757,-0.129676,0.140259,wall
0.996958,0.001686,-0.138345,-0.990384,31.869754,0.247445,0.000000,1.002373,0.928502,-0.129701,0.140521,wall
0.996325,0.001774,-0.138345,-0.990384,31.867190,0.242317,0.000000,1.002332,0.930027,-0.129914,0.140754,wall
0.995669,0.001866,-0.138253,-0.990397,31.865150,0.238236,0.000000,1.002305,0.931501,-0.130031,0.140978,wall
0.995017,0.001957,-0.138059,-0.990424,31.862833,0.233602,0.000000,1.002274,0.932885,-0.130038,0.141187,wall
0.994312,0.002055,-0.138059,-0.990424,31.860580,0.229097,0.000000,1.002244,0.934113,-0.130210,0.141375,wall
0.993549,0.002161,-0.137757,-0.990466,31.858424,0.224785,0.000000,1.002216,0.935574,-0.130122,0.141593,wall
0.992787,0.002267,-0.137718,-0.990471,31.856046,0.220029,0.000000,1.002183,0.936662,-0.130236,0.141760,wall
0.991997,0.002377,-0.137718,-0.990471,31.853996,0.215929,0.000000,1.002159,0.937716,-0.130383,0.141923,wall
0.991138,0.002497,-0.137379,-0.990519,31.851940,0.211817,0.000000,1.002135,0.938970,-0.130230,0.142109,wall
0.990240,0.002621,-0.137323,-0.990526,31.849831,0.207598,0.000000,1.002113,0.939871,-0.130300,0.142247,wall
0.989346,0.002745,-0.137235,-0.990538,31.847591,0.203119,0.000000,1.002092,0.940863,-0.130353,0.142399,wall
0.988374,0.002879,-0.136874,-0.990588,31.845628,0.199193,0.000000,1.002090,0.941896,-0.130146,0.142552,wall
0.987317,0.003026,-0.136874,-0.990588,31.843550,0.195037,0.000000,1.002041,0.942753,-0.130264,0.142683,wall
0.986257,0.003172,-0.136736,-0.990608,31.841271,0.190479,0.000000,1.001978,0.943777,-0.130272,0.142836,wall
0.985156,0.003324,-0.136373,-0.990658,31.839353,0.186643,0.000000,1.001957,0.944775,-0.130056,0.142983,wall
0.983952,0.003489,-0.136373,-0.990658,31.836747,0.181431,0.000000,1.001927,0.945599,-0.130170,0.143111,wall
0.982690,0.003663,-0.135977,-0.990712,31.834798,0.177533,0.000000,1.001870,0.946616,-0.129925,0.143257,wall
0.981432,0.003835,-0.135821,-0.990733,31.832950,0.173836,0.000000,1.001839,0.947394,-0.129879,0.143374,wall
0.980061,0.004023,-0.135821,-0.990733,31.830123,0.168183,0.000000,1.001802,0.948194,-0.129989,0.143499,wall
0.978567,0.004228,-0.135248,-0.990812,31.828827,0.165591,0.000000,1.001812,0.949058,-0.129549,0.143622,wall
0.977065,0.004433,-0.135219,-0.990816,31.826065,0.160066,0.000000,1.001748,0.949820,-0.129624,0.143738,wall
0.975506,0.004645,-0.134885,-0.990861,31.823765,0.155466,0.000000,1.001694,0.950827,-0.129436,0.143885,wall
0.973799,0.004877,-0.134570,-0.990904,31.822007,0.151950,0.000000,1.001678,0.951563,-0.129227,0.143993,wall
0.972006,0.005121,-0.134550,-0.990907,31.818819,0.145575,0.000000,1.001667,0.952283,-0.129306,0.144108,wall
0.970215,0.005363,-0.133873,-0.990998,31.818041,0.144019,0.000000,1.001718,0.953069,-0.128750,0.144219,wall
0.968268,0.005626,-0.133873,-0.990998,31.814466,0.136868,0.000000,1.001697,0.953749,-0.128841,0.144329,wall
0.966147,0.005912,-0.133281,-0.991078,31.813105,0.134147,0.000000,1.001604,0.954555,-0.128369,0.144436,wall
0.964010,0.006199,-0.133133,-0.991098,31.809860,0.127657,0.000000,1.001319,0.955474,-0.128347,0.144558,wall
0.961794,0.006497,-0.132745,-0.991150,31.807802,0.123540,0.000000,1.001198,0.956412,-0.128093,0.144689,wall
0.959373,0.006820,-0.132349,-0.991203,31.805321,0.118578,0.000000,1.001143,0.957166,-0.127804,0.144797,wall
0.956827,0.007160,-0.131954,-0.991256,31.802800,0.113536,0.000000,1.001108,0.957880,-0.127511,0.144900,wall
0.954282,0.007498,-0.131523,-0.991313,31.800752,0.109440,0.000000,1.001080,0.958549,-0.127177,0.144996,wall
