x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,1.560241585870e-03,-3.956110212525e-02,5.920398507115e-03,0.000000000000e+00,1.371945266332e-03,-3.940214853909e-02,5.895514511590e-03,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,1.242157857552e-02,-1.178913631397e-01,1.772693308297e-02,0.000000000000e+00,1.219498578317e-02,-1.174421992040e-01,1.765637158767e-02,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.280775925370e-02,-1.907093568315e-01,2.893971094851e-02,0.000000000000e+00,3.250589855451e-02,-1.899761219123e-01,2.882362148743e-02,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,6.110227601898e-02,-2.567669967209e-01,3.947497556058e-02,0.000000000000e+00,6.069756480400e-02,-2.557765603878e-01,3.931629653158e-02,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,9.576242800892e-02,-3.154089762938e-01,4.930536054755e-02,0.000000000000e+00,9.523430151948e-02,-3.141954704250e-01,4.910808702083e-02,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,1.343110293474e-01,-3.649844421281e-01,5.818137880294e-02,0.000000000000e+00,1.336434482478e-01,-3.635787186640e-01,5.794881807568e-02,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,1.745097975017e-01,-4.058608471796e-01,6.610090286363e-02,0.000000000000e+00,1.736917480687e-01,-4.042913644581e-01,6.583608015804e-02,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,2.166364265050e-01,-4.408965911477e-01,7.351166607389e-02,0.000000000000e+00,2.156811043865e-01,-4.392363574040e-01,7.322492698355e-02,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,2.590355195719e-01,-4.686685165944e-01,8.014631644277e-02,0.000000000000e+00,2.579408544536e-01,-4.669058250212e-01,7.983543885986e-02,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,2.987838241891e-01,-4.885943170624e-01,8.573030677408e-02,0.000000000000e+00,2.975459499084e-01,-4.867420680958e-01,8.539637767328e-02,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,3.373785756303e-01,-5.046220623663e-01,9.087846434134e-02,0.000000000000e+00,3.360227021136e-01,-5.027386208469e-01,9.053053911993e-02,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,3.756619024412e-01,-5.173438961527e-01,9.573322892087e-02,0.000000000000e+00,3.742001411438e-01,-5.154463751338e-01,9.537406731950e-02,bc-4
