step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,6,1,0,0.0137702,0.0404131,0.0876431,1.5369,1.5369,0.131195
2,0,6,1.0495,0,0.00979913,0.0268259,0.0610758,1.09512,1.09512,0.0874706
3,0,6,1.099,0,0.00772543,0.0202579,0.0475154,0.863688,0.863688,0.0588056
4,0,6,1.1485,0,0.00659538,0.0170464,0.0403752,0.737323,0.737323,0.0404292
5,0,7,1.198,0,0.00591901,0.0153013,0.0362213,0.661614,0.661614,0.0344058
6,0,7,1.2475,0,0.00546482,0.014187,0.0334641,0.610769,0.610769,0.0288786
7,0,7,1.297,0,0.00513277,0.0133817,0.0314465,0.573604,0.573604,0.026504
8,0,7,1.3465,0,0.004874,0.012751,0.0298656,0.544648,0.544648,0.0234551
9,0,7,1.396,0,0.0046632,0.0122339,0.0285709,0.521062,0.521062,0.0222282
10,0,7,1.4455,0,0.00448606,0.0117983,0.0274789,0.501244,0.501244,0.0204353
11,0,7,1.495,0,0.00433388,0.0114247,0.0265386,0.484217,0.484217,0.019379
12,0,7,1.5445,0,0.00420104,0.0111005,0.0257165,0.469351,0.469351,0.0183561
13,0,8,1.594,0,0.00408374,0.0108168,0.0249898,0.456221,0.456221,0.0172054
14,0,8,1.6435,0,0.00397697,0.0105613,0.0243284,0.44427,0.44427,0.016652
15,0,8,1.693,0,0.00388131,0.0103361,0.0237356,0.433559,0.433559,0.0159443
16,0,8,1.7425,0,0.00379543,0.0101382,0.0232034,0.423939,0.423939,0.0151887
17,0,8,1.792,0,0.00371836,0.00996579,0.0227261,0.415302,0.415302,0.0147571
18,0,8,1.8415,0,0.00364947,0.00981761,0.0222999,0.407577,0.407577,0.0143295
19,0,8,1.891,0,0.00358837,0.00969322,0.0219226,0.400721,0.400721,0.0138867
20,0,9,1.9405,0,0.00353488,0.00959257,0.0215935,0.394711,0.394711,0.0134883
21,0,9,1.99,0,0.00348753,0.00951215,0.0213042,0.389386,0.389386,0.013197
22,0,9,2.0395,0,0.00344791,0.00945622,0.0210648,0.384921,0.384921,0.0129716
23,0,9,2.089,0,0.0034161,0.00942483,0.0208767,0.381327,0.381327,0.0127847
24,0,9,2.1385,0,0.00339212,0.00941736,0.0207408,0.378607,0.378607,0.0126531
25,0,9,2.188,0,0.00337582,0.00943226,0.0206573,0.376749,0.376749,0.0125145
26,0,9,2.2375,0,0.00336678,0.00946681,0.0206246,0.375706,0.375706,0.0124444
27,0,10,2.287,0,0.00336424,0.00951715,0.0206389,0.375397,0.375397,0.0124868
28,0,10,2.3365,0,0.0033661,0.0095758,0.0206878,0.375589,0.375589,0.0126064
29,0,10,2.3365,0,0.00337201,0.00964096,0.0207683,0.376241,0.376241,0.0127601
30,0,10,2.3365,0,0.00338067,0.00970871,0.0208699,0.377204,0.377204,0.0129188
31,0,10,2.3365,0,0.00339059,0.00977707,0.020981,0.378306,0.378306,0.0130707
32,0,10,2.3365,0,0.00340066,0.00984641,0.0210925,0.379418,0.379418,0.0134559
33,0,10,2.3365,0,0.00341029,0.00991926,0.0211984,0.380468,0.380468,0.013441
34,0,10,2.3365,0,0.00341937,0.00999969,0.0212964,0.38144,0.38144,0.0130158
35,0,10,2.3365,0,0.00342821,0.0100925,0.0213874,0.382369,0.382369,0.0122302
36,0,10,2.3365,0,0.00343747,0.0102025,0.0214752,0.383329,0.383329,0.0115634
37,0,10,2.3365,0,0.00344798,0.0103337,0.0215653,0.384418,0.384418,0.0118468
38,0,10,2.3365,0,0.00346064,0.0104892,0.0216646,0.385738,0.385738,0.0118947
39,0,10,2.3365,0,0.00347629,0.0106707,0.0217795,0.387386,0.387386,0.0117154
40,0,10,2.3365,0,0.00349559,0.0108792,0.0219159,0.389441,0.389441,0.0116938
41,0,10,2.3365,0,0.00351902,0.0111149,0.0220783,0.391956,0.391956,0.0118288
42,0,10,2.3365,0,0.00354677,0.0113779,0.0222695,0.394954,0.394954,0.0120782
43,0,10,2.3365,0,0.00357883,0.0116677,0.0224908,0.398436,0.398436,0.012479
44,0,10,2.3365,0,0.00361496,0.0119842,0.0227419,0.402373,0.402373,0.0130059
45,0,10,2.3365,0,0.00365477,0.0123273,0.0230214,0.40672,0.40672,0.0133628
46,0,10,2.3365,0,0.00369774,0.0126968,0.0233272,0.41142,0.41142,0.013545
47,0,10,2.3365,0,0.00374331,0.0130928,0.0236565,0.416409,0.416409,0.0135546
48,0,10,2.3365,0,0.00379089,0.0135154,0.0240066,0.42162,0.42162,0.0138661
49,0,10,2.3365,0,0.00383992,0.0139648,0.0243749,0.426989,0.426989,0.0146539
50,0,10,2.3365,0,0.00388987,0.0144409,0.0247588,0.432456,0.432456,0.0152916
51,0,10,2.3365,0,0.00394023,0.0149438,0.0251561,0.437965,0.437965,0.0157565
52,0,10,2.3365,0,0.00399058,0.0154734,0.0255651,0.443466,0.443466,0.0160392
53,0,10,2.3365,0,0.00404052,0.0160293,0.0259841,0.448916,0.448916,0.0161362
54,0,10,2.3365,0,0.00408971,0.0166112,0.0264117,0.454274,0.454274,0.0167316
55,0,10,2.3365,0,0.00413783,0.0172186,0.0268466,0.459506,0.459506,0.017274
56,0,10,2.3365,0,0.00418462,0.0178508,0.0272879,0.46458,0.46458,0.0176376
57,0,10,2.3365,0,0.00422984,0.0185069,0.0277345,0.469471,0.469471,0.0179724
58,0,10,2.3365,0,0.00427329,0.019186,0.0281854,0.474153,0.474153,0.0183342
59,0,10,2.3365,0,0.00431478,0.0198869,0.0286396,0.478607,0.478607,0.0187463
60,0,10,2.3365,0,0.00435416,0.0206081,0.0290964,0.482815,0.482815,0.0195478
61,0,10,2.3365,0,0.00439129,0.0213482,0.0295545,0.486763,0.486763,0.0203348
62,0,10,2.3365,0,0.0044261,0.0221052,0.0300132,0.490441,0.490441,0.0209413
63,0,10,2.3365,0,0.00445853,0.0228773,0.0304714,0.493845,0.493845,0.0213532
64,0,10,2.3365,0,0.00448858,0.0236623,0.0309282,0.496974,0.496974,0.0215614
65,0,10,2.3365,0,0.00451626,0.0244578,0.0313829,0.499833,0.499833,0.0215615
66,0,10,2.3365,0,0.00454167,0.0252615,0.0318346,0.502432,0.502432,0.0213942
67,0,10,2.3365,0,0.00456493,0.0260707,0.0322827,0.504789,0.504789,0.0221903
68,0,10,2.3365,0,0.00458622,0.0268828,0.0327264,0.506923,0.506923,0.0228316
69,0,10,2.3365,0,0.00460576,0.0276952,0.0331655,0.508863,0.508863,0.0233047
70,0,10,2.3365,0,0.00462382,0.0285054,0.0335994,0.51064,0.51064,0.0236003
71,0,10,2.3365,0,0.00464069,0.0293107,0.0340279,0.512289,0.512289,0.0237089
72,0,10,2.3365,0,0.00465671,0.0301086,0.0344508,0.51385,0.51385,0.0237931
73,0,10,2.3365,0,0.00467222,0.0308969,0.0348681,0.515364,0.515364,0.0246755
74,0,10,2.3365,0,0.00468759,0.0316734,0.0352797,0.516873,0.516873,0.0256378
