x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
0.023127,-0.025228,0.447577,0.894246,31.631738,-0.228587,0.000000,0.995782,0.923159,-0.462048,0.154802,wall
0.024479,-0.025894,0.435246,0.900312,31.631584,-0.228895,0.000000,0.995589,0.930713,-0.449943,0.155002,wall
0.025953,-0.026593,0.422827,0.906211,31.629248,-0.233567,0.000000,0.995470,0.938911,-0.438084,0.155346,wall
0.027561,-0.027329,0.410103,0.912039,31.622847,-0.246370,0.000000,0.995415,0.947132,-0.425882,0.155716,wall
0.029178,-0.028044,0.398638,0.917108,31.620336,-0.251392,0.000000,0.995395,0.954965,-0.415094,0.156141,wall
0.030858,-0.028761,0.386075,0.922467,31.610039,-0.271986,0.000000,0.995412,0.963224,-0.403133,0.156603,wall
0.032702,-0.029518,0.374367,0.927281,31.607455,-0.277153,0.000000,0.995894,0.971699,-0.392299,0.157206,wall
0.034643,-0.030287,0.362521,0.931976,31.601365,-0.289333,0.000000,0.995872,0.980658,-0.381457,0.157869,wall
0.036583,-0.031029,0.351434,0.936213,31.596074,-0.299916,0.000000,0.995861,0.988453,-0.371044,0.158416,wall
0.038698,-0.031807,0.340246,0.940336,31.591607,-0.308849,0.000000,0.995841,0.996560,-0.360590,0.159025,wall
0.041009,-0.032627,0.328520,0.944497,31.586253,-0.319557,0.000000,0.995791,1.004693,-0.349457,0.159626,wall
0.043341,-0.033423,0.317503,0.948257,31.581419,-0.329226,0.000000,0.995724,1.011475,-0.338670,0.160073,wall
0.045763,-0.034219,0.307175,0.951653,31.578728,-0.334608,0.000000,0.995697,1.018162,-0.328643,0.160561,wall
0.048419,-0.035058,0.295985,0.955193,31.573763,-0.344538,0.000000,0.995635,1.025271,-0.317700,0.161091,wall
0.051219,-0.035908,0.284885,0.958562,31.569115,-0.353834,0.000000,0.995593,1.030445,-0.306249,0.161343,wall
0.054021,-0.036725,0.275308,0.961356,31.568441,-0.355181,0.000000,0.995685,1.035173,-0.296448,0.161622,wall
0.057062,-0.037577,0.265019,0.964243,31.563036,-0.365991,0.000000,0.995245,1.040529,-0.285986,0.161949,wall
0.060379,-0.038470,0.254964,0.966951,31.562447,-0.367169,0.000000,0.995119,1.045904,-0.275782,0.162321,wall
0.063732,-0.039335,0.244406,0.969673,31.556400,-0.379263,0.000000,0.995075,1.049964,-0.264643,0.162506,wall
0.067204,-0.040192,0.235082,0.971976,31.556255,-0.379554,0.000000,0.995312,1.053641,-0.254834,0.162709,wall
0.070993,-0.041087,0.225338,0.974281,31.553545,-0.384973,0.000000,0.995243,1.057937,-0.244687,0.162987,wall
0.074986,-0.041990,0.215659,0.976469,31.551460,-0.389144,0.000000,0.995222,1.061466,-0.234431,0.163168,wall
0.078982,-0.042853,0.206572,0.978431,31.549578,-0.392908,0.000000,0.995214,1.064324,-0.224706,0.163283,wall
0.083292,-0.043740,0.197456,0.980312,31.548202,-0.395660,0.000000,0.995210,1.067331,-0.214983,0.163434,wall
