step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,80,1,0,0.0137702,0.0137702,8.37234e-13,1.5369,1.5369,0.131195
2,0,80,1,0,1216.21,875.115,16758.1,189869,189869,87824.6
3,0,80,1,0,2256.05,1676.9,30734.4,355048,355048,155466
4,0,80,1,0,4022.03,89889.4,102847,2.68838e+06,2.68838e+06,2.06517e+06
5,0,80,1,0,11003.6,273373,292951,7.18273e+06,7.18273e+06,1.90434e+06
6,0,80,1,0,12388.1,276976,302014,7.18659e+06,7.18659e+06,1.8335e+06
7,0,80,1,0,13134.2,275496,302010,6.81291e+06,6.81291e+06,1.69009e+06
8,0,80,1,0,16162.6,569649,552525,2.07981e+07,2.07981e+07,9.8268e+06
9,0,80,1,0,18610.6,556485,885023,3.11976e+07,3.11976e+07,1.3363e+07
10,0,80,1,0,20338.9,602139,974504,3.3896e+07,3.3896e+07,1.60675e+07
11,0,80,1,0,23897.5,769530,1.31416e+06,4.54062e+07,4.54062e+07,1.60636e+07
12,0,80,1,0,25251.1,1.09589e+06,1.59723e+06,7.18511e+07,7.18511e+07,3.21303e+07
13,0,80,1,0,27539.7,1.11524e+06,1.73759e+06,7.4986e+07,7.4986e+07,3.18109e+07
14,0,80,1,0,28421.4,1.12796e+06,2.04953e+06,1.07144e+08,1.07144e+08,5.99895e+07
15,0,80,1,0,31182.6,1.15335e+06,2.45045e+06,1.30059e+08,1.30059e+08,6.00083e+07
16,0,80,1,0,31606.8,1.14246e+06,2.56089e+06,1.38259e+08,1.38259e+08,6.99857e+07
17,0,80,1,0,32458.6,1.16455e+06,2.63858e+06,1.41947e+08,1.41947e+08,7.39402e+07
18,0,80,1,0,35086.1,1.25005e+06,3.2242e+06,1.66941e+08,1.66941e+08,7.47447e+07
19,0,80,1,0,37832.2,1.32427e+06,3.85489e+06,2.03369e+08,2.03369e+08,9.09369e+07
20,0,80,1,0,37852.3,1.31272e+06,3.87346e+06,2.0462e+08,2.0462e+08,9.11673e+07
21,0,80,1,0,41136.7,1.34793e+06,4.19572e+06,2.11541e+08,2.11541e+08,9.11284e+07
22,0,80,1,0,42113.9,1.43175e+06,4.1784e+06,2.11666e+08,2.11666e+08,9.03963e+07
23,0,80,1,0,40855.8,1.46742e+06,3.97491e+06,2.03501e+08,2.03501e+08,8.88712e+07
24,0,80,1,0,41614,1.54414e+06,3.95838e+06,2.04444e+08,2.04444e+08,8.93363e+07
25,0,80,1,0,44207.5,1.61981e+06,4.58168e+06,2.41595e+08,2.41595e+08,9.10509e+07
26,0,80,1,0,46273.4,1.70048e+06,5.19992e+06,3.24765e+08,3.24765e+08,1.82672e+08
27,0,80,1,0,46610.5,1.69664e+06,5.27439e+06,3.27438e+08,3.27438e+08,1.82672e+08
28,0,80,1,0,46806.5,1.76447e+06,5.2482e+06,3.21678e+08,3.21678e+08,1.65257e+08
29,0,80,1,0,47306.4,1.98999e+06,5.13204e+06,3.14789e+08,3.14789e+08,1.6606e+08
30,0,80,1,0,45506.5,1.99023e+06,4.85487e+06,2.87739e+08,2.87739e+08,1.37152e+08
31,0,80,1,0,48719,2.8013e+06,5.04467e+06,3.14729e+08,3.14729e+08,1.42247e+08
32,0,80,1,0,51488.9,2.9632e+06,6.28033e+06,3.69108e+08,3.69108e+08,1.50257e+08
33,0,80,1,0,52281.5,2.93834e+06,6.4536e+06,3.75484e+08,3.75484e+08,1.55543e+08
34,0,80,1,0,52014.3,2.94888e+06,6.52068e+06,3.78836e+08,3.78836e+08,1.55302e+08
35,0,80,1,0,55303.1,3.01163e+06,7.37577e+06,4.56595e+08,4.56595e+08,2.07224e+08
36,0,80,1,0,54465.5,3.00231e+06,7.16248e+06,4.41733e+08,4.41733e+08,1.89875e+08
37,0,80,1,0,55372.7,3.27894e+06,7.19093e+06,4.5004e+08,4.5004e+08,1.8376e+08
38,0,80,1,0,56804.9,3.37224e+06,8.25387e+06,6.29289e+08,6.29289e+08,3.66654e+08
39,0,80,1,0,57762.6,3.4334e+06,8.37209e+06,6.24218e+08,6.24218e+08,3.36701e+08
40,0,80,1,0,62092.2,3.93404e+06,8.60667e+06,6.38469e+08,6.38469e+08,3.36701e+08
41,0,80,1,0,65104.6,4.3498e+06,8.66569e+06,6.42947e+08,6.42947e+08,3.30696e+08
42,0,80,1,0,66466.5,4.51665e+06,8.96401e+06,6.56961e+08,6.56961e+08,3.30696e+08
43,0,80,1,0,68679.5,4.60464e+06,9.34043e+06,6.60002e+08,6.60002e+08,1.8471e+08
44,0,80,1,0,69089.5,4.74637e+06,1.00554e+07,7.24581e+08,7.24581e+08,1.85643e+08
45,0,80,1,0,69727.5,4.77061e+06,9.87718e+06,7.07748e+08,7.07748e+08,1.872e+08
46,0,80,1,0,76180.6,4.90469e+06,1.29981e+07,1.1921e+09,1.1921e+09,6.10327e+08
47,0,80,1,0,76641,5.0075e+06,1.31629e+07,1.22113e+09,1.22113e+09,5.42394e+08
48,0,80,1,0,78452,5.07318e+06,1.37642e+07,1.30279e+09,1.30279e+09,6.08058e+08
49,0,80,1,0,79918.4,5.18313e+06,1.42739e+07,1.36168e+09,1.36168e+09,6.08058e+08
50,0,80,1,0,83823.8,5.52488e+06,1.55607e+07,1.49411e+09,1.49411e+09,6.1511e+08
51,0,80,1,0,84381.9,5.53758e+06,1.55755e+07,1.49908e+09,1.49908e+09,6.1511e+08
52,0,80,1,0,84399.1,5.5391e+06,1.55747e+07,1.49904e+09,1.49904e+09,6.1511e+08
53,0,80,1,0,84429.8,5.5418e+06,1.55731e+07,1.49893e+09,1.49893e+09,6.1511e+08
54,0,80,1,0,84535.8,5.55101e+06,1.55689e+07,1.4987e+09,1.4987e+09,6.1511e+08
55,0,80,1,0,84537.3,5.55147e+06,1.55692e+07,1.49877e+09,1.49877e+09,6.1511e+08
56,0,80,1,0,84538.7,5.55192e+06,1.55694e+07,1.49883e+09,1.49883e+09,6.1511e+08
57,0,80,1,0,84540.1,5.55236e+06,1.55698e+07,1.4989e+09,1.4989e+09,6.1511e+08
58,0,80,1,0,84541.3,5.5528e+06,1.55702e+07,1.49898e+09,1.49898e+09,6.1511e+08
59,0,80,1,0,84542.4,5.55323e+06,1.55706e+07,1.49906e+09,1.49906e+09,6.1511e+08
60,0,80,1,0,84544.9,5.55364e+06,1.5571e+07,1.49913e+09,1.49913e+09,6.1511e+08
61,0,80,1,0,84547.2,5.55404e+06,1.55713e+07,1.49921e+09,1.49921e+09,6.1511e+08
62,0,80,1,0,84547.5,5.55408e+06,1.55711e+07,1.4992e+09,1.4992e+09,6.1511e+08
63,0,80,1,0,84550,5.55449e+06,1.55715e+07,1.49928e+09,1.49928e+09,6.1511e+08
