step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000961,0.18437773,-0.00008774,0.16112281,0.02325492,0.00001131,-0.00002092
2,0.00000000,-0.00001685,0.37242618,-0.00019008,0.31938927,0.05303691,0.00001844,-0.00003529
3,0.00000000,-0.00002243,0.55883727,-0.00031012,0.47283256,0.08600471,0.00002174,-0.00004416
4,0.00000000,-0.00002571,0.73972369,-0.00044987,0.61952121,0.12020249,0.00002238,-0.00004809
5,0.00000000,-0.00002528,0.91182771,-0.00061080,0.75752747,0.15430023,0.00002226,-0.00004754
6,0.00000000,-0.00002417,1.07238836,-0.00082165,0.88470388,0.18768448,0.00002481,-0.00004899
7,0.00000000,-0.00001462,1.21849665,-0.00105330,0.99947394,0.21902270,0.00003156,-0.00004619
8,0.00000000,-0.00000270,1.34797461,-0.00134378,1.09987483,0.24809979,0.00004648,-0.00004918
9,0.00000000,0.00001099,1.45862114,-0.00169491,1.18445912,0.27416203,0.00007231,-0.00006132
10,0.00000000,0.00000535,1.54967020,-0.00215965,1.25206148,0.29760872,0.00011170,-0.00010636
11,0.00000000,0.00001819,1.61744289,-0.00262655,1.30242169,0.31502120,0.00016486,-0.00014667
12,0.00000000,0.00011286,1.65529025,-0.00287972,1.33415213,0.32113811,0.00023032,-0.00011746
13,0.00000000,0.00020776,1.66631007,-0.00304224,1.34651132,0.31979874,0.00029756,-0.00008980
14,0.00000000,0.00027520,1.65323474,-0.00319983,1.34061409,0.31262065,0.00035397,-0.00007877
15,0.00000000,0.00030300,1.61787651,-0.00335773,1.31812383,0.29975268,0.00038900,-0.00008599
16,0.00000000,0.00026138,1.56420439,-0.00350548,1.28228425,0.28192014,0.00037494,-0.00011356
17,0.00000000,0.00016501,1.49704603,-0.00365104,1.23678709,0.26025894,0.00032715,-0.00016213
18,0.00000000,0.00001898,1.42133792,-0.00376603,1.18545365,0.23588427,0.00023368,-0.00021469
19,0.00000000,-0.00016916,1.34097468,-0.00385376,1.13114738,0.20982731,0.00011192,-0.00028108
20,0.00000000,-0.00038239,1.25891733,-0.00390823,1.07598934,0.18292799,-0.00002845,-0.00035394
21,0.00000000,-0.00060214,1.17739761,-0.00391853,1.02149222,0.15590539,-0.00017928,-0.00042286
22,0.00000000,-0.00082373,1.09850845,-0.00389618,0.96899482,0.12951363,-0.00033317,-0.00049056
23,0.00000000,-0.00103551,1.02354326,-0.00383523,0.91928280,0.10426047,-0.00048439,-0.00055112
24,0.00000000,-0.00123711,0.95372151,-0.00374504,0.87307457,0.08064694,-0.00062812,-0.00060899
