step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00001154,0.21915133,-0.00008824,0.19589640,0.02325492,0.00000938,-0.00002092
2,0.00000000,-0.00001794,0.43672674,-0.00018015,0.38039343,0.05633331,0.00001229,-0.00003023
3,0.00000000,-0.00002214,0.65059915,-0.00028910,0.55662309,0.09397606,0.00001192,-0.00003405
4,0.00000000,-0.00002284,0.85744843,-0.00041695,0.72407921,0.13336922,0.00000988,-0.00003272
5,0.00000000,-0.00001805,1.05394927,-0.00056503,0.88116071,0.17278856,0.00000856,-0.00002661
6,0.00000000,-0.00000544,1.23686579,-0.00073433,1.02589195,0.21097384,0.00001096,-0.00001640
7,0.00000000,0.00001398,1.40329779,-0.00095325,1.15602457,0.24727322,0.00002074,-0.00000676
8,0.00000000,0.00004143,1.55036099,-0.00122490,1.26959348,0.28076751,0.00004107,0.00000036
9,0.00000000,0.00006639,1.67610556,-0.00159518,1.36477288,0.31133269,0.00007535,-0.00000895
10,0.00000000,0.00009557,1.77778392,-0.00202242,1.44057449,0.33720943,0.00012623,-0.00003066
11,0.00000000,0.00015868,1.85143285,-0.00240840,1.49616617,0.35526669,0.00019510,-0.00003642
12,0.00000000,0.00026781,1.89212453,-0.00259506,1.52985672,0.36226781,0.00027598,-0.00000817
13,0.00000000,0.00036004,1.90370702,-0.00274390,1.54189016,0.36181686,0.00035250,0.00000755
14,0.00000000,0.00042731,1.88785022,-0.00288682,1.53357685,0.35427337,0.00041698,0.00001033
15,0.00000000,0.00043221,1.84769353,-0.00303029,1.50770000,0.33999353,0.00043743,-0.00000522
16,0.00000000,0.00036966,1.78856228,-0.00315653,1.46818638,0.32037590,0.00041440,-0.00004474
17,0.00000000,0.00025873,1.71568883,-0.00327633,1.41901350,0.29667532,0.00035451,-0.00009578
18,0.00000000,0.00009699,1.63319840,-0.00336979,1.36337509,0.26982331,0.00025225,-0.00015526
19,0.00000000,-0.00010506,1.54498886,-0.00343064,1.30403538,0.24095348,0.00012261,-0.00022767
20,0.00000000,-0.00032736,1.45436661,-0.00345403,1.24324911,0.21111750,-0.00002541,-0.00030196
21,0.00000000,-0.00056190,1.36423743,-0.00344569,1.18292259,0.18131483,-0.00018303,-0.00037888
22,0.00000000,-0.00079511,1.27674304,-0.00339728,1.12438111,0.15236193,-0.00034326,-0.00045185
23,0.00000000,-0.00101764,1.19372852,-0.00331088,1.06872072,0.12500780,-0.00049927,-0.00051837
24,0.00000000,-0.00122084,1.11657750,-0.00318902,1.01674260,0.09983490,-0.00064496,-0.00057587
25,0.00000000,-0.00139731,1.04624661,-0.00303475,0.96899101,0.07725559,-0.00077510,-0.00062221
26,0.00000000,-0.00154548,0.98334088,-0.00285310,0.92583363,0.05750724,-0.00088641,-0.00065907
27,0.00000000,-0.00165405,0.92803493,-0.00264467,0.88733520,0.04069974,-0.00097490,-0.00067914
28,0.00000000,-0.00172008,0.88030661,-0.00241399,0.85347094,0.02683568,-0.00103804,-0.00068204
29,0.00000000,-0.00174198,0.83991389,-0.00216556,0.82408747,0.01582641,-0.00107427,-0.00066771
30,0.00000000,-0.00171988,0.80644872,-0.00190392,0.79893030,0.00751842,-0.00108308,-0.00063680
31,0.00000000,-0.00165567,0.77938351,-0.00163362,0.77766890,0.00171461,-0.00106488,-0.00059080
32,0.00000000,-0.00155292,0.75811008,-0.00135922,0.75991867,-0.00180859,-0.00102087,-0.00053205
33,0.00000000,-0.00141748,0.74200254,-0.00108938,0.74526081,-0.00325826,-0.00095204,-0.00046544
34,0.00000000,-0.00125577,0.73034755,-0.00082415,0.73326003,-0.00291248,-0.00086210,-0.00039366
35,0.00000000,-0.00107512,0.72246758,-0.00056819,0.72347039,-0.00100281,-0.00075408,-0.00032104
36,0.00000000,-0.00088341,0.71769698,-0.00032572,0.71545029,0.00224670,-0.00063111,-0.00025230
37,0.00000000,-0.00069192,0.71542456,-0.00010511,0.70877696,0.00664760,-0.00049619,-0.00019573
38,0.00000000,-0.00050427,0.71500941,0.00009531,0.70303731,0.01197210,-0.00035260,-0.00015168
39,0.00000000,-0.00032774,0.71588998,0.00027199,0.69784997,0.01804001,-0.00020274,-0.00012500
40,0.00000000,-0.00017120,0.71756623,0.00041837,0.69286766,0.02469858,-0.00004916,-0.00012205
41,0.00000000,-0.00003367,0.71954722,0.00053672,0.68777125,0.03177597,0.00010710,-0.00014077
42,0.00000000,0.00008269,0.72142361,0.00062517,0.68228165,0.03914196,0.00026501,-0.00018231
43,0.00000000,0.00017327,0.72285008,0.00068038,0.67615518,0.04669490,0.00042283,-0.00024956
44,0.00000000,0.00024233,0.72352155,0.00070516,0.66918774,0.05433381,0.00058045,-0.00033812
45,0.00000000,0.00028847,0.72320668,0.00069865,0.66120225,0.06200443,0.00073674,-0.00044827
46,0.00000000,0.00031768,0.72172469,0.00066437,0.65206264,0.06966206,0.00089255,-0.00057488
47,0.00000000,0.00033249,0.71895109,0.00060454,0.64165496,0.07729613,0.00104821,-0.00071572
48,0.00000000,0.00033411,0.71486036,0.00052333,0.63001041,0.08484995,0.00120145,-0.00086734
49,0.00000000,0.00032919,0.70945851,0.00042558,0.61710585,0.09235266,0.00135406,-0.00102487
50,0.00000000,0.00032095,0.70277214,0.00031591,0.60292387,0.09984827,0.00150722,-0.00118627
51,0.00000000,0.00031267,0.69484251,0.00019911,0.58745818,0.10738433,0.00166222,-0.00134955
52,0.00000000,0.00030808,0.68571636,0.00007985,0.57071068,0.11500568,0.00182060,-0.00151252
53,0.00000000,0.00031047,0.67543933,-0.00003729,0.55268989,0.12274944,0.00198400,-0.00167353
54,0.00000000,0.00032283,0.66404971,-0.00014797,0.53340963,0.13064008,0.00215416,-0.00183133
55,0.00000000,0.00034755,0.65157580,-0.00024817,0.51288866,0.13868714,0.00233290,-0.00198535
56,0.00000000,0.00038502,0.63847624,-0.00033201,0.49184000,0.14663625,0.00251619,-0.00213118
57,0.00000000,0.00043466,0.62484156,-0.00039947,0.47038656,0.15445500,0.00270544,-0.00227078
58,0.00000000,0.00049570,0.61072654,-0.00044770,0.44861238,0.16211416,0.00290116,-0.00240546
59,0.00000000,0.00056669,0.59619089,-0.00047651,0.42661218,0.16957870,0.00310422,-0.00253753
60,0.00000000,0.00064600,0.58128673,-0.00048603,0.40447424,0.17681249,0.00331540,-0.00266941
61,0.00000000,0.00073205,0.56606109,-0.00047672,0.38228042,0.18378067,0.00353538,-0.00280333
62,0.00000000,0.00082346,0.55055757,-0.00044933,0.36010629,0.19045127,0.00376468,-0.00294122
63,0.00000000,0.00091919,0.53481745,-0.00040484,0.33802121,0.19679624,0.00400369,-0.00308450
64,0.00000000,0.00101839,0.51886545,-0.00034289,0.31606750,0.20279795,0.00425239,-0.00323400
65,0.00000000,0.00112094,0.50276069,-0.00026693,0.29432489,0.20843581,0.00451103,-0.00339010
66,0.00000000,0.00122699,0.48653949,-0.00017812,0.27284468,0.21369480,0.00477940,-0.00355241
67,0.00000000,0.00133703,0.47023764,-0.00007786,0.25167258,0.21856505,0.00505705,-0.00372003
68,0.00000000,0.00145139,0.45387178,0.00003376,0.23082621,0.22304557,0.00534320,-0.00389181
69,0.00000000,0.00157138,0.43749859,0.00015342,0.21036449,0.22713411,0.00563718,-0.00406580
70,0.00000000,0.00169800,0.42114948,0.00027993,0.19031768,0.23083180,0.00593803,-0.00424003
71,0.00000000,0.00183174,0.40483460,0.00041322,0.17068789,0.23414671,0.00624451,-0.00441277
72,0.00000000,0.00197409,0.38860745,0.00055040,0.15152085,0.23708661,0.00655552,-0.00458143
73,0.00000000,0.00212583,0.37249466,0.00069054,0.13283411,0.23966055,0.00686977,-0.00474394
74,0.00000000,0.00228713,0.35649835,0.00083377,0.11461630,0.24188205,0.00718592,-0.00489879
75,0.00000000,0.00245905,0.34066882,0.00097763,0.09690339,0.24376544,0.00750266,-0.00504361
76,0.00000000,0.00264141,0.32500333,0.00112246,0.07967790,0.24532543,0.00781873,-0.00517731
77,0.00000000,0.00283935,0.30917344,0.00127027,0.06257247,0.24660097,0.00814018,-0.00530083
78,0.00000000,0.00305574,0.29306853,0.00142157,0.04547404,0.24759449,0.00846855,-0.00541280
79,0.00000000,0.00329192,0.27669905,0.00157582,0.02840209,0.24829697,0.00880273,-0.00551082
80,0.00000000,0.00354904,0.26007656,0.00173247,0.01137633,0.24870024,0.00914150,-0.00559246
81,0.00000000,0.00382816,0.24321366,0.00189094,-0.00558330,0.24879697,0.00948348,-0.00565532
82,0.00000000,0.00413013,0.22612397,0.00205068,-0.02245670,0.24858067,0.00982719,-0.00569706
83,0.00000000,0.00445556,0.20882207,0.00221111,-0.03922368,0.24804575,0.01017099,-0.00571543
84,0.00000000,0.00480486,0.19132350,0.00237168,-0.05586396,0.24718746,0.01051320,-0.00570834
85,0.00000000,0.00517816,0.17364472,0.00253183,-0.07235727,0.24600199,0.01085199,-0.00567384
86,0.00000000,0.00557527,0.15580311,0.00269104,-0.08868338,0.24448648,0.01118549,-0.00561022
87,0.00000000,0.00599580,0.13781687,0.00284877,-0.10482213,0.24263900,0.01151175,-0.00551594
88,0.00000000,0.00643898,0.11970505,0.00300453,-0.12075353,0.24045857,0.01182877,-0.00538979
89,0.00000000,0.00690375,0.10148746,0.00315782,-0.13645777,0.23794523,0.01213453,-0.00523078
90,0.00000000,0.00738880,0.08318465,0.00330817,-0.15191532,0.23509996,0.01242699,-0.00503819
91,0.00000000,0.00789245,0.06481783,0.00345513,-0.16710691,0.23192474,0.01270412,-0.00481166
92,0.00000000,0.00841281,0.04640885,0.00359826,-0.18201366,0.22842251,0.01296390,-0.00455109
93,0.00000000,0.00894766,0.02798011,0.00373718,-0.19661707,0.22459718,0.01320437,-0.00425670
94,0.00000000,0.00949455,0.00955451,0.00387148,-0.21089913,0.22045363,0.01342359,-0.00392904
95,0.00000000,0.01005078,-0.00884462,0.00400083,-0.22484228,0.21599766,0.01361972,-0.00356894
96,0.00000000,0.01061344,-0.02719354,0.00412489,-0.23842955,0.21123600,0.01379101,-0.00317757
97,0.00000000,0.01117940,-0.04546825,0.00424336,-0.25164454,0.20617629,0.01393579,-0.00275639
98,0.00000000,0.01174538,-0.06364447,0.00435597,-0.26447150,0.20082703,0.01405253,-0.00230715
99,0.00000000,0.01230793,-0.08169778,0.00446250,-0.27689533,0.19519755,0.01413983,-0.00183190
