step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00001037,0.18441597,-0.00008768,0.16113827,0.02327770,0.00001219,-0.00002256
2,0.00000000,-0.00001846,0.37249354,-0.00018994,0.31942015,0.05307339,0.00002009,-0.00003856
3,0.00000000,-0.00002525,0.55892662,-0.00030986,0.47287829,0.08604833,0.00002400,-0.00004925
4,0.00000000,-0.00003025,0.73982798,-0.00044945,0.61958054,0.12024744,0.00002501,-0.00005525
5,0.00000000,-0.00003210,0.91193921,-0.00061016,0.75759839,0.15434082,0.00002492,-0.00005702
6,0.00000000,-0.00003430,1.07250122,-0.00082070,0.88478450,0.18771672,0.00002719,-0.00006149
7,0.00000000,-0.00002854,1.21859907,-0.00105199,0.99956022,0.21903884,0.00003313,-0.00006166
8,0.00000000,-0.00002135,1.34805498,-0.00134205,1.09996226,0.24809272,0.00004670,-0.00006805
9,0.00000000,-0.00001313,1.45866527,-0.00169270,1.18454202,0.27412325,0.00007057,-0.00008369
10,0.00000000,-0.00002504,1.54965953,-0.00215698,1.25213354,0.29752599,0.00010742,-0.00013246
11,0.00000000,-0.00001817,1.61737220,-0.00262341,1.30247673,0.31489547,0.00015722,-0.00017538
12,0.00000000,0.00007192,1.65518430,-0.00287602,1.33418216,0.32100214,0.00021833,-0.00014642
13,0.00000000,0.00016306,1.66618047,-0.00303802,1.34650988,0.31967058,0.00028090,-0.00011784
14,0.00000000,0.00022712,1.65308244,-0.00319520,1.34057893,0.31250351,0.00033285,-0.00010572
15,0.00000000,0.00025184,1.61770197,-0.00335279,1.31805680,0.29964516,0.00036372,-0.00011188
16,0.00000000,0.00020879,1.56422269,-0.00351160,1.28230773,0.28191497,0.00034774,-0.00013895
17,0.00000000,0.00011148,1.49699161,-0.00365532,1.23678209,0.26020951,0.00029807,-0.00018658
18,0.00000000,-0.00003436,1.42124222,-0.00376991,1.18542506,0.23581717,0.00020359,-0.00023795
19,0.00000000,-0.00022167,1.34085293,-0.00385793,1.13109974,0.20975319,0.00008150,-0.00030317
20,0.00000000,-0.00043354,1.25877852,-0.00391304,1.07592675,0.18285177,-0.00005865,-0.00037489
21,0.00000000,-0.00065146,1.17724669,-0.00392408,1.02141803,0.15582866,-0.00020882,-0.00044264
22,0.00000000,-0.00087091,1.09834946,-0.00390250,0.96891214,0.12943732,-0.00036173,-0.00050918
23,0.00000000,-0.00108029,1.02337907,-0.00384226,0.91919423,0.10418484,-0.00051171,-0.00056858
24,0.00000000,-0.00127932,0.95355505,-0.00375270,0.87298249,0.08057255,-0.00065403,-0.00062529
25,0.00000000,-0.00147528,0.88357072,-0.00361559,0.82679530,0.05677542,-0.00079725,-0.00067803
26,0.00000000,-0.00164720,0.81949630,-0.00344019,0.78440321,0.03509310,-0.00092591,-0.00072128
27,0.00000000,-0.00178198,0.76313747,-0.00323136,0.74688115,0.01625632,-0.00103250,-0.00074948
28,0.00000000,-0.00187527,0.71469616,-0.00299396,0.71430565,0.00039051,-0.00111348,-0.00076179
29,0.00000000,-0.00192391,0.67410644,-0.00273301,0.68659886,-0.01249243,-0.00116635,-0.00075756
30,0.00000000,-0.00192645,0.64108274,-0.00245370,0.66355731,-0.02247458,-0.00118977,-0.00073668
31,0.00000000,-0.00188301,0.61516784,-0.00216137,0.64487969,-0.02971184,-0.00118348,-0.00069953
32,0.00000000,-0.00179472,0.59581060,-0.00186481,0.63019000,-0.03437941,-0.00114691,-0.00064781
33,0.00000000,-0.00166682,0.58231057,-0.00156612,0.61907274,-0.03676217,-0.00108359,-0.00058323
34,0.00000000,-0.00150394,0.57395082,-0.00127081,0.61107053,-0.03711971,-0.00099642,-0.00050752
35,0.00000000,-0.00131413,0.57003308,-0.00098842,0.60572371,-0.03569063,-0.00088817,-0.00042597
36,0.00000000,-0.00110730,0.56975253,-0.00072318,0.60257714,-0.03282461,-0.00076603,-0.00034127
37,0.00000000,-0.00089255,0.57232456,-0.00047831,0.60113193,-0.02880737,-0.00063543,-0.00025712
38,0.00000000,-0.00067775,0.57704992,-0.00025639,0.60094110,-0.02389118,-0.00050108,-0.00017666
39,0.00000000,-0.00047053,0.58331574,-0.00005915,0.60161058,-0.01829484,-0.00036736,-0.00010317
40,0.00000000,-0.00027811,0.59059291,0.00011248,0.60279812,-0.01220521,-0.00023809,-0.00004001
41,0.00000000,-0.00010448,0.59842956,0.00025782,0.60421022,-0.00578066,-0.00011560,0.00001112
42,0.00000000,0.00004617,0.60644695,0.00037735,0.60559977,0.00084719,-0.00000188,0.00004805
43,0.00000000,0.00017029,0.61433318,0.00047156,0.60676268,0.00757050,0.00010151,0.00006878
44,0.00000000,0.00026867,0.62182221,0.00054329,0.60753175,0.01429046,0.00019431,0.00007437
45,0.00000000,0.00033676,0.62872885,0.00059086,0.60777904,0.02094980,0.00027605,0.00006070
46,0.00000000,0.00037545,0.63489646,0.00061627,0.60740525,0.02749121,0.00034718,0.00002827
47,0.00000000,0.00038642,0.64021137,0.00062141,0.60633868,0.03387268,0.00040854,-0.00002211
48,0.00000000,0.00037197,0.64459696,0.00060818,0.60453162,0.04006534,0.00046133,-0.00008936
49,0.00000000,0.00033493,0.64800852,0.00057851,0.60195679,0.04605173,0.00050698,-0.00017205
50,0.00000000,0.00027868,0.65042857,0.00053428,0.59860398,0.05182459,0.00054704,-0.00026836
51,0.00000000,0.00020681,0.65186279,0.00047739,0.59447697,0.05738582,0.00058314,-0.00037633
52,0.00000000,0.00012308,0.65233621,0.00040973,0.58959056,0.06274565,0.00061690,-0.00049382
53,0.00000000,0.00003104,0.65188945,0.00033315,0.58396793,0.06792151,0.00064988,-0.00061884
54,0.00000000,-0.00006575,0.65057556,0.00024944,0.57763816,0.07293740,0.00068351,-0.00074926
55,0.00000000,-0.00016370,0.64845647,0.00016030,0.57063406,0.07782241,0.00071915,-0.00088286
56,0.00000000,-0.00025982,0.64559964,0.00006748,0.56299019,0.08260945,0.00075797,-0.00101780
57,0.00000000,-0.00035133,0.64207539,-0.00002744,0.55474141,0.08733398,0.00080105,-0.00115238
58,0.00000000,-0.00043554,0.63794655,-0.00012174,0.54590900,0.09203755,0.00084881,-0.00128435
59,0.00000000,-0.00051048,0.63329479,-0.00021530,0.53653969,0.09675511,0.00090274,-0.00141322
60,0.00000000,-0.00057442,0.62818189,-0.00030661,0.52666220,0.10151969,0.00096351,-0.00153793
61,0.00000000,-0.00062600,0.62266292,-0.00039436,0.51630166,0.10636126,0.00103165,-0.00165765
62,0.00000000,-0.00066424,0.61678457,-0.00047733,0.50547931,0.11130525,0.00110756,-0.00177180
