step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,1.378069815599e-06,8.094051682692e-01,7.014612904132e-01,9.854980408011e-01,3.566441551979e+00,3.851999013561e+00,8.806007098490e+05
2,0.000000000000e+00,3,1.001536235531e+00,1.429032807648e-06,6.932315295097e-01,4.136691973951e-01,5.478065308088e-01,3.110743113277e+00,3.260139087581e+00,8.268245108433e+05
3,0.000000000000e+00,3,1.003074831082e+00,1.498291470330e-06,5.998956748710e-01,3.426135947366e-01,4.896950441315e-01,2.728439708087e+00,2.856824001044e+00,7.655995824248e+05
4,0.000000000000e+00,3,1.004615790278e+00,1.585519376311e-06,5.220647566357e-01,3.010871700602e-01,4.762277497937e-01,2.393896900193e+00,2.514108257916e+00,6.868450898510e+05
5,0.000000000000e+00,3,1.006159116751e+00,1.685324451697e-06,4.579895973663e-01,2.938469415579e-01,4.768289534047e-01,2.097230363225e+00,2.218522378430e+00,5.836297860325e+05
6,0.000000000000e+00,3,1.007704814136e+00,1.760396657515e-06,4.122865492309e-01,3.046345034280e-01,4.708486626743e-01,1.869975547894e+00,1.995316865117e+00,4.576391886889e+05
7,0.000000000000e+00,3,1.009252886077e+00,1.832969798544e-06,3.838931847658e-01,3.162888150754e-01,4.556006741996e-01,1.729654999152e+00,1.856526590781e+00,3.522559894080e+05
8,0.000000000000e+00,3,1.010803336220e+00,1.914112533284e-06,3.659376700774e-01,3.240936167352e-01,4.333753657350e-01,1.651006515904e+00,1.775551681584e+00,3.880857634469e+05
9,0.000000000000e+00,3,1.012356168221e+00,1.958574788610e-06,3.536537744318e-01,3.178032620688e-01,4.059645107826e-01,1.600803961750e+00,1.718560564403e+00,3.800550659869e+05
10,0.000000000000e+00,3,1.013911385737e+00,1.956434750033e-06,3.469318456852e-01,2.942059667128e-01,3.825344241341e-01,1.570940572133e+00,1.679614754407e+00,3.155095915243e+05
11,0.000000000000e+00,3,1.015468992433e+00,1.957921305980e-06,3.457358598278e-01,2.763355358865e-01,3.651948109697e-01,1.575629283635e+00,1.676862994574e+00,3.256385098599e+05
12,0.000000000000e+00,3,1.017028991980e+00,1.962063842495e-06,3.397266046098e-01,2.632207654253e-01,3.479097897484e-01,1.572205066955e+00,1.666604131638e+00,3.720526762452e+05
13,0.000000000000e+00,3,1.018591388054e+00,1.967570540601e-06,3.246994124497e-01,2.443502455980e-01,3.337761361650e-01,1.510417246084e+00,1.599344714972e+00,3.409651159642e+05
14,0.000000000000e+00,3,1.020156184336e+00,1.973624037488e-06,3.085709360023e-01,2.293647702271e-01,3.227089399591e-01,1.425741259873e+00,1.511523542787e+00,2.598045005191e+05
