step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,0.00000000,0.00118953,-0.00000001,0.00115025,0.00003927,0.00000002,-0.00000002
2,0.00000000,-0.00000000,0.00240129,-0.00000004,0.00228778,0.00011351,0.00000005,-0.00000005
3,0.00000000,-0.00000001,0.00364447,-0.00000008,0.00342522,0.00021925,0.00000008,-0.00000009
4,0.00000000,-0.00000002,0.00492469,-0.00000014,0.00457115,0.00035353,0.00000011,-0.00000013
5,0.00000000,-0.00000002,0.00625112,-0.00000018,0.00573655,0.00051457,0.00000013,-0.00000014
6,0.00000000,-0.00000002,0.00761968,-0.00000024,0.00692057,0.00069911,0.00000014,-0.00000016
7,0.00000000,-0.00000003,0.00903121,-0.00000031,0.00812585,0.00090536,0.00000016,-0.00000019
8,0.00000000,-0.00000004,0.01048601,-0.00000040,0.00935418,0.00113183,0.00000018,-0.00000022
9,0.00000000,-0.00000006,0.01198405,-0.00000050,0.01060676,0.00137728,0.00000020,-0.00000025
10,0.00000000,-0.00000008,0.01352514,-0.00000063,0.01188446,0.00164068,0.00000022,-0.00000029
11,0.00000000,-0.00000010,0.01510902,-0.00000077,0.01318785,0.00192117,0.00000024,-0.00000034
12,0.00000000,-0.00000012,0.01673543,-0.00000095,0.01451736,0.00221807,0.00000027,-0.00000039
13,0.00000000,-0.00000015,0.01840409,-0.00000115,0.01587329,0.00253080,0.00000029,-0.00000044
14,0.00000000,-0.00000018,0.02011478,-0.00000139,0.01725588,0.00285890,0.00000032,-0.00000050
15,0.00000000,-0.00000022,0.02186730,-0.00000165,0.01866530,0.00320200,0.00000035,-0.00000057
16,0.00000000,-0.00000021,0.02366722,-0.00000178,0.02010732,0.00355990,0.00000036,-0.00000056
17,0.00000000,-0.00000020,0.02550824,-0.00000193,0.02157674,0.00393150,0.00000036,-0.00000057
18,0.00000000,-0.00000020,0.02739029,-0.00000211,0.02307364,0.00431665,0.00000037,-0.00000058
19,0.00000000,-0.00000021,0.02931334,-0.00000233,0.02459811,0.00471523,0.00000038,-0.00000059
20,0.00000000,-0.00000021,0.03127735,-0.00000257,0.02615019,0.00512716,0.00000039,-0.00000060
21,0.00000000,-0.00000022,0.03328229,-0.00000286,0.02772994,0.00555235,0.00000040,-0.00000062
22,0.00000000,-0.00000023,0.03532816,-0.00000318,0.02933740,0.00599076,0.00000041,-0.00000064
23,0.00000000,-0.00000024,0.03741496,-0.00000355,0.03097260,0.00644237,0.00000042,-0.00000065
24,0.00000000,-0.00000025,0.03954269,-0.00000395,0.03263555,0.00690714,0.00000042,-0.00000067
25,0.00000000,-0.00000026,0.04171137,-0.00000441,0.03432627,0.00738510,0.00000043,-0.00000068
26,0.00000000,-0.00000026,0.04392103,-0.00000491,0.03604479,0.00787625,0.00000043,-0.00000070
27,0.00000000,-0.00000027,0.04617171,-0.00000546,0.03779109,0.00838062,0.00000043,-0.00000070
28,0.00000000,-0.00000021,0.04846560,-0.00000565,0.03957125,0.00889435,0.00000042,-0.00000062
29,0.00000000,-0.00000015,0.05080019,-0.00000589,0.04137945,0.00942074,0.00000040,-0.00000055
30,0.00000000,-0.00000009,0.05317558,-0.00000619,0.04321568,0.00995990,0.00000038,-0.00000047
31,0.00000000,-0.00000004,0.05559184,-0.00000655,0.04507995,0.01051189,0.00000036,-0.00000039
32,0.00000000,0.00000002,0.05804906,-0.00000697,0.04697224,0.01107682,0.00000033,-0.00000031
33,0.00000000,0.00000008,0.06054732,-0.00000744,0.04889254,0.01165478,0.00000031,-0.00000022
34,0.00000000,0.00000015,0.06308673,-0.00000797,0.05084084,0.01224589,0.00000028,-0.00000013
35,0.00000000,0.00000023,0.06566736,-0.00000856,0.05281712,0.01285024,0.00000025,-0.00000002
36,0.00000000,0.00000031,0.06828931,-0.00000921,0.05482136,0.01346795,0.00000021,0.00000010
37,0.00000000,0.00000040,0.07095267,-0.00000992,0.05685353,0.01409914,0.00000017,0.00000023
38,0.00000000,0.00000051,0.07365753,-0.00001070,0.05891359,0.01474394,0.00000013,0.00000038
39,0.00000000,0.00000062,0.07640397,-0.00001153,0.06100152,0.01540246,0.00000008,0.00000054
40,0.00000000,0.00000075,0.07919208,-0.00001243,0.06311726,0.01607482,0.00000003,0.00000072
41,0.00000000,0.00000090,0.08202194,-0.00001339,0.06526079,0.01676115,-0.00000003,0.00000093
42,0.00000000,0.00000105,0.08489361,-0.00001441,0.06743203,0.01746158,-0.00000009,0.00000115
43,0.00000000,0.00000125,0.08780019,-0.00001464,0.06963791,0.01816228,-0.00000017,0.00000141
44,0.00000000,0.00000145,0.09074939,-0.00001499,0.07187155,0.01887783,-0.00000024,0.00000169
45,0.00000000,0.00000165,0.09374096,-0.00001545,0.07413287,0.01960809,-0.00000032,0.00000198
46,0.00000000,0.00000188,0.09677477,-0.00001601,0.07642180,0.02035297,-0.00000041,0.00000228
47,0.00000000,0.00000212,0.09985071,-0.00001668,0.07873825,0.02111245,-0.00000049,0.00000261
