step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.0000000000e+00,3.4331380980e-04,1.8155621514e+02,2.6352911858e-03,2.6788290722e-03,1.8155353632e+02,-8.0627286603e-05,4.2394109640e-04
2,0.0000000000e+00,3.9830840037e-04,1.2004608568e+02,2.7257529863e-03,3.4886401234e-03,1.2004259704e+02,-5.0382500922e-05,4.4869090129e-04
3,0.0000000000e+00,2.6641132914e-04,8.9284859885e+01,2.3280761229e-03,4.2399592396e-03,8.9280619926e+01,-4.1910036015e-05,3.0832136516e-04
4,0.0000000000e+00,1.4431158920e-04,7.1900596406e+01,1.9866304581e-03,4.9155134959e-03,7.1895680892e+01,-4.1544428153e-05,1.8585601735e-04
5,0.0000000000e+00,6.5786416169e-05,6.0823568519e+01,1.7574374555e-03,5.5176150269e-03,6.0818050904e+01,-4.1922267926e-05,1.0770868410e-04
6,0.0000000000e+00,2.2640792515e-05,5.3039954246e+01,1.6062463597e-03,6.0622242727e-03,5.3033892022e+01,-4.1314994283e-05,6.3955786798e-05
7,0.0000000000e+00,1.8260939026e-06,4.7170799153e+01,1.4999078575e-03,6.5625198548e-03,4.7164236634e+01,-3.9628270970e-05,4.1454364873e-05
8,0.0000000000e+00,-6.4066264241e-06,4.2525749662e+01,1.4182379166e-03,7.0277682691e-03,4.2518721893e+01,-3.7103434522e-05,3.0696808097e-05
9,0.0000000000e+00,-8.1625735215e-06,3.8724182396e+01,1.3503993236e-03,7.4645127051e-03,3.8716717883e+01,-3.4000591961e-05,2.5838018440e-05
10,0.0000000000e+00,-6.9905384615e-06,3.5536782714e+01,1.2907498399e-03,7.8775349772e-03,3.5528905179e+01,-3.0537011919e-05,2.3546473457e-05
11,0.0000000000e+00,-4.8711274792e-06,3.2814988382e+01,1.2363147949e-03,8.2704523911e-03,3.2806717930e+01,-2.6882682132e-05,2.2011554653e-05
12,0.0000000000e+00,-2.8643014763e-06,3.0457026929e+01,1.1854761788e-03,8.6460818369e-03,3.0448380847e+01,-2.3166603229e-05,2.0302301752e-05
13,0.0000000000e+00,-1.4979488659e-06,2.8390165834e+01,1.1373234967e-03,9.0066693920e-03,2.8381159164e+01,-1.9484009935e-05,1.7986061069e-05
14,0.0000000000e+00,-9.9676344137e-07,2.6560699341e+01,1.0913318023e-03,9.3540412420e-03,2.6551345300e+01,-1.5902902877e-05,1.4906139435e-05
15,0.0000000000e+00,-1.4154268859e-06,2.4927923474e+01,1.0471939487e-03,9.6897066782e-03,2.4918233767e+01,-1.2469676482e-05,1.1054249596e-05
16,0.0000000000e+00,-2.7133287615e-06,2.3460318913e+01,1.0047286142e-03,1.0014930670e-02,2.3450303983e+01,-9.2139010242e-06,6.5005722627e-06
17,0.0000000000e+00,-4.7985051956e-06,2.2133031937e+01,9.6382772994e-04,1.0330786365e-02,2.2122701151e+01,-6.1523342181e-06,1.3538290226e-06
18,0.0000000000e+00,-7.5560850686e-06,2.0926156619e+01,9.2442486762e-04,1.0638193927e-02,2.0915518426e+01,-3.2922218316e-06,-4.2638632370e-06
19,0.0000000000e+00,-1.0864639304e-05,1.9823531313e+01,8.8647569294e-04,1.0937949880e-02,1.9812593363e+01,-6.3394690958e-07,-1.0230692394e-05
20,0.0000000000e+00,-1.4605080825e-05,1.8811875866e+01,8.4994672280e-04,1.1230749611e-02,1.8800645116e+01,1.8268713448e-06,-1.6431952170e-05
21,0.0000000000e+00,-1.8666616463e-05,1.7880160707e+01,8.1480858023e-04,1.1517204903e-02,1.7868643502e+01,4.0977581071e-06,-2.2764374570e-05
22,0.0000000000e+00,-2.2949187592e-05,1.7019137443e+01,7.8103191424e-04,1.1797857753e-02,1.7007339585e+01,6.1881705686e-06,-2.9137358160e-05
23,0.0000000000e+00,-2.7364997394e-05,1.6220984103e+01,7.4858570375e-04,1.2073191401e-02,1.6208910912e+01,8.1085975402e-06,-3.5473594934e-05
24,0.0000000000e+00,-3.1838899809e-05,1.5479033304e+01,7.1743648306e-04,1.2343639211e-02,1.5466689665e+01,9.8699249675e-06,-4.1708824777e-05
