x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.9135001249e-05,5.4955556903e-04,9.9939436761e-01,-3.4797959570e-02,1.6987846347e+00,1.1654264123e+00,3.0301823172e-03,1.3419859790e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
1.9135001249e-05,-5.4955556903e-04,9.9939436761e-01,3.4797959570e-02,1.6991647985e+00,1.1661867399e+00,-2.1591734126e-03,1.3421550361e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
9.3157791807e-05,1.6277007404e-03,9.9465202405e-01,-1.0328286914e-01,1.6925748371e+00,1.1530068171e+00,8.7686567596e-03,1.3373877358e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
9.3157791807e-05,-1.6277007404e-03,9.9465202405e-01,1.0328286914e-01,1.6935767643e+00,1.1550106715e+00,-8.0989078082e-03,1.3379226749e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
2.3463449316e-04,2.6623469799e-03,9.8567529051e-01,-1.6865414810e-01,1.6806593304e+00,1.1291758036e+00,1.3990638247e-02,1.3283671840e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
2.3463449316e-04,-2.6623469799e-03,9.8567529051e-01,1.6865414810e-01,1.6821962955e+00,1.1322497338e+00,-1.3231327484e-02,1.3293140185e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
4.3908542379e-04,3.6650683814e-03,9.7297875498e-01,-2.3089465643e-01,1.6643634090e+00,1.0965839608e+00,1.7987555605e-02,1.3160086327e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
4.3908542379e-04,-3.6650683814e-03,9.7297875498e-01,2.3089465643e-01,1.6664490788e+00,1.1007553005e+00,-1.7476815799e-02,1.3173953074e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
7.0443443965e-04,4.6483198665e-03,9.5700449129e-01,-2.9007310053e-01,1.6447725518e+00,1.0574022465e+00,2.1682237786e-02,1.3010328523e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
7.0443443965e-04,-4.6483198665e-03,9.5700449129e-01,2.9007310053e-01,1.6472570663e+00,1.0623712755e+00,-2.1140863249e-02,1.3027764722e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,bc-4
