x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.004911,0.000569,-0.139779,-0.990183,0.714007,-0.000557,0.000002,0.999715,0.000000,0.000000,0.000000,wall
1.004519,0.000624,-0.139714,-0.990192,0.714001,-0.000569,-0.000000,0.999708,0.000000,0.000000,0.000000,wall
1.004133,0.000679,-0.139649,-0.990201,0.714001,-0.000569,0.000000,0.999708,0.000000,0.000000,0.000000,wall
1.003741,0.000734,-0.139583,-0.990210,0.714001,-0.000569,0.000000,0.999708,0.000000,0.000000,0.000000,wall
1.003332,0.000791,-0.139516,-0.990220,0.714001,-0.000568,0.000000,0.999708,0.000000,0.000000,0.000000,wall
1.002917,0.000850,-0.139443,-0.990230,0.714002,-0.000568,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.002508,0.000908,-0.139370,-0.990240,0.714002,-0.000568,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.002076,0.000968,-0.139299,-0.990250,0.714002,-0.000568,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.001621,0.001032,-0.139227,-0.990261,0.714002,-0.000567,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.001171,0.001096,-0.139144,-0.990272,0.714002,-0.000567,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.000710,0.001160,-0.139068,-0.990283,0.714002,-0.000567,0.000000,0.999709,0.000000,0.000000,0.000000,wall
1.000220,0.001229,-0.138989,-0.990294,0.714002,-0.000566,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.999716,0.001300,-0.138898,-0.990307,0.714003,-0.000566,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.999218,0.001370,-0.138808,-0.990319,0.714003,-0.000566,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.998684,0.001445,-0.138734,-0.990330,0.714003,-0.000565,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.998112,0.001525,-0.138598,-0.990349,0.714003,-0.000565,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.997544,0.001604,-0.138574,-0.990352,0.714003,-0.000565,0.000000,0.999710,0.000000,0.000000,0.000000,wall
0.996958,0.001686,-0.138345,-0.990384,0.714004,-0.000564,0.000000,0.999711,0.000000,0.000000,0.000000,wall
0.996325,0.001774,-0.138345,-0.990384,0.714004,-0.000564,0.000000,0.999711,0.000000,0.000000,0.000000,wall
0.995669,0.001866,-0.138253,-0.990397,0.714004,-0.000563,0.000000,0.999711,0.000000,0.000000,0.000000,wall
0.995017,0.001957,-0.138059,-0.990424,0.714004,-0.000563,0.000000,0.999711,0.000000,0.000000,0.000000,wall
0.994312,0.002055,-0.138059,-0.990424,0.714004,-0.000563,0.000000,0.999711,0.000000,0.000000,0.000000,wall
0.993549,0.002161,-0.137757,-0.990466,0.714005,-0.000561,0.000000,0.999712,0.000000,0.000000,0.000000,wall
0.992787,0.002267,-0.137718,-0.990471,0.714005,-0.000561,-0.000000,0.999712,0.000000,0.000000,0.000000,wall
0.991997,0.002377,-0.137718,-0.990471,0.714005,-0.000561,-0.000000,0.999712,0.000000,0.000000,0.000000,wall
0.991138,0.002497,-0.137379,-0.990519,0.714006,-0.000560,0.000000,0.999713,0.000000,0.000000,0.000000,wall
