Case: naca0012_m200_inviscid
Ranks: 8
[Step 1000] CFL=10 res=4.233e-03 reduction=0.79
[Step 2000] CFL=20.11 res=5.389e-03 reduction=0.64
[Step 3000] CFL=30.07 res=1.207e-02 reduction=0.22
[Step 4000] CFL=40.03 res=1.316e-02 reduction=0.18
[Step 5000] CFL=49.99 res=1.413e-02 reduction=0.12
[Step 6000] CFL=50.00 res=1.368e-02 reduction=0.15
[Step 7000] CFL=50.00 res=1.412e-02 reduction=0.14
[Step 8000] CFL=50.00 res=1.311e-02 reduction=0.14
[Step 9000] CFL=50.00 res=1.383e-02 reduction=0.15
[Step 10000] CFL=50.00 res=1.392e-02 reduction=0.15
[Step 11000] CFL=50.00 res=1.372e-02 reduction=0.15
[Step 12000] CFL=50.00 res=1.393e-02 reduction=0.14
[Step 13000] CFL=50.00 res=1.389e-02 reduction=0.15
