step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,4,0.2,0,0.0137702,0.0131332,0.0108097,0.0154915,0.0154915,0.00164567
2,0,4,0.20996,0,0.0126191,0.0117454,0.00935288,0.0142541,0.0142541,0.00131415
3,0,4,0.21992,0,0.0116422,0.0106178,0.00815526,0.0131838,0.0131838,0.00109641
4,0,4,0.22988,0,0.0108181,0.00970651,0.00718207,0.0122699,0.0122699,0.00102934
5,0,4,0.23984,0,0.0101248,0.00896925,0.00639918,0.0114955,0.0114955,0.000967318
6,0,4,0.2498,0,0.00954121,0.00836934,0.00577462,0.0108413,0.0108413,0.000910998
7,0,4,0.25976,0,0.00904788,0.00787661,0.00527924,0.0102875,0.0102875,0.000860343
8,0,4,0.26972,0,0.00862787,0.00746694,0.00488726,0.009816,0.009816,0.000814936
9,0,4,0.27968,0,0.00826698,0.00712155,0.0045766,0.00941099,0.00941099,0.000774177
10,0,4,0.28964,0,0.00795364,0.00682607,0.00432898,0.00905938,0.00905938,0.000737407
11,0,4,0.2996,0,0.00767868,0.00656971,0.00412972,0.00875069,0.00875069,0.000703982
12,0,4,0.30956,0,0.00743494,0.00634443,0.00396737,0.00847675,0.00847675,0.000673314
13,0,4,0.31952,0,0.00721687,0.00614424,0.00383315,0.00823122,0.00823122,0.000644888
14,0,4,0.32948,0,0.00702018,0.00596468,0.00372047,0.00800929,0.00800929,0.000618271
15,0,4,0.33944,0,0.00684153,0.00580236,0.00362439,0.0078072,0.0078072,0.000593102
16,0,4,0.3494,0,0.00667832,0.00565473,0.00354123,0.00762208,0.00762208,0.000569089
17,0,4,0.35936,0,0.00652847,0.00551975,0.00346824,0.00745165,0.00745165,0.000546001
18,0,4,0.36932,0,0.00639029,0.00539581,0.00340336,0.00729407,0.00729407,0.000523653
19,0,4,0.37928,0,0.00626243,0.00528162,0.00334505,0.00714787,0.00714787,0.0005019
20,0,4,0.38924,0,0.00614374,0.00517606,0.00329213,0.00701183,0.00701183,0.000480634
21,0,4,0.3992,0,0.00603326,0.0050782,0.00324368,0.00688491,0.00688491,0.000459768
22,0,4,0.40916,0,0.00593018,0.00498725,0.003199,0.00676625,0.00676625,0.000439241
23,0,4,0.41912,0,0.0058338,0.00490252,0.00315755,0.00665511,0.00665511,0.000432681
24,0,4,0.42908,0,0.0057435,0.00482338,0.00311889,0.00655084,0.00655084,0.000428369
25,0,4,0.43904,0,0.00565877,0.0047493,0.00308268,0.00645288,0.00645288,0.000423433
26,0,4,0.449,0,0.00557913,0.00467979,0.00304863,0.00636074,0.00636074,0.000417863
27,0,4,0.45896,0,0.00550418,0.00461444,0.00301653,0.00627399,0.00627399,0.000411645
28,0,4,0.46892,0,0.00543356,0.00455286,0.00298618,0.00619225,0.00619225,0.000404762
29,0,4,0.47888,0,0.00536693,0.00449471,0.00295745,0.00611516,0.00611516,0.000397199
30,0,5,0.48884,0,0.00530401,0.00443969,0.00293019,0.00604242,0.00604242,0.000388939
31,0,5,0.4988,0,0.00524315,0.00438612,0.0029035,0.00597211,0.00597211,0.000379877
32,0,5,0.50876,0,0.00518555,0.00433521,0.00287812,0.00590567,0.00590567,0.000370093
33,0,5,0.51872,0,0.00513099,0.00428675,0.00285394,0.00584284,0.00584284,0.000359583
34,0,5,0.52868,0,0.00507926,0.00424053,0.00283091,0.00578339,0.00578339,0.000348349
35,0,5,0.53864,0,0.00503018,0.00419639,0.00280895,0.0057271,0.0057271,0.000346531
36,0,5,0.5486,0,0.00498357,0.00415416,0.00278801,0.00567377,0.00567377,0.000349186
37,0,5,0.55856,0,0.00493928,0.00411371,0.00276803,0.00562322,0.00562322,0.0003508
38,0,5,0.56852,0,0.00489716,0.00407493,0.00274897,0.00557525,0.00557525,0.000351296
39,0,5,0.57848,0,0.00485708,0.00403769,0.00273077,0.0055297,0.0055297,0.000350596
40,0,5,0.58844,0,0.00481892,0.00400192,0.0027134,0.00548642,0.00548642,0.000348632
41,0,5,0.5984,0,0.00478256,0.00396753,0.00269681,0.00544526,0.00544526,0.000345341
42,0,5,0.60836,0,0.0047479,0.00393445,0.00268097,0.00540608,0.00540608,0.000340674
43,0,5,0.61832,0,0.00471483,0.00390262,0.00266584,0.00536875,0.00536875,0.000334597
44,0,5,0.62828,0,0.00468329,0.00387197,0.0026514,0.00533317,0.00533317,0.000327093
45,0,5,0.63824,0,0.00465318,0.00384247,0.0026376,0.00529923,0.00529923,0.000318166
46,0,5,0.6482,0,0.00462443,0.00381407,0.00262443,0.00526683,0.00526683,0.000322551
47,0,5,0.65816,0,0.00459699,0.00378673,0.00261186,0.00523589,0.00523589,0.00032681
48,0,5,0.66812,0,0.00457078,0.00376042,0.00259986,0.00520634,0.00520634,0.000329554
