step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,7.746823271e-13,1,0,0
2,3,1.366915871e-12,1,1.103381815e-09,0.2007568229
3,3,2.095566596e-12,1,1.104081509e-09,0.2009152384
4,3,2.836151112e-12,1,1.104781747e-09,0.2010737789
5,3,3.567569137e-12,1,1.10548251e-09,0.2012324444
6,3,4.285893937e-12,1,1.106183786e-09,0.2013912352
7,3,4.991476942e-12,1,1.106885564e-09,0.2015501513
8,3,5.685993133e-12,1,1.107587833e-09,0.2017091927
9,3,6.371523433e-12,1,1.108290581e-09,0.2018683597
10,3,7.05020947e-12,1,1.108993789e-09,0.2020276523
11,3,7.724104387e-12,1,1.109697444e-09,0.2021870705
12,3,8.395101974e-12,1,1.110401546e-09,0.2023466146
13,3,9.064914468e-12,1,1.111106087e-09,0.2025062845
14,3,9.735059743e-12,1,1.111811061e-09,0.2026660805
15,3,1.040686499e-11,1,1.11251646e-09,0.2028260025
16,3,1.108147281e-11,1,1.113222277e-09,0.2029860508
17,3,1.175985223e-11,1,1.113928506e-09,0.2031462253
18,3,1.24428168e-11,1,1.114635143e-09,0.2033065262
19,3,1.313103872e-11,1,1.115342182e-09,0.2034669536
20,3,1.38250591e-11,1,1.116049617e-09,0.2036275076
21,3,1.452530662e-11,1,1.116757446e-09,0.2037881883
22,3,1.523211517e-11,1,1.117465662e-09,0.2039489958
23,3,1.594573021e-11,1,1.118174264e-09,0.2041099302
24,3,1.666632449e-11,1,1.118883246e-09,0.2042709916
25,3,1.739401309e-11,1,1.119592607e-09,0.20443218
26,3,1.812885924e-11,1,1.120302342e-09,0.2045934957
27,3,1.88708803e-11,1,1.121012448e-09,0.2047549386
28,3,1.962007125e-11,1,1.121722924e-09,0.204916509
29,3,2.037639493e-11,1,1.122433766e-09,0.2050782068
30,3,2.113979592e-11,1,1.123144972e-09,0.2052400322
31,3,2.191021104e-11,1,1.12385654e-09,0.2054019854
32,3,2.268756819e-11,1,1.124568468e-09,0.2055640663
33,3,2.347178998e-11,1,1.125280755e-09,0.2057262751
34,3,2.426280453e-11,1,1.125993399e-09,0.2058886119
35,3,2.506054041e-11,1,1.1267064e-09,0.2060510768
36,3,2.586493788e-11,1,1.127419755e-09,0.2062136699
37,3,2.667593805e-11,1,1.128133464e-09,0.2063763913
38,3,2.74935042e-11,1,1.128847529e-09,0.2065392412
39,3,2.831760592e-11,1,1.129561948e-09,0.2067022195
40,3,2.91482297e-11,1,1.130276724e-09,0.2068653264
41,3,2.998536493e-11,1,1.130991859e-09,0.207028562
42,3,3.08290366e-11,1,1.131707356e-09,0.2071919265
43,3,3.167927268e-11,1,1.132423221e-09,0.2073554198
44,3,3.253611632e-11,1,1.133139461e-09,0.2075190422
45,3,3.33996279e-11,1,1.13385611e-09,0.2076827936
46,3,3.42698835e-11,1,1.134573185e-09,0.2078466743
47,3,3.514697427e-11,1,1.135290683e-09,0.2080106843
48,3,3.603100118e-11,1,1.136008602e-09,0.2081748237
49,3,3.692208718e-11,1,1.13672694e-09,0.2083390927
50,3,3.782035973e-11,1,1.137445695e-09,0.2085034913
