x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,7.172123911097e-06,-2.001163312659e-04,2.976589382103e-04,-1.601667563547e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,2.429119855543e-05,-2.308450233550e-04,3.451325059141e-04,-1.856613097657e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,4.373011553833e-05,-2.526831274768e-04,3.814012198391e-04,-2.051130682249e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,6.426206946970e-05,-2.683051698123e-04,4.104570054455e-04,-2.206740988686e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,8.545366106443e-05,-2.798906436077e-04,4.355130960590e-04,-2.340741020129e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,1.068129484130e-04,-2.889204413185e-04,4.585606248452e-04,-2.463833131129e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,1.277494934820e-04,-2.958337606442e-04,4.798650399070e-04,-2.577469868631e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,1.488383962213e-04,-3.014864916835e-04,5.008594684121e-04,-2.689366376739e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,1.707369789480e-04,-3.082058967763e-04,5.250488586444e-04,-2.818280103517e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,1.921929058869e-04,-3.135267532506e-04,5.482069093374e-04,-2.941545851189e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,2.130519029162e-04,-3.178782881282e-04,5.706687000724e-04,-3.060961275913e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,2.338101286212e-04,-3.216055841972e-04,5.931851540303e-04,-3.180516377022e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,2.545987216150e-04,-3.250759461800e-04,6.162551898298e-04,-3.302886549302e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
