step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.00000000,-0.00000000,0.00002739,0.00000000,0.00002724,0.00000015,-0.00000000,-0.00000000
2,0.00000000,-0.00000000,0.00005561,0.00000000,0.00005515,0.00000046,-0.00000000,-0.00000000
3,0.00000000,-0.00000000,0.00008465,0.00000000,0.00008370,0.00000095,-0.00000000,-0.00000000
4,0.00000000,-0.00000000,0.00011452,0.00000000,0.00011289,0.00000163,-0.00000000,-0.00000000
5,0.00000000,-0.00000000,0.00014522,0.00000000,0.00014273,0.00000250,-0.00000000,-0.00000000
6,0.00000000,-0.00000000,0.00017677,0.00000000,0.00017319,0.00000357,-0.00000000,-0.00000000
7,0.00000000,-0.00000000,0.00020916,0.00000000,0.00020430,0.00000486,-0.00000000,-0.00000000
8,0.00000000,-0.00000000,0.00024240,0.00000000,0.00023603,0.00000637,-0.00000000,-0.00000000
9,0.00000000,-0.00000000,0.00027651,0.00000000,0.00026840,0.00000811,-0.00000000,-0.00000000
10,0.00000000,-0.00000000,0.00031149,0.00000000,0.00030140,0.00001009,0.00000000,-0.00000000
11,0.00000000,-0.00000000,0.00034736,0.00000000,0.00033504,0.00001232,0.00000000,-0.00000000
12,0.00000000,-0.00000000,0.00038440,0.00000000,0.00036958,0.00001482,0.00000000,-0.00000000
13,0.00000000,-0.00000000,0.00042236,0.00000000,0.00040477,0.00001759,-0.00000000,-0.00000000
14,0.00000000,-0.00000000,0.00046125,-0.00000000,0.00044063,0.00002062,-0.00000000,-0.00000000
15,0.00000000,-0.00000000,0.00050109,-0.00000000,0.00047716,0.00002393,-0.00000000,-0.00000000
16,0.00000000,-0.00000000,0.00054189,-0.00000000,0.00051437,0.00002752,-0.00000000,-0.00000000
17,0.00000000,-0.00000000,0.00058364,-0.00000000,0.00055225,0.00003139,-0.00000000,-0.00000000
18,0.00000000,-0.00000000,0.00062637,-0.00000000,0.00059082,0.00003555,-0.00000000,-0.00000000
19,0.00000000,-0.00000000,0.00067009,-0.00000000,0.00063008,0.00004000,-0.00000000,-0.00000000
20,0.00000000,-0.00000000,0.00071479,-0.00000000,0.00067004,0.00004476,-0.00000000,-0.00000000
21,0.00000000,-0.00000000,0.00076050,-0.00000000,0.00071069,0.00004981,-0.00000000,-0.00000000
22,0.00000000,-0.00000000,0.00080722,-0.00000000,0.00075205,0.00005517,-0.00000000,-0.00000000
23,0.00000000,-0.00000000,0.00085496,-0.00000000,0.00079412,0.00006084,-0.00000000,-0.00000000
24,0.00000000,-0.00000000,0.00090372,-0.00000000,0.00083690,0.00006682,-0.00000000,-0.00000000
25,0.00000000,-0.00000000,0.00095352,-0.00000000,0.00088040,0.00007312,-0.00000000,-0.00000000
26,0.00000000,-0.00000000,0.00100435,-0.00000000,0.00092463,0.00007973,-0.00000000,-0.00000000
27,0.00000000,-0.00000000,0.00105623,-0.00000000,0.00096958,0.00008666,-0.00000000,-0.00000000
28,0.00000000,-0.00000000,0.00110916,-0.00000000,0.00101526,0.00009391,0.00000000,-0.00000000
29,0.00000000,-0.00000000,0.00116315,-0.00000000,0.00106167,0.00010148,0.00000000,-0.00000000
30,0.00000000,-0.00000000,0.00121819,-0.00000000,0.00110882,0.00010938,0.00000000,-0.00000000
31,0.00000000,-0.00000000,0.00127430,-0.00000000,0.00115671,0.00011760,0.00000000,-0.00000000
32,0.00000000,-0.00000000,0.00133148,-0.00000000,0.00120534,0.00012615,0.00000000,-0.00000000
33,0.00000000,-0.00000000,0.00138974,-0.00000000,0.00125471,0.00013502,0.00000000,-0.00000000
34,0.00000000,-0.00000000,0.00144906,-0.00000000,0.00130483,0.00014423,0.00000000,-0.00000000
35,0.00000000,-0.00000000,0.00150947,-0.00000000,0.00135571,0.00015377,0.00000000,-0.00000000
36,0.00000000,-0.00000000,0.00157096,-0.00000000,0.00140733,0.00016363,0.00000000,-0.00000000
37,0.00000000,-0.00000000,0.00163391,-0.00000001,0.00146004,0.00017387,0.00000000,-0.00000000
38,0.00000000,-0.00000000,0.00169795,-0.00000001,0.00151352,0.00018443,0.00000000,-0.00000000
39,0.00000000,-0.00000000,0.00176311,-0.00000001,0.00156778,0.00019533,0.00000000,-0.00000000
40,0.00000000,-0.00000000,0.00182937,-0.00000001,0.00162282,0.00020656,0.00000000,-0.00000000
41,0.00000000,-0.00000000,0.00189675,-0.00000001,0.00167863,0.00021812,0.00000000,-0.00000000
42,0.00000000,-0.00000000,0.00196524,-0.00000001,0.00173522,0.00023002,0.00000000,-0.00000000
43,0.00000000,-0.00000000,0.00203485,-0.00000001,0.00179260,0.00024225,0.00000000,-0.00000000
44,0.00000000,-0.00000000,0.00210558,-0.00000001,0.00185076,0.00025482,0.00000000,-0.00000000
45,0.00000000,-0.00000000,0.00217743,-0.00000001,0.00190970,0.00026772,0.00000000,-0.00000000
46,0.00000000,-0.00000000,0.00225040,-0.00000001,0.00196944,0.00028096,0.00000000,-0.00000000
47,0.00000000,-0.00000000,0.00232450,-0.00000001,0.00202996,0.00029454,0.00000000,-0.00000000
48,0.00000000,-0.00000000,0.00239973,-0.00000001,0.00209127,0.00030845,0.00000000,-0.00000000
49,0.00000000,-0.00000000,0.00247608,-0.00000001,0.00215338,0.00032270,0.00000000,-0.00000000
50,0.00000000,-0.00000000,0.00255357,-0.00000001,0.00221628,0.00033729,0.00000000,-0.00000000
51,0.00000000,-0.00000000,0.00263220,-0.00000001,0.00227998,0.00035222,0.00000000,-0.00000000
52,0.00000000,-0.00000000,0.00271196,-0.00000001,0.00234447,0.00036749,0.00000000,-0.00000000
53,0.00000000,-0.00000000,0.00279286,-0.00000001,0.00240976,0.00038310,0.00000000,-0.00000001
54,0.00000000,-0.00000000,0.00287490,-0.00000002,0.00247585,0.00039904,0.00000000,-0.00000001
55,0.00000000,-0.00000000,0.00295808,-0.00000002,0.00254275,0.00041533,0.00000000,-0.00000001
56,0.00000000,-0.00000001,0.00304241,-0.00000002,0.00261045,0.00043196,0.00000000,-0.00000001
57,0.00000000,-0.00000001,0.00312788,-0.00000002,0.00267895,0.00044893,0.00000000,-0.00000001
58,0.00000000,-0.00000001,0.00321451,-0.00000002,0.00274826,0.00046625,0.00000000,-0.00000001
59,0.00000000,-0.00000001,0.00330229,-0.00000002,0.00281838,0.00048391,0.00000000,-0.00000001
60,0.00000000,-0.00000001,0.00339122,-0.00000002,0.00288931,0.00050191,0.00000000,-0.00000001
61,0.00000000,-0.00000001,0.00348131,-0.00000002,0.00296105,0.00052026,0.00000000,-0.00000001
62,0.00000000,-0.00000001,0.00357255,-0.00000003,0.00303361,0.00053895,0.00000000,-0.00000001
63,0.00000000,-0.00000001,0.00366496,-0.00000003,0.00310698,0.00055799,0.00000000,-0.00000001
64,0.00000000,-0.00000001,0.00375892,-0.00000003,0.00318158,0.00057735,0.00000000,-0.00000001
65,0.00000000,-0.00000001,0.00385407,-0.00000003,0.00325701,0.00059706,0.00000000,-0.00000001
66,0.00000000,-0.00000001,0.00395039,-0.00000003,0.00333328,0.00061711,0.00000000,-0.00000001
67,0.00000000,-0.00000001,0.00404790,-0.00000003,0.00341039,0.00063751,0.00000000,-0.00000001
