x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,2.007134067334e-04,-4.338050847710e-04,4.773707049652e-05,-2.193703083935e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,3.103143860298e-04,-1.297643030923e-03,1.332512887893e-04,-6.588271324972e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,5.245010621351e-04,-2.134972703725e-03,2.195643576004e-04,-1.092541466338e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,8.379131013157e-04,-2.924059032036e-03,3.037892202800e-04,-1.514291426889e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.241186852056e-03,-3.646043965717e-03,3.846699271384e-04,-1.918796856131e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.722391587280e-03,-4.283381620957e-03,4.611024531793e-04,-2.300799198827e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.267030232533e-03,-4.821960238778e-03,5.321858110651e-04,-2.655904371225e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,2.858559273512e-03,-5.250090325739e-03,5.970792756976e-04,-2.979967345944e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.478253403335e-03,-5.560242918002e-03,6.550978762862e-04,-3.269615802934e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,4.106557968970e-03,-5.748674368545e-03,7.056836468711e-04,-3.522091825197e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,4.722973779468e-03,-5.814048066122e-03,7.482453098222e-04,-3.734462546173e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,5.307725013518e-03,-5.759806157350e-03,7.824149073336e-04,-3.904904064036e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,5.842863706809e-03,-5.592016024009e-03,8.079317597555e-04,-4.032124307875e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,6.311624811045e-03,-5.321814552631e-03,8.247592850286e-04,-4.115965874336e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.700320617327e-03,-4.961400884343e-03,8.329226523557e-04,-4.156547756842e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.997946801232e-03,-4.525589821938e-03,8.326033320813e-04,-4.154782547126e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.196918280989e-03,-4.030536367631e-03,8.241243320501e-04,-4.112289510179e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.291134946186e-03,-3.493646035242e-03,8.077864055944e-04,-4.030588164520e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.278550736230e-03,-2.933185989002e-03,7.840684420349e-04,-3.912077980946e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.160783579852e-03,-2.367453817543e-03,7.535765504208e-04,-3.759776153192e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,6.949120164458e-03,-1.813968198310e-03,7.176196713141e-04,-3.580230190923e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,6.649870998387e-03,-1.290258812013e-03,6.768568320925e-04,-3.376761707491e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,6.270600744592e-03,-8.060800678290e-04,6.317342848687e-04,-3.151523264225e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
