x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206471291540e+01,1.272282973647e+00,-4.397191980996e-02,1.006303388650e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205526987495e+01,1.253396892748e+00,-1.318766939245e-01,1.006179966792e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203658224578e+01,1.216021634422e+00,-2.186284275567e-01,1.005936079651e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200882793813e+01,1.160513019126e+00,-3.029856195600e-01,1.005573576394e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197228573749e+01,1.087428617841e+00,-3.838908996355e-01,1.005096053612e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.192752668081e+01,9.979105044863e-01,-4.602921865533e-01,1.004510908863e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.187537146880e+01,8.936000804535e-01,-5.313224400340e-01,1.003828832270e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.181649036373e+01,7.758378703079e-01,-5.961667836535e-01,1.003058399756e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.175211602282e+01,6.470891885023e-01,-6.540992752728e-01,1.002215837476e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.168335140833e+01,5.095599595101e-01,-7.045887952260e-01,1.001315693429e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.161152471869e+01,3.659065802289e-01,-7.470570210989e-01,1.000375463058e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.153802233136e+01,2.189018055867e-01,-7.811388325876e-01,9.994134702751e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.146408705108e+01,7.103124501123e-02,-8.065775111728e-01,9.984461227581e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.139098150054e+01,-7.517985605926e-02,-8.233434315757e-01,9.974898496131e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.131983581760e+01,-2.174712219336e-01,-8.314593841955e-01,9.965594757314e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.125173980330e+01,-3.536632505443e-01,-8.311076758709e-01,9.956693401670e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
