step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488077e-04,3.176047801085e+02,-1.748461695024e-04,0.000000000000e+00,3.176047801085e+02,1.183291357832e-30,-2.314513488077e-04
2,0.000000000000e+00,-1.340294951894e-04,2.563816731315e+02,-1.002276523670e-04,1.815447507243e-02,2.563635186564e+02,-1.030760052948e-07,-1.339264191841e-04
3,0.000000000000e+00,-7.588063351541e-05,2.109737829558e+02,-5.575049650648e-05,3.240976604325e-02,2.109413731897e+02,-1.288780719078e-07,-7.575175544350e-05
4,0.000000000000e+00,-4.205734811226e-05,1.769367148391e+02,-2.990655240812e-05,4.423562300437e-02,1.768924792161e+02,-3.409160571222e-07,-4.171643205514e-05
5,0.000000000000e+00,-2.210635176262e-05,1.511211271552e+02,-1.468090761501e-05,5.435558861814e-02,1.510667715666e+02,-2.370612943417e-07,-2.186929046828e-05
6,0.000000000000e+00,-1.002946556169e-05,1.312883727157e+02,-5.476912466149e-06,6.319334299296e-02,1.312251793727e+02,-1.514441191738e-07,-9.878021442512e-06
7,0.000000000000e+00,-1.112532813439e-06,1.158411498852e+02,1.302057428210e-06,7.103304879455e-02,1.157701168364e+02,2.469295770195e-07,-1.359462390459e-06
8,0.000000000000e+00,4.071763543271e-06,1.036341180668e+02,5.243760275733e-06,7.805963079431e-02,1.035560584360e+02,4.692526551426e-07,3.602510888129e-06
9,0.000000000000e+00,7.015815025224e-06,9.384346645260e+01,7.486079224329e-06,8.434810250691e-02,9.375911835009e+01,6.135098495797e-07,6.402305175644e-06
10,0.000000000000e+00,8.612059309179e-06,8.587287104964e+01,8.707638750122e-06,9.006632521023e-02,8.578280472443e+01,7.277590573348e-07,7.884300251844e-06
11,0.000000000000e+00,9.371896606309e-06,7.928774190938e+01,9.297465071018e-06,9.534023226226e-02,7.919240167711e+01,8.283871995212e-07,8.543509406787e-06
12,0.000000000000e+00,9.633667530342e-06,7.376924779006e+01,9.510616541204e-06,1.002464272694e-01,7.366900136279e+01,8.663929531446e-07,8.767274577198e-06
13,0.000000000000e+00,9.624951827104e-06,6.908172827512e+01,9.520714076318e-06,1.048481977935e-01,6.897688007733e+01,9.034142609561e-07,8.721537566148e-06
14,0.000000000000e+00,9.429500852819e-06,6.504956087498e+01,9.389442959220e-06,1.091968815898e-01,6.494036399339e+01,9.439148313659e-07,8.485586021453e-06
15,0.000000000000e+00,9.134789220530e-06,6.154068564094e+01,9.181275974150e-06,1.133309262718e-01,6.142735471466e+01,9.858843682190e-07,8.148904852311e-06
16,0.000000000000e+00,8.793493434334e-06,5.845486387211e+01,8.937115807114e-06,1.172771965898e-01,5.833758667552e+01,1.025262176757e-06,7.768231257577e-06
17,0.000000000000e+00,8.435284330051e-06,5.571525201777e+01,8.678474323280e-06,1.210594328077e-01,5.559419258496e+01,1.062543864891e-06,7.372740465160e-06
18,0.000000000000e+00,8.079178721642e-06,5.326233999228e+01,8.418247327755e-06,1.247099218169e-01,5.313763007047e+01,1.099789189797e-06,6.979389531845e-06
19,0.000000000000e+00,7.732599325258e-06,5.104951554528e+01,8.164392860766e-06,1.282415402093e-01,5.092127400507e+01,1.133028877403e-06,6.599570447855e-06
20,0.000000000000e+00,7.399107211162e-06,4.903988750068e+01,7.918947991343e-06,1.316630323634e-01,4.890822446831e+01,1.160585671227e-06,6.238521539935e-06
21,0.000000000000e+00,7.082001126834e-06,4.720394368603e+01,7.683983696881e-06,1.349820922486e-01,4.706896159378e+01,1.184086930062e-06,5.897914196772e-06
22,0.000000000000e+00,6.782844898926e-06,4.551782170593e+01,7.460961718758e-06,1.382062138574e-01,4.537961549208e+01,1.204027084243e-06,5.578817814683e-06
23,0.000000000000e+00,6.502498031246e-06,4.396202593885e+01,7.249872304875e-06,1.413420158161e-01,4.382068392304e+01,1.221766030519e-06,5.280732000727e-06
24,0.000000000000e+00,6.241187697368e-06,4.252046988897e+01,7.051228818710e-06,1.443954139679e-01,4.237607447500e+01,1.238094339543e-06,5.003093357825e-06
25,0.000000000000e+00,5.997591318451e-06,4.117975258958e+01,6.864257182146e-06,1.473712949111e-01,4.103238129467e+01,1.252790293950e-06,4.744801024501e-06
