x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,7.846507965206e-05,-7.307848419192e-05,1.601714232754e-05,-6.063056503605e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,8.880424580933e-05,-2.108554290688e-04,3.417735913149e-05,-1.751467156926e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,1.203376775785e-04,-3.357760620378e-04,5.328431285600e-05,-2.809915626156e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,1.719746813308e-04,-4.432572282935e-04,7.102883182485e-05,-3.767406909702e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,2.308100170684e-04,-5.348981381581e-04,8.703703880097e-05,-4.630390571925e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,2.937485947211e-04,-6.080669547485e-04,1.008979395683e-04,-5.376225083716e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.595246404479e-04,-6.591717543166e-04,1.121926437249e-04,-5.979732973923e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,4.181981999931e-04,-6.971836094647e-04,1.214880288199e-04,-6.480297767435e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,4.738344462955e-04,-7.210850211976e-04,1.289466391857e-04,-6.881896952464e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,5.255759098318e-04,-7.280442908558e-04,1.342018884392e-04,-7.161710380377e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,5.696022811286e-04,-7.285629620259e-04,1.382281614363e-04,-7.377070482137e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
