step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,50,1.0495000000000001,0,9.0524195634666035e-05,9.1320580580241096e-05,7.1094352181517748e-05,0.010103473397681985,0.010104541710686955,0.12177660944229707
2,0,50,1.099,0,8.5823238568898992e-05,8.6929178549993713e-05,0.00012804075478119019,0.0095793309111471773,0.009580965371532588,0.12087411625939268
3,0,50,1.1485000000000001,0,8.1477788918865829e-05,8.2421151409813333e-05,0.00017255430041791507,0.0090953904317007082,0.0090977653282524468,0.11996586191847838
4,0,50,1.198,0,7.7569763650256639e-05,7.7945070822394295e-05,0.00020637685084555528,0.0086606649231034376,0.0086638213749555965,0.11905216298970575
5,0,50,1.2475000000000001,0,7.4131703689481738e-05,7.3632014493594614e-05,0.00023120699831548724,0.0082786264813517925,0.0082825135240975917,0.11813332685896864
6,0,50,1.2969999999999999,0,7.1156449318765972e-05,6.9589695015958292e-05,0.00024864812040439465,0.0079483258644130594,0.0079528369718365483,0.11720965207030569
7,0,50,1.3465,0,6.8608284714888104e-05,6.5900677781363385e-05,0.00026017128848193464,0.0076656600130967922,0.0076706637608361531,0.11628142865265589
8,0,50,1.3959999999999999,0,6.6434183253878998e-05,6.2622918265334984e-05,0.00026709035008920062,0.0074246358920114332,0.0074299993616858311,0.11534893843224558
9,0,50,1.4455,0,6.4573819465821663e-05,5.9791618116152118e-05,0.00027054716018718984,0.007218485230876215,0.0072240895350224417,0.11441245533165532
10,0,50,1.4950000000000001,0,6.2967385341508643e-05,5.7421853134395429e-05,0.00027150554225421886,0.0070405275876966739,0.0070462760472058466,0.11347224565643979
11,0,50,1.5445,0,6.1560815656072428e-05,5.5511671110363961e-05,0.00027075299863210656,0.0068847422249998531,0.0068905626744568483,0.11252856837004852
12,0,50,1.5940000000000001,0,6.0308564763931807e-05,5.4045458450569399e-05,0.00026890936883434497,0.0067460679453164038,0.0067519110632498248,0.11158167535767625
13,0,50,1.6435,0,5.9174428246521632e-05,5.299738717487191e-05,0.00026644152123673939,0.0066204875047527695,0.0066263229789101106,0.11063181167961418
14,0,50,1.6930000000000001,0,5.813103160050611e-05,5.2334734893261937e-05,0.00026368281690961206,0.0065049662492723589,0.0065107781926139344,0.10967921581460872
15,0,50,1.7424999999999999,0,5.7158568564222413e-05,5.2020870032460701e-05,0.00026085566847789879,0.0063973094426282391,0.0064030919919517574,0.10872411989364143
16,0,50,1.792,0,5.6243242714989935e-05,5.2017731257873712e-05,0.00025809522349061785,0.0062959881141884787,0.0063017417136143859,0.10776674992458871
17,0,50,1.8415000000000001,0,5.537572978232343e-05,5.2287739670436875e-05,0.00025547218932415729,0.006199968131704669,0.0062056966855334079,0.10680732600812716
