step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,1.743454457609e-07,1.119437754383e+01,-3.115319417366e-16,1.119437754383e+01,0.000000000000e+00,1.743454457609e-07,0.000000000000e+00
3,0.000000000000e+00,4.819706732329e-07,1.993071234941e+01,-6.594930764686e-16,1.993071234941e+01,0.000000000000e+00,4.819706732329e-07,0.000000000000e+00
4,0.000000000000e+00,1.018736844605e-06,2.626376038463e+01,-6.397334918751e-16,2.626376038463e+01,0.000000000000e+00,1.018736844605e-06,0.000000000000e+00
5,0.000000000000e+00,1.536902975774e-06,3.049928142837e+01,-9.275891686700e-16,3.049928142837e+01,0.000000000000e+00,1.536902975774e-06,0.000000000000e+00
6,0.000000000000e+00,2.500491600221e-06,3.302421727339e+01,-1.112174588536e-15,3.302421727339e+01,0.000000000000e+00,2.500491600221e-06,0.000000000000e+00
7,0.000000000000e+00,3.403513103628e-06,3.426761390171e+01,-1.102796239744e-15,3.426761390171e+01,0.000000000000e+00,3.403513103628e-06,0.000000000000e+00
8,0.000000000000e+00,3.899899445214e-06,3.459053397290e+01,-1.071354376742e-15,3.459053397290e+01,0.000000000000e+00,3.899899445214e-06,0.000000000000e+00
9,0.000000000000e+00,4.052573457092e-06,3.429941814466e+01,-1.070378594786e-15,3.429941814466e+01,0.000000000000e+00,4.052573457092e-06,0.000000000000e+00
10,0.000000000000e+00,3.981440852452e-06,3.360501669175e+01,-1.082304818684e-15,3.360501669175e+01,0.000000000000e+00,3.981440852452e-06,0.000000000000e+00
11,0.000000000000e+00,4.471741760881e-06,3.268394263745e+01,-7.886486602660e-16,3.268394263745e+01,0.000000000000e+00,4.471741760881e-06,0.000000000000e+00
12,0.000000000000e+00,4.067145700115e-06,3.176753352472e+01,-9.441232518004e-16,3.176753352472e+01,0.000000000000e+00,4.067145700115e-06,0.000000000000e+00
13,0.000000000000e+00,3.534838090236e-06,3.101312943896e+01,-8.984783403387e-16,3.101312943896e+01,0.000000000000e+00,3.534838090236e-06,0.000000000000e+00
14,0.000000000000e+00,3.471956239343e-06,3.051231692984e+01,-1.031238896360e-15,3.051231692984e+01,0.000000000000e+00,3.471956239343e-06,0.000000000000e+00
15,0.000000000000e+00,3.928847994272e-06,3.027447404515e+01,-8.662775358159e-16,3.027447404515e+01,0.000000000000e+00,3.928847994272e-06,0.000000000000e+00
16,0.000000000000e+00,4.531308060385e-06,3.025349034192e+01,-7.130255587351e-16,3.025349034192e+01,0.000000000000e+00,4.531308060385e-06,0.000000000000e+00
17,0.000000000000e+00,5.249158071929e-06,3.035631874742e+01,-8.322877977085e-16,3.035631874742e+01,0.000000000000e+00,5.249158071929e-06,0.000000000000e+00
18,0.000000000000e+00,5.802296281165e-06,3.048929344443e+01,-9.262881260630e-16,3.048929344443e+01,0.000000000000e+00,5.802296281165e-06,0.000000000000e+00
19,0.000000000000e+00,6.023815771472e-06,3.058343235889e+01,-9.349617434429e-16,3.058343235889e+01,0.000000000000e+00,6.023815771472e-06,0.000000000000e+00
20,0.000000000000e+00,6.318294064056e-06,3.060260412773e+01,-1.006464876718e-15,3.060260412773e+01,0.000000000000e+00,6.318294064056e-06,0.000000000000e+00
21,0.000000000000e+00,6.891653213825e-06,3.054213588536e+01,-7.791076811481e-16,3.054213588536e+01,0.000000000000e+00,6.891653213825e-06,0.000000000000e+00
22,0.000000000000e+00,7.729154074876e-06,3.042140219920e+01,-9.712825162211e-16,3.042140219920e+01,0.000000000000e+00,7.729154074876e-06,0.000000000000e+00
23,0.000000000000e+00,8.994660908479e-06,3.026807971863e+01,-8.295230821687e-16,3.026807971863e+01,0.000000000000e+00,8.994660908479e-06,0.000000000000e+00
24,0.000000000000e+00,1.082758105392e-05,3.010589463296e+01,-8.126637383865e-16,3.010589463296e+01,0.000000000000e+00,1.082758105392e-05,0.000000000000e+00
25,0.000000000000e+00,1.355375286205e-05,2.994905073477e+01,-9.188613411815e-16,2.994905073477e+01,0.000000000000e+00,1.355375286205e-05,0.000000000000e+00
26,0.000000000000e+00,1.771011705937e-05,2.980186834444e+01,-8.186268503352e-16,2.980186834444e+01,0.000000000000e+00,1.771011705937e-05,0.000000000000e+00
27,0.000000000000e+00,2.381716644262e-05,2.966097998242e+01,-7.744456118064e-16,2.966097998242e+01,0.000000000000e+00,2.381716644262e-05,0.000000000000e+00
28,0.000000000000e+00,3.214226111958e-05,2.951918182211e+01,-1.027877869625e-15,2.951918182211e+01,0.000000000000e+00,3.214226111958e-05,0.000000000000e+00
29,0.000000000000e+00,4.302340349666e-05,2.936894655615e+01,-9.712825162211e-16,2.936894655615e+01,0.000000000000e+00,4.302340349666e-05,0.000000000000e+00
30,0.000000000000e+00,5.697113018571e-05,2.920472364699e+01,-9.190781816160e-16,2.920472364699e+01,0.000000000000e+00,5.697113018571e-05,0.000000000000e+00
31,0.000000000000e+00,7.439415996741e-05,2.902383101644e+01,-8.747885228699e-16,2.902383101644e+01,0.000000000000e+00,7.439415996741e-05,0.000000000000e+00
32,0.000000000000e+00,9.492003825828e-05,2.882596395633e+01,-6.889020603973e-16,2.882596395633e+01,0.000000000000e+00,9.492003825828e-05,0.000000000000e+00
33,0.000000000000e+00,1.181484718286e-04,2.861187424975e+01,-7.571525871553e-16,2.861187424975e+01,0.000000000000e+00,1.181484718286e-04,0.000000000000e+00
34,0.000000000000e+00,1.435274190493e-04,2.838232676154e+01,-8.264873160857e-16,2.838232676154e+01,0.000000000000e+00,1.435274190493e-04,0.000000000000e+00
35,0.000000000000e+00,1.705745925938e-04,2.813750902746e+01,-7.337880303382e-16,2.813750902746e+01,0.000000000000e+00,1.705745925938e-04,0.000000000000e+00
36,0.000000000000e+00,1.986304887098e-04,2.787684349752e+01,-9.712825162211e-16,2.787684349752e+01,0.000000000000e+00,1.986304887098e-04,0.000000000000e+00
37,0.000000000000e+00,2.273390861682e-04,2.759915166649e+01,-8.965267764283e-16,2.759915166649e+01,0.000000000000e+00,2.273390861682e-04,0.000000000000e+00
38,0.000000000000e+00,2.562411072683e-04,2.730295080619e+01,-8.528876389857e-16,2.730295080619e+01,0.000000000000e+00,2.562411072683e-04,0.000000000000e+00
39,0.000000000000e+00,2.867632602489e-04,2.698672759719e+01,-7.345198668046e-16,2.698672759719e+01,0.000000000000e+00,2.867632602489e-04,0.000000000000e+00
40,0.000000000000e+00,3.202373426082e-04,2.664906775744e+01,-7.704340637682e-16,2.664906775744e+01,0.000000000000e+00,3.202373426082e-04,0.000000000000e+00
41,0.000000000000e+00,3.595900067401e-04,2.628871248599e+01,-8.691506715730e-16,2.628871248599e+01,0.000000000000e+00,3.595900067401e-04,0.000000000000e+00
42,0.000000000000e+00,4.068345751964e-04,2.590453086089e+01,-8.457319046473e-16,2.590453086089e+01,0.000000000000e+00,4.068345751964e-04,0.000000000000e+00
43,0.000000000000e+00,4.570887523858e-04,2.549540414407e+01,-7.193681414441e-16,2.549540414407e+01,0.000000000000e+00,4.570887523858e-04,0.000000000000e+00
44,0.000000000000e+00,5.204880579682e-04,2.506012240989e+01,-6.044969212693e-16,2.506012240989e+01,0.000000000000e+00,5.204880579682e-04,0.000000000000e+00
45,0.000000000000e+00,6.004824526828e-04,2.459741031119e+01,-6.995814517963e-16,2.459741031119e+01,0.000000000000e+00,6.004824526828e-04,0.000000000000e+00
46,0.000000000000e+00,6.995655850997e-04,2.410595901071e+01,-7.544962918327e-16,2.410595901071e+01,0.000000000000e+00,6.995655850997e-04,0.000000000000e+00
47,0.000000000000e+00,8.179371921252e-04,2.358448653068e+01,-7.313011416051e-16,2.358448653068e+01,0.000000000000e+00,8.179371921252e-04,0.000000000000e+00
48,0.000000000000e+00,9.591000576276e-04,2.303173009618e+01,-6.140760168698e-16,2.303173009618e+01,0.000000000000e+00,9.591000576276e-04,0.000000000000e+00
49,0.000000000000e+00,1.124395494002e-03,2.244651624983e+01,-5.345015066400e-16,2.244651624983e+01,0.000000000000e+00,1.124395494002e-03,0.000000000000e+00
50,0.000000000000e+00,1.310713880279e-03,2.182772717083e+01,-6.970335766909e-16,2.182772717083e+01,0.000000000000e+00,1.310713880279e-03,0.000000000000e+00
51,0.000000000000e+00,1.528565710238e-03,2.117447067688e+01,-6.444904289069e-16,2.117447067688e+01,0.000000000000e+00,1.528565710238e-03,0.000000000000e+00
52,0.000000000000e+00,1.788020689717e-03,2.048606595337e+01,-5.065121499309e-16,2.048606595337e+01,0.000000000000e+00,1.788020689717e-03,0.000000000000e+00
53,0.000000000000e+00,2.098418034185e-03,1.976198833940e+01,-5.060513640076e-16,1.976198833940e+01,0.000000000000e+00,2.098418034185e-03,0.000000000000e+00
54,0.000000000000e+00,2.470830010395e-03,1.900191443818e+01,-4.456070928915e-16,1.900191443818e+01,0.000000000000e+00,2.470830010395e-03,0.000000000000e+00
55,0.000000000000e+00,2.921483086432e-03,1.820581426645e+01,-4.463389293580e-16,1.820581426645e+01,0.000000000000e+00,2.921483086432e-03,0.000000000000e+00
56,0.000000000000e+00,3.470978683404e-03,1.737405871041e+01,-4.045226068179e-16,1.737405871041e+01,0.000000000000e+00,3.470978683404e-03,0.000000000000e+00
57,0.000000000000e+00,4.126068864961e-03,1.650732778630e+01,-2.916503843986e-16,1.650732778630e+01,0.000000000000e+00,4.126068864961e-03,0.000000000000e+00
58,0.000000000000e+00,4.904390223842e-03,1.560649732347e+01,-3.349100510808e-16,1.560649732347e+01,0.000000000000e+00,4.904390223842e-03,0.000000000000e+00
