x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,8.544388376306e-01,1.351734818118e+00,-4.561214141426e-02,2.451220762280e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,8.380336828008e-01,1.318924508459e+00,-4.845898899847e-02,2.399657584045e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,8.210202851958e-01,1.284897713249e+00,-5.003392113374e-02,2.345404454881e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,8.042247295884e-01,1.251306602034e+00,-5.090632776871e-02,2.290728907534e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,7.884047304445e-01,1.219666603746e+00,-5.156705366970e-02,2.238217330435e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,7.729513934187e-01,1.188759929694e+00,-5.232823324751e-02,2.186769220854e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,7.572935269088e-01,1.157444196675e+00,-5.305991950352e-02,2.135218787009e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,7.436867756451e-01,1.130230694147e+00,-5.407328520083e-02,2.090270689696e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,7.311228960923e-01,1.105102935042e+00,-5.585667900797e-02,2.049122993186e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,7.179156516100e-01,1.078688446077e+00,-5.760852429040e-02,2.006920944226e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
