x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,6.177818340789e-04,-2.635628550370e-04,9.614831748274e-04,-2.280607070713e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,6.707327428943e-04,-2.342729230817e-04,1.016098178594e-03,-2.422949449924e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,7.358380187811e-04,-1.909353558022e-04,1.085955183054e-03,-2.501696056687e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,8.032647911145e-04,-1.361382815812e-04,1.162130445298e-03,-2.545316388436e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,8.638881191533e-04,-7.427828255841e-05,1.234766830674e-03,-2.578352683485e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,9.228762758007e-04,-8.123564770836e-06,1.312021852474e-03,-2.616411662376e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,9.838826155286e-04,6.217273935666e-05,1.399102712685e-03,-2.652995975176e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,1.026196460431e-03,1.277396396308e-04,1.465280605547e-03,-2.703664260042e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,1.056588899656e-03,1.862177593358e-04,1.518080893693e-03,-2.792833950399e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,1.090612318705e-03,2.456337711020e-04,1.579765479733e-03,-2.880426214520e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
