step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488040e-04,3.176047801085e+02,-1.748461694842e-04,-1.155557966632e-33,3.176047801085e+02,2.465190328816e-32,-2.314513488040e-04
2,0.000000000000e+00,-2.085616096518e-04,3.025357018180e+02,-1.575508385443e-04,4.533241592597e-04,3.025352484938e+02,-1.256259179322e-08,-2.085490470600e-04
3,0.000000000000e+00,-1.878783520759e-04,2.884649363762e+02,-1.419227682433e-04,7.970368210414e-04,2.884641393394e+02,-2.146366019640e-08,-1.878568884157e-04
4,0.000000000000e+00,-1.691915814663e-04,2.753193942387e+02,-1.278032489402e-04,1.056613035312e-03,2.753183376257e+02,-2.751272937251e-08,-1.691640687369e-04
5,0.000000000000e+00,-1.523134278835e-04,2.630316266180e+02,-1.150503714396e-04,1.251886547119e-03,2.630303747314e+02,-3.257579261895e-08,-1.522808520908e-04
6,0.000000000000e+00,-1.370696436904e-04,2.515393606494e+02,-1.035326898489e-04,1.398174009341e-03,2.515379624754e+02,-3.344213347911e-08,-1.370362015569e-04
7,0.000000000000e+00,-1.233061057879e-04,2.407850727523e+02,-9.313331031890e-05,1.507333382070e-03,2.407835654189e+02,-3.014276445112e-08,-1.232759630234e-04
8,0.000000000000e+00,-1.108889722811e-04,2.307156048815e+02,-8.375165087315e-05,1.588482764739e-03,2.307140163988e+02,-2.478742297529e-08,-1.108641848582e-04
9,0.000000000000e+00,-9.969971952190e-05,2.212818184400e+02,-7.529719334176e-05,1.648627708189e-03,2.212801698123e+02,-1.951697287117e-08,-9.968020254902e-05
10,0.000000000000e+00,-8.963152630873e-05,2.124382798751e+02,-6.768949655012e-05,1.693139298079e-03,2.124365867358e+02,-1.429409937637e-08,-8.961723220935e-05
11,0.000000000000e+00,-8.058898230595e-05,2.041429732516e+02,-6.085767431863e-05,1.726125479442e-03,2.041412471261e+02,-7.243911970267e-09,-8.058173839398e-05
12,0.000000000000e+00,-7.249357894726e-05,1.963570363781e+02,-5.474123300075e-05,1.750715379026e-03,1.963552856627e+02,-8.005759666307e-10,-7.249277837129e-05
13,0.000000000000e+00,-6.527599366590e-05,1.890445180547e+02,-4.928749269251e-05,1.769284806787e-03,1.890427487699e+02,4.146077703382e-09,-6.528013974361e-05
14,0.000000000000e+00,-5.886933222921e-05,1.821721543069e+02,-4.444730438724e-05,1.783625817944e-03,1.821703706811e+02,1.031616148062e-08,-5.887964839069e-05
15,0.000000000000e+00,-5.320227576119e-05,1.757091622112e+02,-4.016629766657e-05,1.795084082027e-03,1.757073671271e+02,1.684713715755e-08,-5.321912289835e-05
16,0.000000000000e+00,-4.798612567422e-05,1.696270498442e+02,-3.622507265355e-05,1.804657521391e-03,1.696252451867e+02,2.238272336919e-08,-4.800850839759e-05
17,0.000000000000e+00,-4.269245989799e-05,1.638994415535e+02,-3.222509004264e-05,1.813076233654e-03,1.638976284773e+02,2.809566621020e-08,-4.272055556420e-05
18,0.000000000000e+00,-3.785327843708e-05,1.585019154808e+02,-2.857011609247e-05,1.820869065907e-03,1.585000946117e+02,3.742367349346e-08,-3.789070211058e-05
19,0.000000000000e+00,-3.347806121975e-05,1.534118527150e+02,-2.526481027854e-05,1.828419508618e-03,1.534100242955e+02,4.406003997759e-08,-3.352212125973e-05
20,0.000000000000e+00,-2.953704825359e-05,1.486083003361e+02,-2.228721592523e-05,1.835997453317e-03,1.486064643387e+02,4.781640006168e-08,-2.958486465365e-05
21,0.000000000000e+00,-2.598504760604e-05,1.440718446398e+02,-1.960438421200e-05,1.843776817276e-03,1.440700008630e+02,5.216023574173e-08,-2.603720784178e-05
22,0.000000000000e+00,-2.276109102245e-05,1.397844939524e+02,-1.716830571930e-05,1.851866218550e-03,1.397826420861e+02,5.131022157157e-08,-2.281240124402e-05
23,0.000000000000e+00,-1.962515603582e-05,1.357295699977e+02,-1.480011025201e-05,1.860326035481e-03,1.357277096717e+02,5.897601740301e-08,-1.968413205322e-05
24,0.000000000000e+00,-1.659918003571e-05,1.318916078986e+02,-1.251449586448e-05,1.869180498506e-03,1.318897387181e+02,6.463298751758e-08,-1.666381302323e-05
