x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,5.756635643500e-03,1.162748823443e-04,7.579787241188e-03,-6.972492861602e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,5.719954804808e-03,3.550922701364e-04,7.547011061730e-03,-1.957791344226e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,5.635161314977e-03,5.737161326734e-04,7.463463833868e-03,-3.122782403430e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,5.511201249132e-03,7.730669440226e-04,7.338238801096e-03,-4.192114378240e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,5.354046007420e-03,9.512529812600e-04,7.176993214129e-03,-5.191418055440e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,5.174942401621e-03,1.101054791045e-03,6.990473320937e-03,-6.083209648787e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,4.988641430688e-03,1.221817416498e-03,6.794015537405e-03,-6.802715525643e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,4.797124726272e-03,1.322884668727e-03,6.590102262431e-03,-7.438862787066e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,4.598917584231e-03,1.401708500309e-03,6.375170687108e-03,-8.031688082523e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,4.406760646227e-03,1.460426484169e-03,6.163687266173e-03,-8.456788680518e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
