step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,7.888609052210e-31,-1.479114197289e-31,3.944304526105e-31,-1.479114197289e-31,0.000000000000e+00,7.888609052210e-31,0.000000000000e+00
2,0.000000000000e+00,3.369213207038e-08,2.967533323257e-01,3.272842952207e-08,2.967533323257e-01,0.000000000000e+00,3.369213207038e-08,0.000000000000e+00
3,0.000000000000e+00,-1.128772954426e-06,5.295398933482e-01,-9.087586471945e-07,5.295398933482e-01,0.000000000000e+00,-1.128772954426e-06,0.000000000000e+00
4,0.000000000000e+00,-4.571791114821e-06,7.059679184075e-01,-3.451132042698e-06,7.059679184075e-01,0.000000000000e+00,-4.571791114821e-06,0.000000000000e+00
5,0.000000000000e+00,-6.338050248342e-06,8.329434895997e-01,-4.871819419550e-06,8.329434895997e-01,0.000000000000e+00,-6.338050248342e-06,0.000000000000e+00
6,0.000000000000e+00,-5.336780067949e-06,9.179226956619e-01,-3.902488946328e-06,9.179226956619e-01,0.000000000000e+00,-5.336780067949e-06,0.000000000000e+00
7,0.000000000000e+00,-2.588090986355e-06,9.685617588046e-01,-2.022712718597e-06,9.685617588046e-01,0.000000000000e+00,-2.588090986355e-06,0.000000000000e+00
8,0.000000000000e+00,-3.292255104093e-07,9.923977717328e-01,-5.143384135264e-08,9.923977717328e-01,0.000000000000e+00,-3.292255104093e-07,0.000000000000e+00
9,0.000000000000e+00,-6.891257488248e-06,9.966950850756e-01,-5.104213301077e-06,9.966950850756e-01,0.000000000000e+00,-6.891257488248e-06,0.000000000000e+00
10,0.000000000000e+00,-1.804755720855e-06,9.872072708172e-01,-1.574140057581e-06,9.872072708172e-01,0.000000000000e+00,-1.804755720855e-06,0.000000000000e+00
11,0.000000000000e+00,-2.146575823481e-07,9.676272124931e-01,-4.118695078326e-07,9.676272124931e-01,0.000000000000e+00,-2.146575823481e-07,0.000000000000e+00
12,0.000000000000e+00,-3.860918555143e-07,9.446066357928e-01,-3.915848259539e-07,9.446066357928e-01,0.000000000000e+00,-3.860918555143e-07,0.000000000000e+00
