x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,1.690653097042e-05,-7.338437344718e-05,1.126434082003e-05,-5.913327626850e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,4.050782944209e-05,-2.113374065474e-04,3.218736114574e-05,-1.714931508084e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,7.663972053217e-05,-3.333804934720e-04,5.116834132318e-05,-2.731859602878e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,1.243827219226e-04,-4.397627907821e-04,6.836179310715e-05,-3.652216528389e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,1.809149621468e-04,-5.309341842719e-04,8.390414439135e-05,-4.484040495645e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,2.419839687847e-04,-6.040055340408e-04,9.733318547164e-05,-5.202559954346e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.024150123270e-04,-6.567283305030e-04,1.081556492100e-04,-5.781305224237e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.617576674373e-04,-6.948840958437e-04,1.171926373141e-04,-6.264643359353e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,4.173652381226e-04,-7.201495268661e-04,1.245163469193e-04,-6.656586896940e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,4.662040626318e-04,-7.296463464871e-04,1.295327684609e-04,-6.924718061675e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,5.087570420492e-04,-7.312357337449e-04,1.332661953657e-04,-7.124312419606e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,5.454983904184e-04,-7.245985168630e-04,1.356880253506e-04,-7.253921528648e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,5.771587161866e-04,-7.130205876680e-04,1.372405962139e-04,-7.336920024453e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,6.019901832777e-04,-6.964647069232e-04,1.377271918765e-04,-7.362891852049e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,6.236223510817e-04,-6.785612985215e-04,1.378837055159e-04,-7.371193359366e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
