step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488058e-04,3.176047801085e+02,-1.748461694930e-04,0.000000000000e+00,3.176047801085e+02,0.000000000000e+00,-2.314513488058e-04
2,0.000000000000e+00,-1.778132881434e-04,2.825252781979e+02,-1.343040651705e-04,1.239765955101e-03,2.825240384319e+02,-2.829427514506e-08,-1.777849938682e-04
3,0.000000000000e+00,-1.361932294371e-04,2.527730065991e+02,-1.028469773310e-04,1.948715290787e-03,2.527710578838e+02,-4.359426611367e-08,-1.361496351709e-04
4,0.000000000000e+00,-1.039396231449e-04,2.274592416940e+02,-7.847025273655e-05,2.382464554007e-03,2.274568592294e+02,-3.346045079899e-08,-1.039061626941e-04
5,0.000000000000e+00,-7.907172562047e-05,2.058499041918e+02,-5.967619689518e-05,2.675577308557e-03,2.058472286145e+02,-1.928353174363e-08,-7.905244208872e-05
6,0.000000000000e+00,-6.011178017692e-05,1.873378154921e+02,-4.534759650454e-05,2.897918517041e-03,1.873349175736e+02,-5.597617008801e-09,-6.010618255992e-05
7,0.000000000000e+00,-4.599503393185e-05,1.714202174592e+02,-3.467947928115e-05,3.085303797142e-03,1.714171321554e+02,3.588880664873e-09,-4.599862281252e-05
8,0.000000000000e+00,-3.397794913035e-05,1.576803844654e+02,-2.559881010189e-05,3.255637227214e-03,1.576771288282e+02,3.212682914144e-08,-3.401007595949e-05
9,0.000000000000e+00,-2.436292813429e-05,1.457725229363e+02,-1.833401162976e-05,3.417412779664e-03,1.457691055235e+02,5.477431491707e-08,-2.441770244921e-05
10,0.000000000000e+00,-1.691819453764e-05,1.354093291338e+02,-1.270973059775e-05,3.574407553371e-03,1.354057547262e+02,6.052670847856e-08,-1.697872124612e-05
11,0.000000000000e+00,-1.027312953578e-05,1.263517747664e+02,-7.689828301238e-06,3.727902760028e-03,1.263480468636e+02,8.463438833095e-08,-1.035776392411e-05
12,0.000000000000e+00,-5.334998004369e-06,1.184007532129e+02,-3.959664180542e-06,3.877950413655e-03,1.183968752625e+02,9.975951514862e-08,-5.434757519518e-06
13,0.000000000000e+00,-1.659733477433e-06,1.113900650359e+02,-1.183699440688e-06,4.024409220690e-03,1.113860406267e+02,1.107717080284e-07,-1.770505185461e-06
14,0.000000000000e+00,1.069571874068e-06,1.051807672358e+02,8.775530249139e-07,4.166614275189e-03,1.051766006215e+02,1.048336965570e-07,9.647381775113e-07
15,0.000000000000e+00,3.112808432904e-06,9.965657193346e+01,2.420458102392e-06,4.304324811406e-03,9.965226760865e+01,1.095166176079e-07,3.003291815296e-06
16,0.000000000000e+00,4.627919000411e-06,9.471988485925e+01,3.564381986454e-06,4.437904981178e-03,9.471544695427e+01,1.151492319273e-07,4.512769768483e-06
17,0.000000000000e+00,5.735111169414e-06,9.028867130988e+01,4.400152631145e-06,4.567507408336e-03,9.028410380247e+01,1.195257616216e-07,5.615585407792e-06
18,0.000000000000e+00,6.524214442527e-06,8.629382796524e+01,4.995641662120e-06,4.693287207160e-03,8.628913467804e+01,1.229725283824e-07,6.401241914145e-06
19,0.000000000000e+00,7.075808538204e-06,8.267700938570e+01,5.411745475747e-06,4.815372532246e-03,8.267219401317e+01,1.257575288904e-07,6.950051009313e-06
20,0.000000000000e+00,7.464810307112e-06,7.938883907529e+01,5.705063196526e-06,4.933933191583e-03,7.938390514210e+01,1.272996658086e-07,7.337510641303e-06
21,0.000000000000e+00,7.711652750153e-06,7.638742543262e+01,5.891022988980e-06,5.049153494431e-03,7.638237627913e+01,1.287192308852e-07,7.582933519268e-06
22,0.000000000000e+00,7.863808487718e-06,7.363713576954e+01,6.005498657924e-06,5.161220560497e-03,7.363197454898e+01,1.293861571772e-07,7.734422330541e-06
23,0.000000000000e+00,7.924922039021e-06,7.110758018174e+01,6.051235984295e-06,5.270316214951e-03,7.110230986553e+01,1.300103730228e-07,7.794911665998e-06
24,0.000000000000e+00,7.918035363541e-06,6.877276871526e+01,6.045645675190e-06,5.376624294272e-03,6.876739209096e+01,1.305849619548e-07,7.787450401586e-06
25,0.000000000000e+00,7.860495325002e-06,6.661040956618e+01,6.001827558944e-06,5.480327203970e-03,6.660492923898e+01,1.311199527843e-07,7.729375372217e-06
26,0.000000000000e+00,7.765456530751e-06,6.460132621799e+01,5.929715328978e-06,5.581573070323e-03,6.459574464492e+01,1.316080336933e-07,7.633848497057e-06
27,0.000000000000e+00,7.643468907137e-06,6.272897255020e+01,5.837275606879e-06,5.680505712014e-03,6.272329204449e+01,1.320631310420e-07,7.511405776095e-06
28,0.000000000000e+00,7.502683709970e-06,6.097902912186e+01,5.730657919312e-06,5.777250404643e-03,6.097325187146e+01,1.325472125946e-07,7.370136497376e-06
29,0.000000000000e+00,7.348903043325e-06,5.933906426083e+01,5.614247532204e-06,5.871919536327e-03,5.933319234129e+01,1.330642444008e-07,7.215838798924e-06
30,0.000000000000e+00,7.186542021476e-06,5.779825114348e+01,5.491375850486e-06,5.964636030356e-03,5.779228650745e+01,1.335966727245e-07,7.052945348751e-06
31,0.000000000000e+00,7.018896433120e-06,5.634713172299e+01,5.364529108043e-06,6.055596030340e-03,5.634107612696e+01,1.340885093515e-07,6.884807923768e-06
32,0.000000000000e+00,6.846308273217e-06,5.497741346296e+01,5.233963347173e-06,6.144907523400e-03,5.497126855544e+01,1.322870629150e-07,6.714021210302e-06
33,0.000000000000e+00,6.674860925232e-06,5.368180328413e+01,5.104270531575e-06,6.232639387364e-03,5.367557064474e+01,1.322495318257e-07,6.542611393406e-06
34,0.000000000000e+00,6.504654657374e-06,5.245386760498e+01,4.975524580342e-06,6.318834048126e-03,5.244754877093e+01,1.322713520935e-07,6.372383305281e-06
35,0.000000000000e+00,6.337044756444e-06,5.128791298674e+01,4.848749423969e-06,6.403551851268e-03,5.128150943489e+01,1.324730120045e-07,6.204571744439e-06
36,0.000000000000e+00,6.172671706883e-06,5.017888484086e+01,4.724426163394e-06,6.486849359410e-03,5.017239799150e+01,1.327966205333e-07,6.039875086350e-06
37,0.000000000000e+00,6.011832719144e-06,4.912228166227e+01,4.602767898820e-06,6.568780642022e-03,4.911571288162e+01,1.330974859215e-07,5.878735233222e-06
38,0.000000000000e+00,5.854993117727e-06,4.811408213973e+01,4.484137711147e-06,6.649396914143e-03,4.810743274281e+01,1.333592188901e-07,5.721633898836e-06
39,0.000000000000e+00,5.702328102153e-06,4.715068308850e+01,4.368665249999e-06,6.728745685956e-03,4.714395434282e+01,1.335962323545e-07,5.568731869798e-06
40,0.000000000000e+00,5.554108468725e-06,4.622884654713e+01,4.256553788551e-06,6.806871425883e-03,4.622203967570e+01,1.338032168952e-07,5.420305251830e-06
41,0.000000000000e+00,5.410423088104e-06,4.534565437609e+01,4.147867858295e-06,6.883816760146e-03,4.533877055933e+01,1.339752483398e-07,5.276447839764e-06
42,0.000000000000e+00,5.271723179601e-06,4.449846937307e+01,4.042948900995e-06,6.959635592342e-03,4.449150973748e+01,1.345419575194e-07,5.137181222081e-06
43,0.000000000000e+00,5.137019545687e-06,4.368490182150e+01,3.941053451806e-06,7.034365951619e-03,4.367786745555e+01,1.345298633604e-07,5.002489682326e-06
44,0.000000000000e+00,4.958552981466e-06,4.290278057557e+01,3.806145641549e-06,7.108019212769e-03,4.289567255636e+01,8.623547059772e-08,4.872317510868e-06
45,0.000000000000e+00,4.810883341283e-06,4.215012814405e+01,3.694476257143e-06,7.180632422150e-03,4.214294751163e+01,6.429885079928e-08,4.746584490484e-06
46,0.000000000000e+00,4.689503934591e-06,4.142513903216e+01,3.602644014444e-06,7.252239484803e-03,4.141788679268e+01,6.431875426705e-08,4.625185180324e-06
47,0.000000000000e+00,4.572359573740e-06,4.072616092599e+01,3.514009292660e-06,7.322873932085e-03,4.071883805205e+01,6.435973121111e-08,4.507999842529e-06
48,0.000000000000e+00,4.459340227830e-06,4.005167830329e+01,3.428489456780e-06,7.392564274870e-03,4.004428573902e+01,6.441845534777e-08,4.394921772483e-06
49,0.000000000000e+00,4.350298216216e-06,3.940029812253e+01,3.345972265256e-06,7.461337173974e-03,3.939283678535e+01,6.449394795993e-08,4.285804268256e-06
50,0.000000000000e+00,4.245114137796e-06,3.877073729261e+01,3.266367251342e-06,7.529217367713e-03,3.876320807524e+01,6.458440487966e-08,4.180529732917e-06
51,0.000000000000e+00,4.143614984631e-06,3.816181165647e+01,3.189544287130e-06,7.596227837455e-03,3.815421542863e+01,6.468639190960e-08,4.078928592721e-06
52,0.000000000000e+00,4.045684520948e-06,3.757242627901e+01,3.115415060595e-06,7.662390361767e-03,3.756476388865e+01,6.480050246394e-08,3.980884018484e-06
53,0.000000000000e+00,3.951178753486e-06,3.700156692622e+01,3.043871011688e-06,7.727727285519e-03,3.699383919894e+01,6.492507603761e-08,3.886253677449e-06
54,0.000000000000e+00,3.860033251951e-06,3.644829247583e+01,2.974863377636e-06,7.792260273976e-03,3.644050021556e+01,6.500108001850e-08,3.795032171933e-06
55,0.000000000000e+00,3.771984836476e-06,3.591172811952e+01,2.908193166951e-06,7.856007620101e-03,3.590387211190e+01,6.503861654794e-08,3.706946219928e-06
56,0.000000000000e+00,3.686918287976e-06,3.539105943945e+01,2.843773382777e-06,7.918985184429e-03,3.538314045426e+01,6.507473743200e-08,3.621843550544e-06
57,0.000000000000e+00,3.604718322989e-06,3.488552709368e+01,2.781517223438e-06,7.981206934794e-03,3.487754588674e+01,6.512826100646e-08,3.539590061982e-06
58,0.000000000000e+00,3.525310678515e-06,3.439442205450e+01,2.721368515202e-06,8.042685320466e-03,3.438637936918e+01,6.519691025941e-08,3.460113768256e-06
59,0.000000000000e+00,3.447780961702e-06,3.391708135333e+01,2.662637518691e-06,8.103430325254e-03,3.390897792300e+01,6.452936190948e-08,3.383251599792e-06
60,0.000000000000e+00,3.372837154639e-06,3.345288424578e+01,2.605858092641e-06,8.163443778938e-03,3.344472080200e+01,6.397645724299e-08,3.308860697396e-06
61,0.000000000000e+00,3.300994939004e-06,3.300124879716e+01,2.551419186370e-06,8.222742597349e-03,3.299302605456e+01,6.419619791309e-08,3.236798741091e-06
62,0.000000000000e+00,3.231431834561e-06,3.256162875962e+01,2.498700232278e-06,8.281335479958e-03,3.255334742414e+01,6.442390187988e-08,3.167007932681e-06
63,0.000000000000e+00,3.164112522477e-06,3.213351077895e+01,2.447674921635e-06,8.339229054506e-03,3.212517154990e+01,6.465451618531e-08,3.099458006292e-06
64,0.000000000000e+00,3.098927102332e-06,3.171641187004e+01,2.398260407821e-06,8.396428888022e-03,3.170801544115e+01,6.488784071168e-08,3.034039261621e-06
65,0.000000000000e+00,3.035813156749e-06,3.130987711800e+01,2.350409124219e-06,8.452939615039e-03,3.130142417838e+01,6.512329980835e-08,2.970689856940e-06
66,0.000000000000e+00,2.974672897754e-06,3.091347759943e+01,2.304028595468e-06,8.508764984563e-03,3.090496883445e+01,6.535932828289e-08,2.909313569471e-06
67,0.000000000000e+00,2.915427515834e-06,3.052680849572e+01,2.259082341416e-06,8.563907946804e-03,3.051824458777e+01,6.559434861941e-08,2.849833167215e-06
68,0.000000000000e+00,2.857999120920e-06,3.014948736500e+01,2.215510807257e-06,8.618370863501e-03,3.014086899414e+01,6.582812339673e-08,2.792170997523e-06
69,0.000000000000e+00,2.802311595190e-06,2.978115276645e+01,2.173255936544e-06,8.672156927929e-03,2.977248060952e+01,6.605982028063e-08,2.736251774910e-06
70,0.000000000000e+00,2.748292878080e-06,2.942146259852e+01,2.132262989285e-06,8.725267321829e-03,2.941273733119e+01,6.628888965521e-08,2.682003988425e-06
71,0.000000000000e+00,2.695888833990e-06,2.907009245018e+01,2.092490830830e-06,8.777701130474e-03,2.906131474905e+01,6.651414352632e-08,2.629374690463e-06
72,0.000000000000e+00,2.645035245219e-06,2.872673473962e+01,2.053890786335e-06,8.829457438661e-03,2.871790528218e+01,6.673606134378e-08,2.578299183875e-06
73,0.000000000000e+00,2.595667571686e-06,2.839109760194e+01,2.016413898076e-06,8.880535343753e-03,2.838221706660e+01,6.695449589200e-08,2.528713075794e-06
74,0.000000000000e+00,2.547724076984e-06,2.806290386391e+01,1.980013478065e-06,8.930934130128e-03,2.805397292978e+01,6.716891604031e-08,2.480555160944e-06
75,0.000000000000e+00,2.501150678874e-06,2.774189000294e+01,1.944646804919e-06,8.980551833298e-03,2.773290945111e+01,6.738284458185e-08,2.433767834292e-06
76,0.000000000000e+00,2.455878365198e-06,2.742780535128e+01,1.910266406169e-06,9.029263874327e-03,2.741877608741e+01,6.758972842524e-08,2.388288636773e-06
77,0.000000000000e+00,2.411860157731e-06,2.712041161469e+01,1.876832509851e-06,9.077240494309e-03,2.711133437419e+01,6.779329947415e-08,2.344066858256e-06
78,0.000000000000e+00,2.369037570574e-06,2.681948170647e+01,1.844313139321e-06,9.124522122644e-03,2.681035718434e+01,6.798147261788e-08,2.301056097956e-06
79,0.000000000000e+00,2.327345560799e-06,2.652479920082e+01,1.812634577547e-06,9.171159878187e-03,2.651562804094e+01,6.818210873671e-08,2.259163452062e-06
80,0.000000000000e+00,2.286774079499e-06,2.623615764689e+01,1.781802861478e-06,9.217167019134e-03,2.622694047987e+01,6.838080324201e-08,2.218393276257e-06
81,0.000000000000e+00,2.247301349109e-06,2.595336001477e+01,1.751805694616e-06,9.262557118258e-03,2.594409745765e+01,6.857088863388e-08,2.178730460475e-06
82,0.000000000000e+00,2.208902300460e-06,2.567621822148e+01,1.722610306176e-06,9.307416363098e-03,2.566691080512e+01,6.876702235425e-08,2.140135278106e-06
83,0.000000000000e+00,2.171515989330e-06,2.540455240675e+01,1.694185670309e-06,9.351686755053e-03,2.539520071999e+01,6.895338156010e-08,2.102562607770e-06
84,0.000000000000e+00,2.135116257851e-06,2.513819076011e+01,1.666515985987e-06,9.395466923778e-03,2.512879529319e+01,6.913189642965e-08,2.065984361421e-06
85,0.000000000000e+00,2.099638913469e-06,2.487696877432e+01,1.639556067912e-06,9.438704879473e-03,2.486753006944e+01,6.928928908412e-08,2.030349624385e-06
86,0.000000000000e+00,2.065135251292e-06,2.462072910145e+01,1.613265155909e-06,9.481467921567e-03,2.461124763352e+01,6.951089803753e-08,1.995624353254e-06
87,0.000000000000e+00,2.030143140055e-06,2.436932107257e+01,1.587821982785e-06,9.523846548266e-03,2.435979722602e+01,6.829049198354e-08,1.961852648072e-06
88,0.000000000000e+00,1.995246964009e-06,2.412260022808e+01,1.563052138165e-06,9.565843696581e-03,2.411303438438e+01,6.634213534085e-08,1.928904828669e-06
89,0.000000000000e+00,1.963399915289e-06,2.388042807691e+01,1.538697192438e-06,9.607467372101e-03,2.387082060954e+01,6.664127333300e-08,1.896758641956e-06
90,0.000000000000e+00,1.934018921484e-06,2.364267163056e+01,1.514759784271e-06,9.648577751134e-03,2.363302305281e+01,6.863038426452e-08,1.865388537220e-06
91,0.000000000000e+00,1.903595664848e-06,2.340920355749e+01,1.491563836220e-06,9.689336072657e-03,2.339951422142e+01,6.882590941615e-08,1.834769755432e-06
92,0.000000000000e+00,1.874228674648e-06,2.317990147622e+01,1.468869049392e-06,9.729773722026e-03,2.317017170250e+01,6.934871826791e-08,1.804879956380e-06
93,0.000000000000e+00,1.845163419500e-06,2.295464786484e+01,1.446764090307e-06,9.769957971378e-03,2.294487790686e+01,6.946734398827e-08,1.775696075512e-06
94,0.000000000000e+00,1.816928758974e-06,2.273332981551e+01,1.425149724010e-06,9.809987630960e-03,2.272351982788e+01,6.973218530382e-08,1.747196573670e-06
95,0.000000000000e+00,1.789236647509e-06,2.251583859927e+01,1.404054522314e-06,9.849786200412e-03,2.250598881307e+01,6.987645084777e-08,1.719360196661e-06
96,0.000000000000e+00,1.762342372771e-06,2.230206977594e+01,1.383419053869e-06,9.889424679722e-03,2.229218035126e+01,7.017407488430e-08,1.692168297887e-06
97,0.000000000000e+00,1.735894141527e-06,2.209192274677e+01,1.363281476596e-06,9.928876858751e-03,2.208199386991e+01,7.029419996085e-08,1.665599941567e-06
98,0.000000000000e+00,1.710046604014e-06,2.188530075553e+01,1.343599659309e-06,9.968209236100e-03,2.187533254629e+01,7.041013988518e-08,1.639636464129e-06
99,0.000000000000e+00,1.684794533469e-06,2.168211052980e+01,1.324358016142e-06,1.000739822593e-02,2.167210313157e+01,7.053461326123e-08,1.614259920207e-06
