x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.205602055273e+01,1.254898248326e+00,-4.418209127793e-02,1.006238904323e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.204647288852e+01,1.235802919898e+00,-1.322132573911e-01,1.006113632650e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.202788291626e+01,1.198622975369e+00,-2.191801155953e-01,1.005870531743e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200010270026e+01,1.143062543385e+00,-3.037727707012e-01,1.005507897972e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.196352749846e+01,1.069912139784e+00,-3.848963628704e-01,1.005030622693e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.191873304905e+01,9.803232409639e-01,-4.615216388248e-01,1.004445924668e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.186647110005e+01,8.757993429601e-01,-5.327896589848e-01,1.003763773736e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.180747546303e+01,7.578080689194e-01,-5.979030581753e-01,1.002993481047e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.174282318790e+01,6.285035186615e-01,-6.560862437816e-01,1.002148842968e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.167374494218e+01,4.903470272154e-01,-7.067828386189e-01,1.001246365381e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.160156475711e+01,3.459866570832e-01,-7.494631485471e-01,1.000303552627e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.152764172439e+01,1.981405916364e-01,-7.837396421715e-01,9.993382565667e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.145330155634e+01,4.946025553880e-02,-8.093552124926e-01,9.983678490094e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.137974327536e+01,-9.765630642653e-02,-8.262913984198e-01,9.974080408925e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.130812265457e+01,-2.408975480055e-01,-8.345686352778e-01,9.964739413206e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.123950346794e+01,-3.781359212587e-01,-8.343486260890e-01,9.955794778823e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.117483787124e+01,-5.074671146628e-01,-8.259369325218e-01,9.947372730401e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.111495466858e+01,-6.272335199829e-01,-8.096971072118e-01,9.939583520468e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.106064220736e+01,-7.358584424250e-01,-7.860736481568e-01,9.932528973121e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.101257572519e+01,-8.319914067550e-01,-7.556472748321e-01,9.926301601294e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.097136147619e+01,-9.144199047631e-01,-7.197361109417e-01,9.920984977870e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.093639729914e+01,-9.843482588620e-01,-6.789926414542e-01,9.916498811701e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.090788750191e+01,-1.041367853314e+00,-6.338576113113e-01,9.912871661087e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.088580900079e+01,-1.085524855565e+00,-5.854717147298e-01,9.910102545509e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,7.086976056571e+01,-1.117621725722e+00,-5.349220952256e-01,9.908142154408e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,7.085926035146e+01,-1.138622154217e+00,-4.831885354450e-01,9.906929494961e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,7.085373926727e+01,-1.149664322606e+00,-4.311795617488e-01,9.906394253798e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,7.085265142507e+01,-1.151840007011e+00,-3.795605912320e-01,9.906461487765e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,7.085542791229e+01,-1.146287032573e+00,-3.292457964361e-01,9.907065667601e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,7.086165868575e+01,-1.133825485652e+00,-2.808744674996e-01,9.908153718807e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,7.087078889322e+01,-1.115565070706e+00,-2.349907077490e-01,9.909659989838e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,7.088232356984e+01,-1.092495717460e+00,-1.920092436064e-01,9.911518412853e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,7.089575100370e+01,-1.065640849736e+00,-1.522541860663e-01,9.913662351030e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,7.091062346882e+01,-1.035895919512e+00,-1.160141699940e-01,9.916033171015e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,7.092635259894e+01,-1.004437659256e+00,-8.346691698881e-02,9.918546570304e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
