x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,-4.567710388183e-05,-4.446598076146e-04,4.464347566741e-05,-2.209104563896e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.662296919617e-05,-1.325181971119e-03,1.325184571572e-04,-6.610662869555e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,2.814982488268e-04,-2.180241965813e-03,2.195589530169e-04,-1.095900577976e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,5.982604960045e-04,-2.987002839834e-03,3.042554044085e-04,-1.518863853506e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.005899486476e-03,-3.726244697898e-03,3.854914371679e-04,-1.924481814352e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.492444524944e-03,-4.380652509823e-03,4.622346957284e-04,-2.307608194124e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.044042383981e-03,-4.936002752377e-03,5.336203751678e-04,-2.663948294924e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,2.643601437896e-03,-5.381104878225e-03,5.988510743916e-04,-2.989515290876e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.274177629929e-03,-5.706172426537e-03,6.571425861385e-04,-3.280431218908e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,3.914226342327e-03,-5.908091325891e-03,7.079355032268e-04,-3.533914193094e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,4.543133502534e-03,-5.986219285373e-03,7.507031331436e-04,-3.747315742736e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,5.141505015471e-03,-5.943290695489e-03,7.850567496714e-04,-3.918698210857e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,5.690772601062e-03,-5.785740083239e-03,8.107367674893e-04,-4.046776062463e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,6.174686434071e-03,-5.524226034078e-03,8.277240812263e-04,-4.131456992099e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.579185047467e-03,-5.171032258914e-03,8.360393351476e-04,-4.172843176389e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.893157445535e-03,-4.740469143440e-03,8.358419935282e-04,-4.171743130445e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.108122572762e-03,-4.249397499339e-03,8.274360012745e-04,-4.129684662609e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.218550616358e-03,-3.715421660952e-03,8.111874314627e-04,-4.048485536059e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.222618443829e-03,-3.155175437116e-03,7.875383244137e-04,-3.930368240784e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.120951867230e-03,-2.587901474742e-03,7.570726927202e-04,-3.778236374160e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
