step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,1.426986630212e-08,8.094051337307e-01,3.674668594494e+02,2.060054586132e+01,9.032858310523e+01,3.789672589365e+02,2.265898439824e+07
2,0.000000000000e+00,3,1.000921458319e+00,1.426609631743e-08,7.480090870833e-01,2.681607232681e+02,7.503291310771e+00,8.670371306155e+01,2.819300733522e+02,2.073060789627e+07
3,0.000000000000e+00,3,1.001843765724e+00,1.426284515236e-08,6.765559713824e-01,1.996877172342e+02,3.365702497367e+00,7.944669467780e+01,2.149389387494e+02,1.792566292000e+07
4,0.000000000000e+00,3,1.002766922997e+00,1.425896103519e-08,6.138261087784e-01,1.521227003706e+02,3.608249152796e+00,7.053135858872e+01,1.677181706222e+02,1.528575528909e+07
5,0.000000000000e+00,3,1.003690930920e+00,1.425694836842e-08,5.623660008537e-01,1.188264557709e+02,3.783735061078e+00,6.292449925744e+01,1.345133900561e+02,1.306478229281e+07
6,0.000000000000e+00,3,1.004615790278e+00,1.425727769239e-08,5.206984364969e-01,9.528601698520e+01,3.508424772246e+00,5.719150937323e+01,1.111884614002e+02,1.135523912332e+07
7,0.000000000000e+00,3,1.005541501856e+00,1.425865544291e-08,4.864086188936e-01,7.842076411853e+01,3.035939555363e+00,5.288885255855e+01,9.463878957501e+01,1.021434316914e+07
8,0.000000000000e+00,3,1.006468066438e+00,1.426045909521e-08,4.574057723854e-01,6.611576479004e+01,2.519474634126e+00,4.954092719738e+01,8.265684964854e+01,9.374291272145e+06
9,0.000000000000e+00,3,1.007395484811e+00,1.426276903658e-08,4.339786413927e-01,5.693351311309e+01,2.070656213390e+00,4.695898990750e+01,7.383121022404e+01,8.691096730101e+06
10,0.000000000000e+00,3,1.008323757762e+00,1.426560966745e-08,4.145904931063e-01,4.991252743811e+01,1.710099230780e+00,4.485272773018e+01,6.712766869745e+01,8.120505753839e+06
11,0.000000000000e+00,3,1.009252886077e+00,1.426890667981e-08,3.980325554932e-01,4.440911927459e+01,1.427816143196e+00,4.306123187932e+01,6.187597800894e+01,7.634836813250e+06
12,0.000000000000e+00,3,1.010182870545e+00,1.427256417885e-08,3.836006874769e-01,3.999137171505e+01,1.213105548669e+00,4.149935124972e+01,5.764655011671e+01,7.217931244795e+06
13,0.000000000000e+00,3,1.011113711955e+00,1.427659360323e-08,3.708151989587e-01,3.636760538790e+01,1.051481747498e+00,4.011680625761e+01,5.415906188015e+01,6.855480916041e+06
14,0.000000000000e+00,3,1.012045411097e+00,1.428099661695e-08,3.593261425252e-01,3.333866314407e+01,9.289593523144e-01,3.887535651246e+01,5.122257202601e+01,6.536974201745e+06
15,0.000000000000e+00,3,1.012977968760e+00,1.428573987042e-08,3.488638374729e-01,3.076605645487e+01,8.334988470639e-01,3.774855229266e+01,4.870646626765e+01,6.254549019127e+06
16,0.000000000000e+00,3,1.013911385737e+00,1.429080064893e-08,3.391979071026e-01,2.855122412735e+01,7.563867262902e-01,3.671394024642e+01,4.651637328606e+01,6.002129644712e+06
17,0.000000000000e+00,3,1.014845662818e+00,1.429615420735e-08,3.301476952550e-01,2.662226315224e+01,6.962279480866e-01,3.576068592485e+01,4.458884708107e+01,5.774939362260e+06
18,0.000000000000e+00,3,1.015780800797e+00,1.430178482640e-08,3.217160517955e-01,2.492575488041e+01,6.449367897228e-01,3.487422140826e+01,4.287218235490e+01,5.569164043572e+06
19,0.000000000000e+00,3,1.016716800466e+00,1.430767402637e-08,3.138674672694e-01,2.342105423371e+01,6.010291130491e-01,3.405207567130e+01,4.133460278900e+01,5.381714637767e+06
20,0.000000000000e+00,3,1.017653662621e+00,1.431380577258e-08,3.065327725593e-01,2.207678353151e+01,5.629398940920e-01,3.328687659594e+01,3.994760804198e+01,5.210054986071e+06
21,0.000000000000e+00,3,1.018591388054e+00,1.432016576216e-08,2.996414844672e-01,2.086825837752e+01,5.290646004006e-01,3.257018236332e+01,3.868682826572e+01,5.052073938150e+06
22,0.000000000000e+00,3,1.019529977563e+00,1.432674100842e-08,2.931483014492e-01,1.977563807184e+01,4.990729281122e-01,3.189642721328e+01,3.753389055020e+01,4.905987756458e+06
23,0.000000000000e+00,3,1.020469431942e+00,1.433351969344e-08,2.870043755050e-01,1.878287329118e+01,4.723343899904e-01,3.126050982120e+01,3.647356953523e+01,4.770219593363e+06
24,0.000000000000e+00,3,1.021409751990e+00,1.434049097172e-08,2.811795073900e-01,1.787678853207e+01,4.486019246444e-01,3.065893446772e+01,3.549408593722e+01,4.643365862334e+06
25,0.000000000000e+00,3,1.022350938503e+00,1.434764517757e-08,2.756429631524e-01,1.704648281201e+01,4.274156390463e-01,3.008831374851e+01,3.458537065958e+01,4.524284409695e+06
26,0.000000000000e+00,3,1.023292992281e+00,1.435497328779e-08,2.703644452963e-01,1.628284283593e+01,4.083336689692e-01,2.954528067717e+01,3.373861903562e+01,4.411894557896e+06
27,0.000000000000e+00,3,1.024235914122e+00,1.436246611499e-08,2.653321424635e-01,1.557819495106e+01,3.909034081087e-01,2.902911849718e+01,3.294833964370e+01,4.306490419446e+06
28,0.000000000000e+00,3,1.025179704826e+00,1.437011671743e-08,2.605629238554e-01,1.492599124827e+01,3.753499568957e-01,2.854504146752e+01,3.221511117090e+01,4.206646000289e+06
29,0.000000000000e+00,3,1.026124365193e+00,1.437791901422e-08,2.559990659197e-01,1.432056162171e+01,3.615661791163e-01,2.808333433534e+01,3.152694749219e+01,4.112891347157e+06
30,0.000000000000e+00,3,1.027069896026e+00,1.438586671053e-08,2.516176128308e-01,1.375710609554e+01,3.488054685966e-01,2.764060660261e+01,3.087792218013e+01,4.036885552259e+06
31,0.000000000000e+00,3,1.028016298126e+00,1.439395435573e-08,2.474011533537e-01,1.323141832671e+01,3.371053854278e-01,2.721467882549e+01,3.026357582777e+01,3.966305126056e+06
32,0.000000000000e+00,3,1.028963572297e+00,1.440217704042e-08,2.433386205980e-01,1.273985249945e+01,3.263575827523e-01,2.680439731817e+01,2.968072236746e+01,3.900065717557e+06
33,0.000000000000e+00,3,1.029911719341e+00,1.441052963366e-08,2.394165249879e-01,1.227924462208e+01,3.162834197931e-01,2.640839337518e+01,2.912628442869e+01,3.837168246555e+06
34,0.000000000000e+00,3,1.030860740063e+00,1.441900692758e-08,2.356248174625e-01,1.184678398211e+01,3.068494528186e-01,2.602556226306e+01,2.859765475470e+01,3.777222968051e+06
35,0.000000000000e+00,3,1.031810635268e+00,1.442760711251e-08,2.319525665148e-01,1.143998413316e+01,2.981125292508e-01,2.565457023393e+01,2.809222105722e+01,3.720007787048e+06
36,0.000000000000e+00,3,1.032761405761e+00,1.443632693434e-08,2.283923023418e-01,1.105665606028e+01,2.900122869130e-01,2.529461890005e+01,2.760803612545e+01,3.665354341091e+06
37,0.000000000000e+00,3,1.033713052351e+00,1.444516322527e-08,2.249411961881e-01,1.069487739777e+01,2.823830454271e-01,2.494595317996e+01,2.714426866461e+01,3.613109000795e+06
38,0.000000000000e+00,3,1.034665575842e+00,1.445411307111e-08,2.215943543221e-01,1.035290114953e+01,2.751709516263e-01,2.460795168000e+01,2.669941331205e+01,3.563121758210e+06
39,0.000000000000e+00,3,1.035618977045e+00,1.446317364007e-08,2.183475020192e-01,1.002915981397e+01,2.684257162927e-01,2.428025273507e+01,2.627231332506e+01,3.515233476564e+06
40,0.000000000000e+00,3,1.036573256767e+00,1.447234191386e-08,2.151979764152e-01,9.722215817090e+00,2.624624379118e-01,2.396276010896e+01,2.586214509924e+01,3.469306227237e+06
41,0.000000000000e+00,3,1.037528415818e+00,1.448161473107e-08,2.121390802703e-01,9.430854160306e+00,2.568959608835e-01,2.365465603122e+01,2.546752364625e+01,3.425234040874e+06
42,0.000000000000e+00,3,1.038484455008e+00,1.449098851264e-08,2.091654960029e-01,9.153947534276e+00,2.516177378272e-01,2.335534044866e+01,2.508732238848e+01,3.382914583743e+06
43,0.000000000000e+00,3,1.039441375149e+00,1.450045895620e-08,2.062718593375e-01,8.890470088170e+00,2.465910801811e-01,2.306423160916e+01,2.472048934286e+01,3.342263576914e+06
44,0.000000000000e+00,3,1.040399177051e+00,1.451002120734e-08,2.034530237110e-01,8.639491353852e+00,2.417966967706e-01,2.278077045740e+01,2.436604547852e+01,3.303183891125e+06
45,0.000000000000e+00,3,1.041357861528e+00,1.451962202364e-08,2.007057290876e-01,8.400161619360e+00,2.372061513576e-01,2.250460685995e+01,2.402325112678e+01,3.265582044450e+06
46,0.000000000000e+00,3,1.042317429393e+00,1.452928943543e-08,1.980275082553e-01,8.171704132542e+00,2.328044031041e-01,2.223552644111e+01,2.369153429660e+01,3.229390415602e+06
47,0.000000000000e+00,3,1.043277881460e+00,1.453902837796e-08,1.954162732579e-01,7.953411871974e+00,2.285671701070e-01,2.197340583561e+01,2.337044618515e+01,3.194528781996e+06
48,0.000000000000e+00,3,1.044239218543e+00,1.454883679648e-08,1.928703410041e-01,7.744633084906e+00,2.245037304279e-01,2.171803714394e+01,2.305949001819e+01,3.160911389740e+06
49,0.000000000000e+00,3,1.045201441458e+00,1.455871273469e-08,1.903962436201e-01,7.544780828043e+00,2.205782303356e-01,2.147033135692e+01,2.275925639832e+01,3.128447840632e+06
50,0.000000000000e+00,3,1.046164551022e+00,1.456865432754e-08,1.879798106708e-01,7.353295551228e+00,2.168359602318e-01,2.122849125749e+01,2.246780253554e+01,3.097061946680e+06
51,0.000000000000e+00,3,1.047128548051e+00,1.457865979455e-08,1.856181600710e-01,7.169658615296e+00,2.133789576994e-01,2.099213425898e+01,2.218453718444e+01,3.066682971405e+06
52,0.000000000000e+00,3,1.048093433363e+00,1.458872746591e-08,1.833065677169e-01,6.993427100798e+00,2.101012300186e-01,2.076072599663e+01,2.190875419429e+01,3.037239704376e+06
53,0.000000000000e+00,3,1.049059207776e+00,1.459885562056e-08,1.810411009820e-01,6.824175380084e+00,2.069842095105e-01,2.053379153624e+01,2.163981475926e+01,3.008654174769e+06
54,0.000000000000e+00,3,1.050025872111e+00,1.460904266593e-08,1.788230128913e-01,6.661513018074e+00,2.040091585188e-01,2.031156160109e+01,2.137776620163e+01,2.980834012145e+06
55,0.000000000000e+00,3,1.050993427186e+00,1.461928670005e-08,1.766489604577e-01,6.505076450721e+00,2.011539078984e-01,2.009361475201e+01,2.112205106474e+01,2.945976069838e+06
