x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,3.227425870747e+01,1.056453922883e+00,-1.212726419153e-02,1.008232981146e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,3.226909161859e+01,1.046119745112e+00,-3.503015458613e-02,1.008103244328e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.225749368911e+01,1.022923886149e+00,-5.619864915741e-02,1.007811043440e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,3.224056125833e+01,9.890590245969e-01,-7.534784827558e-02,1.007374771090e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,3.222006400049e+01,9.480645089105e-01,-9.260717764357e-02,1.006849354106e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,3.219676692982e+01,9.014703675739e-01,-1.075236418256e-01,1.006254888904e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.217118879952e+01,8.503141069703e-01,-1.195934814825e-01,1.005600508082e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.214571467693e+01,7.993658618020e-01,-1.296046367151e-01,1.004954423523e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,3.211801018295e+01,7.439568738289e-01,-1.376363486612e-01,1.004250664919e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.209161119055e+01,6.911588890371e-01,-1.432319784585e-01,1.003579366559e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,3.206541212234e+01,6.387607526196e-01,-1.475386497016e-01,1.002915789533e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,3.204021381541e+01,5.883641387565e-01,-1.503220598985e-01,1.002283977031e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,3.201607377239e+01,5.400840527162e-01,-1.520852137702e-01,1.001682471889e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,3.199279759491e+01,4.935316977661e-01,-1.527683953935e-01,1.001101077943e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,3.197152597548e+01,4.509884588931e-01,-1.530031604461e-01,1.000578383007e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,3.195018795463e+01,4.083124171986e-01,-1.537320715719e-01,1.000056696073e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,3.192892030390e+01,3.657771157290e-01,-1.528558832964e-01,9.995371653329e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,3.190989314110e+01,3.277227901296e-01,-1.514834925495e-01,9.990735444106e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,3.189108564923e+01,2.901078063998e-01,-1.500645618344e-01,9.986231212489e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,3.187332776382e+01,2.545920355695e-01,-1.479166597366e-01,9.981981477057e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,3.185644804983e+01,2.208326076048e-01,-1.456843455431e-01,9.977895468525e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,3.184076642494e+01,1.894693578163e-01,-1.432201590159e-01,9.974137436352e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,3.182554474338e+01,1.590259946874e-01,-1.409588277237e-01,9.970518791083e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
