x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,7.760946962166e-05,-7.311585321007e-05,1.592769070876e-05,-6.063632095766e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,8.791429302908e-05,-2.109539883048e-04,3.413959198719e-05,-1.751507729306e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,1.196163688683e-04,-3.359024086141e-04,5.326587409286e-05,-2.809932457870e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,1.712647469524e-04,-4.434242663622e-04,7.101386576054e-05,-3.767392413779e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,2.301371674850e-04,-5.350986850523e-04,8.702484526390e-05,-4.630358882178e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,2.931136106920e-04,-6.082955938072e-04,1.008875512131e-04,-5.376182091278e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.588983301165e-04,-6.594332768014e-04,1.121822626453e-04,-5.979674074123e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,4.176207256874e-04,-6.974583941267e-04,1.214789743431e-04,-6.480231835756e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,4.732982446713e-04,-7.213707552647e-04,1.289384414138e-04,-6.881817433062e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,5.250614884635e-04,-7.283430324429e-04,1.341932106752e-04,-7.161598922927e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,5.691197125770e-04,-7.288650058571e-04,1.382194233203e-04,-7.376932485081e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,6.056179918070e-04,-7.214243314441e-04,1.407995093655e-04,-7.516102994927e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,6.377138903690e-04,-7.080505681175e-04,1.424504071099e-04,-7.604260688511e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,6.644787096989e-04,-6.890579136173e-04,1.431118901176e-04,-7.638419769676e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,6.860531534343e-04,-6.696449345292e-04,1.433375414033e-04,-7.650158022307e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,7.085706773433e-04,-6.524439908958e-04,1.440219404126e-04,-7.686603578596e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,7.207132717720e-04,-6.304327495758e-04,1.431852294476e-04,-7.642794164820e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,7.327234339620e-04,-6.035006756228e-04,1.419573986099e-04,-7.574174627477e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,7.386879053206e-04,-5.815576482264e-04,1.406035874228e-04,-7.503228091720e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,7.410609999305e-04,-5.563100408349e-04,1.385924609464e-04,-7.395832986828e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,7.435921819437e-04,-5.295861511878e-04,1.365467717476e-04,-7.284217277156e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,7.422776755644e-04,-5.044930692163e-04,1.342493233324e-04,-7.161007950793e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,7.416895926292e-04,-4.799202536059e-04,1.321518779659e-04,-7.047941386187e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.218243072842e-02,-1.870670559107e-02,5.873495879629e-01,8.093333438823e-01,7.376422908578e-04,-4.559805547038e-04,1.297329108937e-04,-6.918298932212e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.305567585734e-02,-1.932851061297e-02,5.730721271106e-01,8.195049341699e-01,7.344540560213e-04,-4.305135802730e-04,1.273658110825e-04,-6.788195381509e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
