x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,6.913933948561e+01,-4.578463885914e+00,0.000000000000e+00,9.759118307570e-01,1.157820064397e-03,-3.684243183075e-02,3.701189318181e-03,WALL,-1.911714444504e-03,-3.705658778970e-02,3.725928737813e-03,0.000000000000e+00
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.913203457096e+01,-4.593073715221e+00,0.000000000000e+00,9.758222007521e-01,1.041216790954e-02,-1.101492309688e-01,1.110950819043e-02,WALL,7.267487005131e-03,-1.109482553298e-01,1.116470635211e-02,0.000000000000e+00
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,6.910542928247e+01,-4.646284292208e+00,0.000000000000e+00,9.755673348054e-01,2.882570705355e-02,-1.819983515709e-01,1.850359226919e-02,WALL,2.569609473005e-02,-1.835078193328e-01,1.860776969520e-02,0.000000000000e+00
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.906512511905e+01,-4.726892619036e+00,0.000000000000e+00,9.751838205359e-01,5.614824207518e-02,-2.511927953567e-01,2.584902853131e-02,WALL,5.301750329793e-02,-2.533964497904e-01,2.599971010207e-02,0.000000000000e+00
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,6.900869547874e+01,-4.839751899657e+00,0.000000000000e+00,9.746477452569e-01,9.196148779098e-02,-3.165335171606e-01,3.310728327372e-02,WALL,8.884120244497e-02,-3.194242360958e-01,3.330193135804e-02,0.000000000000e+00
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,6.893477430867e+01,-4.987594239802e+00,0.000000000000e+00,9.739411274631e-01,1.357052175023e-01,-3.769357422464e-01,4.024536630424e-02,WALL,1.326484925109e-01,-3.805120194785e-01,4.048271397147e-02,0.000000000000e+00
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,6.884337234945e+01,-5.170398158245e+00,0.000000000000e+00,9.730638382149e-01,1.867230772282e-01,-4.314915725077e-01,4.724124302156e-02,WALL,1.838094380603e-01,-4.357320537812e-01,4.751941899403e-02,0.000000000000e+00
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,6.873577718616e+01,-5.385588484823e+00,0.000000000000e+00,9.720285270798e-01,2.442210967161e-01,-4.793108900809e-01,5.406553142050e-02,WALL,2.415474589222e-01,-4.841668564861e-01,5.438180959240e-02,0.000000000000e+00
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,6.861433694499e+01,-5.628468967164e+00,0.000000000000e+00,9.708579298755e-01,3.072641303436e-01,-5.195552703461e-01,6.068273325482e-02,WALL,3.049349971879e-01,-5.249496453444e-01,6.103367201296e-02,0.000000000000e+00
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,6.848293211351e+01,-5.891278630128e+00,0.000000000000e+00,9.695905128271e-01,3.747593960868e-01,-5.514417055253e-01,6.704876390000e-02,WALL,3.728708446258e-01,-5.572936689241e-01,6.743192985040e-02,0.000000000000e+00
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,6.834429042991e+01,-6.168561997313e+00,0.000000000000e+00,9.682522538068e-01,4.451893221988e-01,-5.739346158524e-01,7.306833997810e-02,WALL,4.440451836471e-01,-5.804652778861e-01,7.351988803016e-02,0.000000000000e+00
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,6.820758617688e+01,-6.441970503374e+00,0.000000000000e+00,9.669352764500e-01,5.175170553646e-01,-5.870078737534e-01,7.874748573691e-02,WALL,5.170979650859e-01,-5.939779378141e-01,7.924845535582e-02,0.000000000000e+00
