step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,5.000000000000e-01,4.486033898898e-05,7.963639993324e-02,6.906802008754e-01,3.992361716099e-01,1.994892282491e+01,1.996502673404e+01,1.249470669504e+05
2,0.000000000000e+00,3,5.000000000000e-01,4.497014771039e-05,7.142190366045e-02,5.239520709501e-01,3.062919949440e-01,1.786522774751e+01,1.787567632616e+01,1.122432620219e+05
3,0.000000000000e+00,3,5.000000000000e-01,4.498759843596e-05,6.368205812903e-02,4.328290434296e-01,2.554585006769e-01,1.593167303153e+01,1.593972587639e+01,9.899684389326e+04
4,0.000000000000e+00,3,5.000000000000e-01,4.503774118230e-05,5.699083831752e-02,3.881067373875e-01,2.306360004386e-01,1.426405887456e+01,1.427131540318e+01,8.596514077335e+04
5,0.000000000000e+00,3,5.000000000000e-01,4.511177747246e-05,5.151941925556e-02,3.689096063107e-01,2.196997903329e-01,1.289944348762e+01,1.290669046799e+01,7.359230138443e+04
6,0.000000000000e+00,3,5.000000000000e-01,4.520126047291e-05,4.710988099154e-02,3.609161152530e-01,2.148395933043e-01,1.179825273591e+01,1.180582074464e+01,6.205708332428e+04
7,0.000000000000e+00,3,5.000000000000e-01,4.529965441182e-05,4.355885430094e-02,3.563435981290e-01,2.126915132386e-01,1.091024939511e+01,1.091822594000e+01,5.142262643508e+04
8,0.000000000000e+00,3,5.000000000000e-01,4.540691566326e-05,4.071278990071e-02,3.522096932086e-01,2.107261640010e-01,1.019757220990e+01,1.020590974345e+01,4.227887651294e+04
9,0.000000000000e+00,3,5.000000000000e-01,4.550753634683e-05,3.839866303974e-02,3.465698306007e-01,2.065567043559e-01,9.618206678302e+00,9.626741426020e+00,4.092735313389e+04
10,0.000000000000e+00,3,5.000000000000e-01,4.560278379812e-05,3.661051359244e-02,3.390443450909e-01,2.009666234778e-01,9.170079709206e+00,9.178618679006e+00,3.839575722074e+04
11,0.000000000000e+00,3,5.000000000000e-01,4.569021098022e-05,3.526324037775e-02,3.298030551093e-01,1.943585375501e-01,8.832012430388e+00,8.840375125690e+00,3.493094893924e+04
12,0.000000000000e+00,3,5.000000000000e-01,4.576974613767e-05,3.428318512223e-02,3.192359029847e-01,1.872530997422e-01,8.585908678715e+00,8.593950108136e+00,3.161461722301e+04
13,0.000000000000e+00,3,5.000000000000e-01,4.583878009455e-05,3.351836063568e-02,3.083227928466e-01,1.803113116252e-01,8.394159306866e+00,8.401821770500e+00,3.320963541297e+04
14,0.000000000000e+00,3,5.000000000000e-01,4.589537403298e-05,3.286018138549e-02,2.972298606147e-01,1.735656908670e-01,8.229768534731e+00,8.237028624805e+00,3.366558781524e+04
15,0.000000000000e+00,3,5.000000000000e-01,4.594588750567e-05,3.221639079998e-02,2.862739165287e-01,1.670185812105e-01,8.069272759908e+00,8.076140707751e+00,3.286255586324e+04
16,0.000000000000e+00,3,5.000000000000e-01,4.600011872536e-05,3.159018195011e-02,2.762115665617e-01,1.612774394501e-01,7.913158028325e+00,7.919682516541e+00,3.086253030256e+04
17,0.000000000000e+00,3,5.000000000000e-01,4.596660452665e-05,3.095633400936e-02,2.665647697368e-01,1.563398209738e-01,7.755197350575e+00,7.761413734434e+00,2.790627519595e+04
18,0.000000000000e+00,3,5.000000000000e-01,4.593431814419e-05,3.029544543595e-02,2.582471579724e-01,1.520532747299e-01,7.590377939691e+00,7.596352208417e+00,2.601088026151e+04
19,0.000000000000e+00,3,5.000000000000e-01,4.591768900443e-05,2.956171492616e-02,2.509122957416e-01,1.481579602061e-01,7.407555773146e+00,7.413343657796e+00,2.612363676307e+04
20,0.000000000000e+00,3,5.000000000000e-01,4.591512289334e-05,2.876189022386e-02,2.444288934574e-01,1.445497157760e-01,7.207623132493e+00,7.213272389884e+00,2.504989416344e+04
21,0.000000000000e+00,3,5.000000000000e-01,4.592106301477e-05,2.796429094882e-02,2.387384534196e-01,1.412635352510e-01,7.007697761664e+00,7.013241857796e+00,2.333970317948e+04
22,0.000000000000e+00,3,5.000000000000e-01,4.593353298240e-05,2.718504725568e-02,2.336384889318e-01,1.381973842821e-01,6.812179690347e+00,6.817640106438e+00,2.114340898085e+04
23,0.000000000000e+00,3,5.000000000000e-01,4.595135742799e-05,2.643502063248e-02,2.287586792284e-01,1.351851217260e-01,6.624009066628e+00,6.629389147994e+00,2.067170170157e+04
24,0.000000000000e+00,3,5.000000000000e-01,4.597122692534e-05,2.570144232473e-02,2.238875990993e-01,1.321127591031e-01,6.440125190738e+00,6.445421047120e+00,2.092233677646e+04
25,0.000000000000e+00,3,5.000000000000e-01,4.599170993676e-05,2.496677573552e-02,2.187734205875e-01,1.289889724248e-01,6.255241595035e+00,6.260444929613e+00,2.025972445388e+04
26,0.000000000000e+00,3,5.000000000000e-01,4.601197324964e-05,2.432050720823e-02,2.137734493172e-01,1.259581052269e-01,6.092748667256e+00,6.097847353068e+00,1.902239251960e+04
