x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,3.224465325008e+01,9.972430081049e-01,0.000000000000e+00,1.009306672529e+00,1.341600072204e-03,-3.853063720708e-02,5.764849748868e-03,bc-4,1.513642335220e-03,-3.869475186783e-02,5.790399163681e-03,0.000000000000e+00
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,3.223820100191e+01,9.843385117475e-01,0.000000000000e+00,1.009171926280e+00,1.193642481066e-02,-1.149521619232e-01,1.728140848586e-02,bc-4,1.215352464061e-02,-1.154353838690e-01,1.735683978514e-02,0.000000000000e+00
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.222332372508e+01,9.545839580897e-01,0.000000000000e+00,1.008849306031e+00,3.180829695320e-02,-1.858990881199e-01,2.820378235893e-02,bc-4,3.210781988207e-02,-1.866980587873e-01,2.832947197780e-02,0.000000000000e+00
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,3.220326678831e+01,9.144700845470e-01,0.000000000000e+00,1.008388318710e+00,5.941022899859e-02,-2.503517904578e-01,3.848108107096e-02,bc-4,5.982104676157e-02,-2.514256074048e-01,3.865202595234e-02,0.000000000000e+00
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,3.217863599115e+01,8.652084902439e-01,0.000000000000e+00,1.007869613857e+00,9.327043956362e-02,-3.077163287584e-01,4.809400110887e-02,bc-4,9.381011466332e-02,-3.090125146635e-01,4.830351799682e-02,0.000000000000e+00
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,3.215002534751e+01,8.079872029585e-01,0.000000000000e+00,1.007259388294e+00,1.309552508604e-01,-3.562654431206e-01,5.678182008123e-02,bc-4,1.316356394559e-01,-3.577427070786e-01,5.702498140707e-02,0.000000000000e+00
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.211932462457e+01,7.465857570678e-01,0.000000000000e+00,1.006598675872e+00,1.702464003326e-01,-3.962718450925e-01,6.452903759643e-02,bc-4,1.710785266295e-01,-3.979058532907e-01,6.480344501029e-02,0.000000000000e+00
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.209122247593e+01,6.903814597940e-01,0.000000000000e+00,1.006035641137e+00,2.114916426702e-01,-4.307044838819e-01,7.180178996851e-02,bc-4,2.124605895774e-01,-4.324190014598e-01,7.209659512794e-02,0.000000000000e+00
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,3.205882280653e+01,6.255821209925e-01,0.000000000000e+00,1.005371237155e+00,2.531299318697e-01,-4.581974419196e-01,7.834590198061e-02,bc-4,2.542262957394e-01,-4.599856363822e-01,7.866011326155e-02,0.000000000000e+00
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.202872665696e+01,5.653898218470e-01,0.000000000000e+00,1.004751572035e+00,2.923013477910e-01,-4.781626588256e-01,8.389099813836e-02,bc-4,2.935118962045e-01,-4.799897861531e-01,8.421944796720e-02,0.000000000000e+00
